cut1_idx,cut2_idx
39,7
39,13
39,14
14,7
14,13
142,80
142,87
142,91
91,80
91,87
286,214
286,233
286,235
235,214
235,233
430,358
430,377
430,379
379,358
379,377
589,502
589,517
589,518
589,524
524,502
524,517
524,518
732,518
732,631
631,502
631,517
732,664
664,661
664,662
732,692
692,518
692,631
692,664
862,789
789,662
789,776
776,518
776,631
776,661
862,810
862,820
820,662
820,776
820,805
820,806
1001,933
933,806
933,920
920,662
920,776
920,805
1001,953
1145,1077
1077,950
1077,1064
1064,806
1064,920
1064,949
1145,1095
1289,1221
1221,1094
1221,1207
1207,1077
1207,1093
1289,1242
1438,1365
1365,1238
1365,1352
1352,1094
1352,1207
1352,1237
1438,1385
1438,1389
1389,1238
1389,1352
1389,1385
1583,1509
1509,1382
1509,1496
1496,1238
1496,1352
1496,1381
1583,1530
1583,1554
1554,1509
1554,1530
1726,1653
1653,1526
1653,1641
1726,1672
1672,1669
1672,1670
1726,1677
1677,1526
1677,1641
1677,1672
1870,1797
1797,1670
1797,1784
1784,1526
1784,1641
1784,1669
1870,1818
1870,1819
1819,1797
1819,1818
2009,1941
1941,1814
1941,1928
1928,1670
1928,1784
1928,1813
2009,1960
1960,1957
1960,1958
2158,2085
2085,1958
2085,2072
2072,1814
2072,1928
2072,1957
2158,2104
2104,2101
2104,2102
2158,2116
2116,1958
2116,2072
2116,2101
2116,2102
2297,2229
2229,2102
2229,2215
2215,2085
2215,2101
2297,2249
2447,2373
2373,2246
2373,2361
2447,2392
2392,2389
2392,2390
2447,2418
2418,2373
2418,2392
2585,2517
2517,2390
2517,2504
2504,2246
2504,2361
2504,2389
2585,2538
2735,2662
2735,2682
2735,2706
2706,2662
2706,2682
2879,2807
2807,2662
2807,2677
2807,2678
2879,2826
2879,2855
3017,2950
3017,2969
3161,3093
3093,2966
3093,3079
3079,2950
3079,2965
3161,3112
3112,3109
3112,3110
3310,3237
3237,3110
3237,3224
3224,2966
3224,3079
3224,3109
3310,3258
3310,3277
3277,3093
3277,3109
3277,3110
3277,3253
3277,3254
3454,3381
3381,3254
3381,3369
3454,3401
3454,3405
3405,3254
3405,3369
3405,3401
3594,3556
3556,3398
3556,3512
3512,3254
3512,3369
3512,3397
3556,3541
3556,3542
3594,3571
3571,3525
3525,3398
3525,3512
3571,3541
3571,3542
3742,3669
3669,3542
3669,3656
3656,3398
3656,3512
3656,3541
3742,3690
3742,3691
3691,3669
3691,3690
3887,3813
3813,3686
3813,3805
3887,3831
3887,3858
3858,3813
3858,3831
4025,3964
4025,3977
4175,4101
4101,3974
4101,4087
4087,3964
4087,3973
4175,4120
4120,4117
4120,4118
4175,4155
4155,3974
4155,4087
4155,4117
4155,4118
4313,4245
4245,4118
4245,4232
4232,3974
4232,4087
4232,4117
4313,4265
4462,4389
4389,4262
4389,4376
4376,4118
4376,4232
4376,4261
4462,4408
4408,4405
4408,4406
4462,4411
4411,4389
4411,4408
4601,4533
4533,4406
4533,4520
4520,4262
4520,4376
4520,4405
4601,4554
4764,4550
4764,4664
4664,4406
4664,4520
4664,4549
4764,4698
4764,4722
4722,4677
4677,4550
4677,4664
4722,4698
4894,4821
4821,4694
4821,4808
4808,4550
4808,4664
4808,4693
4894,4842
4894,4843
4843,4821
4843,4842
5038,4966
5038,4985
5038,4987
4987,4966
4987,4985
5177,5110
5177,5128
5128,5125
5128,5126
5327,5253
5253,5126
5253,5239
5239,5110
5239,5125
5327,5274
5327,5300
5300,5126
5300,5239
5300,5274
5466,5420
5420,5397
5397,5270
5397,5384
5384,5126
5384,5239
5384,5269
5420,5413
5420,5414
5466,5443
5443,5397
5443,5413
5443,5414
5615,5541
5541,5414
5541,5528
5528,5270
5528,5384
5528,5413
5615,5562
5615,5586
5586,5541
5586,5562
5759,5685
5685,5558
5685,5673
5759,5706
5759,5747
5897,5829
5829,5702
5829,5816
5816,5558
5816,5673
5816,5701
5897,5847
6046,5973
5973,5846
5973,5965
6046,5991
6046,5995
5995,5973
5995,5991
6185,6117
6117,5990
6117,6104
6104,5846
6104,5965
6104,5989
6185,6138
6334,6261
6261,6134
6261,6253
6334,6281
6334,6283
6283,6261
6283,6281
6478,6407
6407,6261
6407,6277
6407,6278
6478,6424
6424,6421
6424,6422
6478,6428
6428,6407
6428,6421
6428,6422
6622,6549
6549,6422
6549,6535
6535,6407
6535,6421
6622,6569
6622,6571
6571,6549
6571,6569
6766,6693
6693,6566
6693,6685
6766,6714
6766,6715
6715,6693
6715,6714
6911,6837
6837,6710
6837,6824
6824,6566
6824,6685
6824,6709
6911,6858
6911,6882
6882,6837
6882,6858
7055,6981
6981,6854
6981,6968
6968,6710
6968,6824
6968,6853
7055,7002
7055,7035
7035,6854
7035,6968
7035,6997
7035,6998
7193,7125
7125,6998
7125,7112
7112,6854
7112,6968
7112,6997
7193,7146
7337,7270
7337,7287
7487,7413
7413,7286
7413,7399
7399,7270
7399,7285
7487,7434
7487,7475
7631,7559
7559,7413
7559,7429
7559,7430
7631,7578
7631,7602
7602,7559
7602,7578
7769,7703
7703,7559
7703,7573
7703,7574
7769,7719
7919,7847
7847,7703
7847,7717
7847,7718
7919,7864
7864,7861
7864,7862
7919,7890
7890,7847
7890,7864
8062,7989
7989,7862
7989,7975
7975,7847
7975,7861
8062,8008
8008,8005
8008,8006
8062,8020
8020,7862
8020,7975
8020,8005
8020,8006
8206,8136
8206,8154
8206,8157
8157,8006
8157,8120
8120,7862
8120,7975
8120,8005
8157,8154
8345,8277
8277,8150
8277,8264
8264,8006
8264,8120
8264,8149
8345,8295
8495,8422
8495,8441
8495,8466
8466,8422
8466,8441
8633,8567
8567,8422
8567,8437
8567,8438
