cut1_idx,cut2_idx
1919,1902
1919,1917
3852,3835
3852,3850
5782,5765
5782,5781
7221,7205
7205,1916
7205,7160
7160,1897
7160,7143
7143,1851
7143,1872
1872,1870
1872,1871
7143,7109
7109,1805
7109,1826
1826,1824
1826,1825
7109,7075
7075,1759
7075,1780
1780,1778
1780,1779
7075,7041
7041,1713
7041,1734
1734,1732
1734,1733
7041,7007
7007,1667
7007,1688
1688,1686
1688,1687
7007,6973
6973,1621
6973,1642
1642,1640
1642,1641
6973,6939
6939,1575
6939,1596
1596,1594
1596,1595
6939,6905
6905,1529
6905,1550
1550,1548
1550,1549
6905,6871
6871,1483
6871,1504
1504,1502
1504,1503
6871,6837
6837,1437
6837,1458
1458,1456
1458,1457
6837,6803
6803,1391
6803,1412
1412,1410
1412,1411
6803,6769
6769,1345
6769,1366
1366,1364
1366,1365
6769,6735
6735,1299
6735,1320
1320,1318
1320,1319
6735,6701
6701,1253
6701,1274
1274,1272
1274,1273
6701,6667
6667,1207
6667,1228
1228,1226
1228,1227
6667,6633
6633,1161
6633,1182
1182,1180
1182,1181
6633,6599
6599,1115
6599,1136
1136,1134
1136,1135
6599,6565
6565,1069
6565,1090
1090,1088
1090,1089
6565,6531
6531,1023
6531,1044
1044,1042
1044,1043
6531,6497
6497,977
6497,998
998,996
998,997
6497,6463
6463,931
6463,952
952,950
952,951
6463,6429
6429,885
6429,906
906,904
906,905
6429,6395
6395,839
6395,860
860,858
860,859
6395,6361
6361,793
6361,814
814,812
814,813
6361,6327
6327,747
6327,768
768,766
768,767
6327,6293
6293,701
6293,722
722,720
722,721
6293,6259
6259,655
6259,676
676,674
676,675
6259,6225
6225,609
6225,630
630,628
630,629
6225,6191
6191,563
6191,584
584,582
584,583
6191,6157
6157,517
6157,538
538,536
538,537
6157,6123
6123,471
6123,492
492,490
492,491
6123,6089
6089,425
6089,446
446,444
446,445
6089,6055
6055,379
6055,400
400,398
400,399
6055,6021
6021,333
6021,354
354,352
354,353
6021,5987
5987,287
5987,308
308,306
308,307
5987,5953
5953,241
5953,262
262,260
262,261
5953,5919
5919,195
5919,216
216,214
216,215
5919,5885
5885,149
5885,173
5885,5851
5851,103
5851,127
5851,5817
5817,57
5817,80
5817,5801
7205,7176
7205,7199
7221,7220
8660,8644
8644,3849
8644,8600
8600,3805
3805,3803
3805,3804
8600,3830
8600,8566
8566,3759
3759,3757
3759,3758
8566,3784
8566,8532
8532,3713
3713,3711
3713,3712
8532,3738
8532,8498
8498,3667
3667,3665
3667,3666
8498,3692
8498,8464
8464,3621
3621,3619
3621,3620
8464,3646
8464,8430
8430,3575
3575,3573
3575,3574
8430,3600
8430,8396
8396,3529
3529,3527
3529,3528
8396,3554
8396,8362
8362,3483
3483,3481
3483,3482
8362,3508
8362,8328
8328,3437
3437,3435
3437,3436
8328,3462
8328,8294
8294,3391
3391,3389
3391,3390
8294,3416
8294,8260
8260,3345
3345,3343
3345,3344
8260,3370
8260,8226
8226,3299
3299,3297
3299,3298
8226,3324
8226,8192
8192,3253
3253,3251
3253,3252
8192,3278
8192,8158
8158,3207
3207,3205
3207,3206
8158,3232
8158,8124
8124,3161
3161,3159
3161,3160
8124,3186
8124,8090
8090,3115
3115,3113
3115,3114
8090,3140
8090,8056
8056,3069
3069,3067
3069,3068
8056,3094
8056,8022
8022,3023
3023,3021
3023,3022
8022,3048
8022,7988
7988,2977
2977,2975
2977,2976
7988,3002
7988,7954
7954,2931
2931,2929
2931,2930
7954,2956
7954,7920
7920,2885
2885,2883
2885,2884
7920,2910
7920,7886
7886,2839
2839,2837
2839,2838
7886,2864
7886,7852
7852,2793
2793,2791
2793,2792
7852,2818
7852,7818
7818,2747
2747,2745
2747,2746
7818,2772
7818,7784
7784,2701
2701,2699
2701,2700
7784,2726
7784,7750
7750,2655
2655,2653
2655,2654
7750,2680
7750,7716
7716,2609
2609,2607
2609,2608
7716,2634
7716,7682
7682,2563
2563,2561
2563,2562
7682,2588
7682,7648
7648,2517
2517,2515
2517,2516
7648,2542
7648,7614
7614,2471
2471,2469
2471,2470
7614,2496
7614,7580
7580,2425
2425,2423
2425,2424
7580,2450
7580,7546
7546,2379
2379,2377
2379,2378
7546,2404
7546,7512
7512,2333
2333,2331
2333,2332
7512,2358
7512,7478
7478,2287
2287,2285
2287,2286
7478,2312
7478,7444
7444,2241
2241,2239
2241,2240
7444,2266
7444,7410
7410,2195
2195,2193
2195,2194
7410,2220
7410,7376
7376,2149
2149,2147
2149,2148
7376,2174
7376,7342
7342,2106
7342,2128
7342,7307
7307,2082
7307,7290
7290,2036
7290,2060
7290,7256
7256,1990
7256,2014
7256,7236
7236,1964
7236,3876
8644,8615
8644,8638
8660,8659
14393,57
14393,14357
14357,16
14357,35
14357,14323
14323,5760
14323,10055
14323,14289
14289,5714
14289,5735
5735,5733
5735,5734
14289,14255
14255,5668
14255,5689
5689,5687
5689,5688
14255,14221
14221,5622
14221,5643
5643,5641
5643,5642
14221,14187
14187,5576
14187,5597
5597,5595
5597,5596
14187,14153
14153,5530
14153,5551
5551,5549
5551,5550
14153,14119
14119,5484
14119,5505
5505,5503
5505,5504
14119,14085
14085,5438
14085,5459
5459,5457
5459,5458
14085,14051
14051,5392
14051,5413
5413,5411
5413,5412
14051,14017
14017,5346
14017,5367
5367,5365
5367,5366
14017,13983
13983,5300
13983,5321
5321,5319
5321,5320
13983,13949
13949,5254
13949,5275
5275,5273
5275,5274
13949,13915
13915,5208
13915,5229
5229,5227
5229,5228
13915,13881
13881,5162
13881,5183
5183,5181
5183,5182
13881,13847
13847,5116
13847,5137
5137,5135
5137,5136
13847,13813
13813,5070
13813,5091
5091,5089
5091,5090
13813,13779
13779,5024
13779,5045
5045,5043
5045,5044
13779,13745
13745,4978
13745,4999
4999,4997
4999,4998
13745,13711
13711,4932
13711,4953
4953,4951
4953,4952
13711,13677
13677,4886
13677,4907
4907,4905
4907,4906
13677,13643
13643,4840
13643,4861
4861,4859
4861,4860
13643,13609
13609,4794
13609,4815
4815,4813
4815,4814
13609,13575
13575,4748
13575,4769
4769,4767
4769,4768
13575,13541
13541,4702
13541,4723
4723,4721
4723,4722
13541,13507
13507,4656
13507,4677
4677,4675
4677,4676
13507,13473
13473,4610
13473,4631
4631,4629
4631,4630
13473,13439
13439,4564
13439,4585
4585,4583
4585,4584
13439,13405
13405,4518
13405,4539
4539,4537
4539,4538
13405,13371
13371,4472
13371,4493
4493,4491
4493,4492
13371,13337
13337,4426
13337,4447
4447,4445
4447,4446
13337,13303
13303,4380
13303,4401
4401,4399
4401,4400
13303,13269
13269,4334
13269,4355
4355,4353
4355,4354
13269,13235
13235,4288
13235,4309
4309,4307
4309,4308
13235,13201
13201,4242
13201,4263
4263,4261
4263,4262
13201,13167
13167,4196
13167,4217
4217,4215
4217,4216
13167,13133
13133,4150
13133,4171
4171,4169
4171,4170
13133,13099
13099,4104
13099,4125
4125,4123
4125,4124
13099,13065
13065,4058
13065,4079
4079,4077
4079,4078
13065,13031
13031,4012
13031,4035
13031,12996
12996,3990
12996,12983
12983,3966
12983,12977
12977,102
12977,3940
14393,14391
15823,1990
15823,15787
15787,1949
15787,1968
15787,15753
15753,7199
15753,11489
15753,15719
15719,1897
15719,7177
7177,1916
7177,7176
15719,15685
15685,1851
15685,1872
15685,15651
15651,1805
15651,1826
15651,15617
15617,1759
15617,1780
15617,15583
15583,1713
15583,1734
15583,15549
15549,1667
15549,1688
15549,15515
15515,1621
15515,1642
15515,15481
15481,1575
15481,1596
15481,15447
15447,1529
15447,1550
15447,15413
15413,1483
15413,1504
15413,15379
15379,1437
15379,1458
15379,15345
15345,1391
15345,1412
15345,15311
15311,1345
15311,1366
15311,15277
15277,1299
15277,1320
15277,15243
15243,1253
15243,1274
15243,15209
15209,1207
15209,1228
15209,15175
15175,1161
15175,1182
15175,15141
15141,1115
15141,1136
15141,15107
15107,1069
15107,1090
15107,15073
15073,1023
15073,1044
15073,15039
15039,977
15039,998
15039,15005
15005,931
15005,952
15005,14971
14971,885
14971,906
14971,14937
14937,839
14937,860
14937,14903
14903,793
14903,814
14903,14869
14869,747
14869,768
14869,14835
14835,701
14835,722
14835,14801
14801,655
14801,676
14801,14767
14767,609
14767,630
14767,14733
14733,563
14733,584
14733,14699
14699,517
14699,538
14699,14665
14665,471
14665,492
14665,14631
14631,425
14631,446
14631,14597
14597,379
14597,400
14597,14563
14563,333
14563,354
14563,14529
14529,287
14529,308
14529,14495
14495,241
14495,262
14495,14461
14461,195
14461,216
14461,14426
14426,173
14426,14416
15823,15821
17253,3920
17253,17217
17217,3879
17217,3898
17217,17183
17183,8638
17183,12923
17183,17149
17149,3830
17149,8616
8616,3849
8616,8615
17149,17115
17115,3784
17115,3805
17115,17081
17081,3738
17081,3759
17081,17047
17047,3692
17047,3713
17047,17013
17013,3646
17013,3667
17013,16979
16979,3600
16979,3621
16979,16945
16945,3554
16945,3575
16945,16911
16911,3508
16911,3529
16911,16877
16877,3462
16877,3483
16877,16843
16843,3416
16843,3437
16843,16809
16809,3370
16809,3391
16809,16775
16775,3324
16775,3345
16775,16741
16741,3278
16741,3299
16741,16707
16707,3232
16707,3253
16707,16673
16673,3186
16673,3207
16673,16639
16639,3140
16639,3161
16639,16605
16605,3094
16605,3115
16605,16571
16571,3048
16571,3069
16571,16537
16537,3002
16537,3023
16537,16503
16503,2956
16503,2977
16503,16469
16469,2910
16469,2931
16469,16435
16435,2864
16435,2885
16435,16401
16401,2818
16401,2839
16401,16367
16367,2772
16367,2793
16367,16333
16333,2726
16333,2747
16333,16299
16299,2680
16299,2701
16299,16265
16265,2634
16265,2655
16265,16231
16231,2588
16231,2609
16231,16197
16197,2542
16197,2563
16197,16163
16163,2496
16163,2517
16163,16129
16129,2450
16129,2471
16129,16095
16095,2404
16095,2425
16095,16061
16061,2358
16061,2379
16061,16027
16027,2312
16027,2333
16027,15993
15993,2266
15993,2287
15993,15959
15959,2220
15959,2241
15959,15925
15925,2174
15925,2195
15925,15891
15891,2128
15891,2149
15891,15856
15856,2106
15856,15846
17253,17251
18683,103
18683,18647
18647,57
18647,80
18647,18613
18613,16
18613,35
18613,18579
18579,5760
18579,10055
18579,18545
18545,5714
18545,5735
18545,18511
18511,5668
18511,5689
18511,18477
18477,5622
18477,5643
18477,18443
18443,5576
18443,5597
18443,18409
18409,5530
18409,5551
18409,18375
18375,5484
18375,5505
18375,18341
18341,5438
18341,5459
18341,18307
18307,5392
18307,5413
18307,18273
18273,5346
18273,5367
18273,18239
18239,5300
18239,5321
18239,18205
18205,5254
18205,5275
18205,18171
18171,5208
18171,5229
18171,18137
18137,5162
18137,5183
18137,18103
18103,5116
18103,5137
18103,18069
18069,5070
18069,5091
18069,18035
18035,5024
18035,5045
18035,18001
18001,4978
18001,4999
18001,17967
17967,4932
17967,4953
17967,17933
17933,4886
17933,4907
17933,17899
17899,4840
17899,4861
17899,17865
17865,4794
17865,4815
17865,17831
17831,4748
17831,4769
17831,17797
17797,4702
17797,4723
17797,17763
17763,4656
17763,4677
17763,17729
17729,4610
17729,4631
17729,17695
17695,4564
17695,4585
17695,17661
17661,4518
17661,4539
17661,17627
17627,4472
17627,4493
17627,17593
17593,4426
17593,4447
17593,17559
17559,4380
17559,4401
17559,17525
17525,4334
17525,4355
17525,17491
17491,4288
17491,4309
17491,17457
17457,4242
17457,4263
17457,17423
17423,4196
17423,4217
17423,17389
17389,4150
17389,4171
17389,17355
17355,4104
17355,4125
17355,17321
17321,4058
17321,4079
17321,17286
17286,4035
17286,17273
17273,4012
17273,17269
18683,18681
20113,2036
20113,20077
20077,1990
20077,2014
20077,20043
20043,1949
20043,1968
20043,20009
20009,7199
20009,11489
20009,19975
19975,1897
19975,7177
19975,19941
19941,1851
19941,1872
19941,19907
19907,1805
19907,1826
19907,19873
19873,1759
19873,1780
19873,19839
19839,1713
19839,1734
19839,19805
19805,1667
19805,1688
19805,19771
19771,1621
19771,1642
19771,19737
19737,1575
19737,1596
19737,19703
19703,1529
19703,1550
19703,19669
19669,1483
19669,1504
19669,19635
19635,1437
19635,1458
19635,19601
19601,1391
19601,1412
19601,19567
19567,1345
19567,1366
19567,19533
19533,1299
19533,1320
19533,19499
19499,1253
19499,1274
19499,19465
19465,1207
19465,1228
19465,19431
19431,1161
19431,1182
19431,19397
19397,1115
19397,1136
19397,19363
19363,1069
19363,1090
19363,19329
19329,1023
19329,1044
19329,19295
19295,977
19295,998
19295,19261
19261,931
19261,952
19261,19227
19227,885
19227,906
19227,19193
19193,839
19193,860
19193,19159
19159,793
19159,814
19159,19125
19125,747
19125,768
19125,19091
19091,701
19091,722
19091,19057
19057,655
19057,676
19057,19023
19023,609
19023,630
19023,18989
18989,563
18989,584
18989,18955
18955,517
18955,538
18955,18921
18921,471
18921,492
18921,18887
18887,425
18887,446
18887,18853
18853,379
18853,400
18853,18819
18819,333
18819,354
18819,18785
18785,287
18785,308
18785,18751
18751,241
18751,262
18751,18716
18716,216
18716,18706
20113,20111
21543,3966
21543,21507
21507,3920
21507,3943
21507,21473
21473,3879
21473,3898
21473,21439
21439,8638
21439,12923
21439,21405
21405,3830
21405,8616
21405,21371
21371,3784
21371,3805
21371,21337
21337,3738
21337,3759
21337,21303
21303,3692
21303,3713
21303,21269
21269,3646
21269,3667
21269,21235
21235,3600
21235,3621
21235,21201
21201,3554
21201,3575
21201,21167
21167,3508
21167,3529
21167,21133
21133,3462
21133,3483
21133,21099
21099,3416
21099,3437
21099,21065
21065,3370
21065,3391
21065,21031
21031,3324
21031,3345
21031,20997
20997,3278
20997,3299
20997,20963
20963,3232
20963,3253
20963,20929
20929,3186
20929,3207
20929,20895
20895,3140
20895,3161
20895,20861
20861,3094
20861,3115
20861,20827
20827,3048
20827,3069
20827,20793
20793,3002
20793,3023
20793,20759
20759,2956
20759,2977
20759,20725
20725,2910
20725,2931
20725,20691
20691,2864
20691,2885
20691,20657
20657,2818
20657,2839
20657,20623
20623,2772
20623,2793
20623,20589
20589,2726
20589,2747
20589,20555
20555,2680
20555,2701
20555,20521
20521,2634
20521,2655
20521,20487
20487,2588
20487,2609
20487,20453
20453,2542
20453,2563
20453,20419
20419,2496
20419,2517
20419,20385
20385,2450
20385,2471
20385,20351
20351,2404
20351,2425
20351,20317
20317,2358
20317,2379
20317,20283
20283,2312
20283,2333
20283,20249
20249,2266
20249,2287
20249,20215
20215,2220
20215,2241
20215,20181
20181,2174
20181,2195
20181,20146
20146,2149
20146,20136
21543,21541
22973,149
22973,22937
22937,103
22937,127
22937,22903
22903,57
22903,80
22903,22869
22869,16
22869,35
22869,22835
22835,5760
22835,10055
22835,22801
22801,5714
22801,5735
22801,22767
22767,5668
22767,5689
22767,22733
22733,5622
22733,5643
22733,22699
22699,5576
22699,5597
22699,22665
22665,5530
22665,5551
22665,22631
22631,5484
22631,5505
22631,22597
22597,5438
22597,5459
22597,22563
22563,5392
22563,5413
22563,22529
22529,5346
22529,5367
22529,22495
22495,5300
22495,5321
22495,22461
22461,5254
22461,5275
22461,22427
22427,5208
22427,5229
22427,22393
22393,5162
22393,5183
22393,22359
22359,5116
22359,5137
22359,22325
22325,5070
22325,5091
22325,22291
22291,5024
22291,5045
22291,22257
22257,4978
22257,4999
22257,22223
22223,4932
22223,4953
22223,22189
22189,4886
22189,4907
22189,22155
22155,4840
22155,4861
22155,22121
22121,4794
22121,4815
22121,22087
22087,4748
22087,4769
22087,22053
22053,4702
22053,4723
22053,22019
22019,4656
22019,4677
22019,21985
21985,4610
21985,4631
21985,21951
21951,4564
21951,4585
21951,21917
21917,4518
21917,4539
21917,21883
21883,4472
21883,4493
21883,21849
21849,4426
21849,4447
21849,21815
21815,4380
21815,4401
21815,21781
21781,4334
21781,4355
21781,21747
21747,4288
21747,4309
21747,21713
21713,4242
21713,4263
21713,21679
21679,4196
21679,4217
21679,21645
21645,4150
21645,4171
21645,21611
21611,4104
21611,4125
21611,21576
21576,4079
21576,21563
21563,4058
21563,21557
21557,194
21557,4032
22973,22971
24403,2082
24403,24367
24367,2036
24367,2060
24367,24333
24333,1990
24333,2014
24333,24299
24299,1949
24299,1968
24299,24265
24265,7199
24265,11489
24265,24231
24231,1897
24231,7177
24231,24197
24197,1851
24197,1872
24197,24163
24163,1805
24163,1826
24163,24129
24129,1759
24129,1780
24129,24095
24095,1713
24095,1734
24095,24061
24061,1667
24061,1688
24061,24027
24027,1621
24027,1642
24027,23993
23993,1575
23993,1596
23993,23959
23959,1529
23959,1550
23959,23925
23925,1483
23925,1504
23925,23891
23891,1437
23891,1458
23891,23857
23857,1391
23857,1412
23857,23823
23823,1345
23823,1366
23823,23789
23789,1299
23789,1320
23789,23755
23755,1253
23755,1274
23755,23721
23721,1207
23721,1228
23721,23687
23687,1161
23687,1182
23687,23653
23653,1115
23653,1136
23653,23619
23619,1069
23619,1090
23619,23585
23585,1023
23585,1044
23585,23551
23551,977
23551,998
23551,23517
23517,931
23517,952
23517,23483
23483,885
23483,906
23483,23449
23449,839
23449,860
23449,23415
23415,793
23415,814
23415,23381
23381,747
23381,768
23381,23347
23347,701
23347,722
23347,23313
23313,655
23313,676
23313,23279
23279,609
23279,630
23279,23245
23245,563
23245,584
23245,23211
23211,517
23211,538
23211,23177
23177,471
23177,492
23177,23143
23143,425
23143,446
23143,23109
23109,379
23109,400
23109,23075
23075,333
23075,354
23075,23041
23041,287
23041,308
23041,23006
23006,262
23006,22996
24403,24401
25833,4012
25833,25797
25797,3966
25797,3990
25797,25763
25763,3920
25763,3943
25763,25729
25729,3879
25729,3898
25729,25695
25695,8638
25695,12923
25695,25661
25661,3830
25661,8616
25661,25627
25627,3784
25627,3805
25627,25593
25593,3738
25593,3759
25593,25559
25559,3692
25559,3713
25559,25525
25525,3646
25525,3667
25525,25491
25491,3600
25491,3621
25491,25457
25457,3554
25457,3575
25457,25423
25423,3508
25423,3529
25423,25389
25389,3462
25389,3483
25389,25355
25355,3416
25355,3437
25355,25321
25321,3370
25321,3391
25321,25287
25287,3324
25287,3345
25287,25253
25253,3278
25253,3299
25253,25219
25219,3232
25219,3253
25219,25185
25185,3186
25185,3207
25185,25151
25151,3140
25151,3161
25151,25117
25117,3094
25117,3115
25117,25083
25083,3048
25083,3069
25083,25049
25049,3002
25049,3023
25049,25015
25015,2956
25015,2977
25015,24981
24981,2910
24981,2931
24981,24947
24947,2864
24947,2885
24947,24913
24913,2818
24913,2839
24913,24879
24879,2772
24879,2793
24879,24845
24845,2726
24845,2747
24845,24811
24811,2680
24811,2701
24811,24777
24777,2634
24777,2655
24777,24743
24743,2588
24743,2609
24743,24709
24709,2542
24709,2563
24709,24675
24675,2496
24675,2517
24675,24641
24641,2450
24641,2471
24641,24607
24607,2404
24607,2425
24607,24573
24573,2358
24573,2379
24573,24539
24539,2312
24539,2333
24539,24505
24505,2266
24505,2287
24505,24471
24471,2220
24471,2241
24471,24436
24436,2195
24436,24426
25833,25831
27263,195
27263,27227
27227,149
27227,173
27227,27193
27193,103
27193,127
27193,27159
27159,57
27159,80
27159,27125
27125,16
27125,35
27125,27091
27091,5760
27091,10055
27091,27057
27057,5714
27057,5735
27057,27023
27023,5668
27023,5689
