cut1_idx,cut2_idx
1920,1877
1877,1831
1831,1785
1785,1739
1739,1693
1693,1647
1647,1601
1601,1555
1555,1509
1509,1463
1463,1417
1417,1371
1371,1325
1325,1279
1279,1233
1233,1187
1187,1141
1141,1095
1095,1049
1049,1003
1003,957
957,911
911,865
865,819
819,773
773,727
727,681
681,635
635,589
589,543
543,497
497,451
451,405
405,359
359,313
313,267
267,221
221,175
175,129
129,83
83,37
37,6
37,15
37,34
83,58
83,80
129,104
129,126
175,150
175,172
221,196
221,218
267,242
267,264
313,288
313,310
359,334
359,356
405,380
405,402
451,426
451,448
497,472
497,494
543,518
543,540
589,564
589,586
635,610
635,632
681,656
681,678
727,702
727,724
773,748
773,770
819,794
819,816
865,840
865,862
911,886
911,908
957,932
957,954
1003,978
1003,1000
1049,1024
1049,1046
1095,1070
1095,1092
1141,1116
1141,1138
1187,1162
1187,1184
1233,1208
1233,1230
1279,1254
1279,1276
1325,1300
1325,1322
1371,1346
1371,1368
1417,1392
1417,1414
1463,1438
1463,1460
1509,1484
1509,1506
1555,1530
1555,1552
1601,1576
1601,1598
1647,1622
1647,1644
1693,1668
1693,1690
1739,1714
1739,1736
1785,1760
1785,1782
1831,1806
1831,1828
1877,1852
1877,1874
1920,1898
1920,1918
3853,3810
3810,3764
3764,3718
3718,3672
3672,3626
3626,3580
3580,3534
3534,3488
3488,3442
3442,3396
3396,3350
3350,3304
3304,3258
3258,3212
3212,3166
3166,3120
3120,3074
3074,3028
3028,2982
2982,2936
2936,2890
2890,2844
2844,2798
2798,2752
2752,2706
2706,2660
2660,2614
2614,2568
2568,2522
2522,2476
2476,2430
2430,2384
2384,2338
2338,2292
2292,2246
2246,2200
2200,2154
2154,2108
2108,2062
2062,2016
2016,1970
1970,1939
1970,1948
1970,1967
2016,1991
2016,2013
2062,2037
2062,2059
2108,2083
2108,2105
2154,2129
2154,2151
2200,2175
2200,2197
2246,2221
2246,2243
2292,2267
2292,2289
2338,2313
2338,2335
2384,2359
2384,2381
2430,2405
2430,2427
2476,2451
2476,2473
2522,2497
2522,2519
2568,2543
2568,2565
2614,2589
2614,2611
2660,2635
2660,2657
2706,2681
2706,2703
2752,2727
2752,2749
2798,2773
2798,2795
2844,2819
2844,2841
2890,2865
2890,2887
2936,2911
2936,2933
2982,2957
2982,2979
3028,3003
3028,3025
3074,3049
3074,3071
3120,3095
3120,3117
3166,3141
3166,3163
3212,3187
3212,3209
3258,3233
3258,3255
3304,3279
3304,3301
3350,3325
3350,3347
3396,3371
3396,3393
3442,3417
3442,3439
3488,3463
3488,3485
3534,3509
3534,3531
3580,3555
3580,3577
3626,3601
3626,3623
3672,3647
3672,3669
3718,3693
3718,3715
3764,3739
3764,3761
3810,3785
3810,3807
3853,3831
3853,3851
5783,5740
5740,5694
5694,5648
5648,5602
5602,5556
5556,5510
5510,5464
5464,5418
5418,5372
5372,5326
5326,5280
5280,5234
5234,5188
5188,5142
5142,5096
5096,5050
5050,5004
5004,4958
4958,4912
4912,4866
4866,4820
4820,4774
4774,4728
4728,4682
4682,4636
4636,4590
4590,4544
4544,4498
4498,4452
4452,4406
4406,4360
4360,4314
4314,4268
4268,4222
4222,4176
4176,4130
4130,4084
4084,4038
4038,3992
3992,3946
3946,3900
3900,3869
3900,3878
3900,3897
3946,3921
3946,3943
3992,3967
3992,3989
4038,4013
4038,4035
4084,4059
4084,4081
4130,4105
4130,4127
4176,4151
4176,4173
4222,4197
4222,4219
4268,4243
4268,4265
4314,4289
4314,4311
4360,4335
4360,4357
4406,4381
4406,4403
4452,4427
4452,4449
4498,4473
4498,4495
4544,4519
4544,4541
4590,4565
4590,4587
4636,4611
4636,4633
4682,4657
4682,4679
4728,4703
4728,4725
4774,4749
4774,4771
4820,4795
4820,4817
4866,4841
4866,4863
4912,4887
4912,4909
4958,4933
4958,4955
5004,4979
5004,5001
5050,5025
5050,5047
5096,5071
5096,5093
5142,5117
5142,5139
5188,5163
5188,5185
5234,5209
5234,5231
5280,5255
5280,5277
5326,5301
5326,5323
5372,5347
5372,5369
5418,5393
5418,5415
5464,5439
5464,5461
5510,5485
5510,5507
5556,5531
5556,5553
5602,5577
5602,5599
5648,5623
5648,5645
5694,5669
5694,5691
5740,5715
5740,5737
5783,5761
5783,5781
7222,7182
7182,1898
7182,7143
7143,1852
7143,1874
7143,7109
7109,1806
7109,1828
7109,7075
7075,1760
7075,1782
7075,7041
7041,1714
7041,1736
7041,7007
7007,1668
7007,1690
7007,6973
6973,1622
6973,1644
6973,6939
6939,1576
6939,1598
6939,6905
6905,1530
6905,1552
6905,6871
6871,1484
6871,1506
6871,6837
6837,1438
6837,1460
6837,6803
6803,1392
6803,1414
6803,6769
6769,1346
6769,1368
6769,6735
6735,1300
6735,1322
6735,6701
6701,1254
6701,1276
6701,6667
6667,1208
6667,1230
6667,6633
6633,1162
6633,1184
6633,6599
6599,1116
6599,1138
6599,6565
6565,1070
6565,1092
6565,6531
6531,1024
6531,1046
6531,6497
6497,978
6497,1000
6497,6463
6463,932
6463,954
6463,6429
6429,886
6429,908
6429,6395
6395,840
6395,862
6395,6361
6361,794
6361,816
6361,6327
6327,748
6327,770
6327,6293
6293,702
6293,724
6293,6259
6259,656
6259,678
6259,6225
6225,610
6225,632
6225,6191
6191,564
6191,586
6191,6157
6157,518
6157,540
6157,6123
6123,472
6123,494
6123,6089
6089,426
6089,448
6089,6055
6055,380
6055,402
6055,6021
6021,334
6021,356
6021,5987
5987,288
5987,310
5987,5953
5953,242
5953,264
5953,5919
5919,196
5919,218
5919,5885
5885,150
5885,172
5885,5851
5851,104
5851,126
5851,5817
5817,58
5817,80
5817,5798
7182,7179
7222,7200
7222,7220
8661,8621
8621,3831
8621,8582
8582,3785
8582,3807
8582,8548
8548,3739
8548,3761
8548,8514
8514,3693
8514,3715
8514,8480
8480,3647
8480,3669
8480,8446
8446,3601
8446,3623
8446,8412
8412,3555
8412,3577
8412,8378
8378,3509
8378,3531
8378,8344
8344,3463
8344,3485
8344,8310
8310,3417
8310,3439
8310,8276
8276,3371
8276,3393
8276,8242
8242,3325
8242,3347
8242,8208
8208,3279
8208,3301
8208,8174
8174,3233
8174,3255
8174,8140
8140,3187
8140,3209
8140,8106
8106,3141
8106,3163
8106,8072
8072,3095
8072,3117
8072,8038
8038,3049
8038,3071
8038,8004
8004,3003
8004,3025
8004,7970
7970,2957
7970,2979
7970,7936
7936,2911
7936,2933
7936,7902
7902,2865
7902,2887
7902,7868
7868,2819
7868,2841
7868,7834
7834,2773
7834,2795
7834,7800
7800,2727
7800,2749
7800,7766
7766,2681
7766,2703
7766,7732
7732,2635
7732,2657
7732,7698
7698,2589
7698,2611
7698,7664
7664,2543
7664,2565
7664,7630
7630,2497
7630,2519
7630,7596
7596,2451
7596,2473
7596,7562
7562,2405
7562,2427
7562,7528
7528,2359
7528,2381
7528,7494
7494,2313
7494,2335
7494,7460
7460,2267
7460,2289
7460,7426
7426,2221
7426,2243
7426,7392
7392,2175
7392,2197
7392,7358
7358,2129
7358,2151
7358,7324
7324,2083
7324,2105
7324,7290
7290,2037
7290,2059
7290,7256
7256,1991
7256,2013
7256,7237
8621,8618
8661,8639
8661,8659
10095,15
10095,10059
10059,5761
10059,10021
10021,5715
10021,5737
10021,9987
9987,5669
9987,5691
9987,9953
9953,5623
9953,5645
9953,9919
9919,5577
9919,5599
9919,9885
9885,5531
9885,5553
9885,9851
9851,5485
9851,5507
9851,9817
9817,5439
9817,5461
9817,9783
9783,5393
9783,5415
9783,9749
9749,5347
9749,5369
9749,9715
9715,5301
9715,5323
