cut_idx,fPhase,canon_tt,cut_delay
1,0,2004318071, 17.670000
1,1,286331153, 18.620001
2,0,2004318071, 17.670000
2,1,286331153, 18.620001
3,0,2139062143, 21.379999
3,1,16843009, 22.879999
4,0,2004318071, 17.670000
4,1,286331153, 18.620001
5,0,2004318071, 17.670000
5,1,286331153, 18.620001
6,0,2139062143, 21.379999
6,1,16843009, 22.879999
7,0,2004318071, 17.670000
7,1,286331153, 24.280001
8,0,926365495, 21.020000
8,1,320017171, 26.590000
9,0,353703189, 21.030001
9,1,1465341783, 21.020000
10,0,522133279, 21.020000
10,1,117901063, 26.590000
11,0,17760527, -1.000000
11,1,259985279, -1.000000
12,0,33489407, 25.920000
12,1,8323199, 25.270000
13,0,3473461, -1.000000
13,1,905917951, -1.000000
14,0,17760527, -1.000000
14,1,259985279, -1.000000
15,0,33489407, 25.920000
15,1,8323199, 25.270000
16,0,2004318071, 17.670000
16,1,286331153, 18.620001
17,0,2004318071, 17.670000
17,1,286331153, 18.620001
18,0,2139062143, 21.379999
18,1,16843009, 22.879999
19,0,2004318071, 17.670000
19,1,286331153, 18.620001
20,0,2004318071, 17.670000
20,1,286331153, 18.620001
21,0,2139062143, 21.379999
21,1,16843009, 22.879999
22,0,2004318071, 17.670000
22,1,286331153, 18.620001
23,0,926365495, 21.020000
23,1,320017171, 21.030001
24,0,353703189, 21.030001
24,1,1465341783, 21.020000
25,0,522133279, 21.020000
25,1,117901063, 21.030001
26,0,17760527, -1.000000
26,1,259985279, -1.000000
27,0,33489407, 25.920000
27,1,8323199, 25.270000
28,0,3473461, -1.000000
28,1,905917951, -1.000000
29,0,17760527, -1.000000
29,1,259985279, -1.000000
30,0,33489407, 25.920000
30,1,8323199, 25.270000
31,0,2004318071, 17.670000
31,1,286331153, 18.620001
32,0,2139062143, 31.150000
32,1,16843009, 22.879999
33,0,2139062143, 21.379999
33,1,16843009, 26.600000
34,0,939472895, 31.780001
34,1,1245203, 26.000000
35,0,536813567, 24.190001
35,1,458759, 35.830002
36,0,930559863, -1.000000
36,1,286462227, -1.000000
37,0,369038847, -1.000000
37,1,5701719, -1.000000
38,0,1065303935, 31.780001
38,1,16974083, 26.000000
39,0,939472895, 24.190001
39,1,1245203, 35.830002
40,0,2147450879, 33.009998
40,1,65537, 28.690001
41,0,33554431, 30.549999
41,1,127, 30.360001
42,0,33554431, 30.549999
42,1,127, 30.360001
43,0,33492991, -1.000000
43,1,983167, -1.000000
44,0,17825791, -1.000000
44,1,3967, -1.000000
45,0,3538943, -1.000000
45,1,13823, -1.000000
46,0,3538943, -1.000000
46,1,13823, -1.000000
47,0,33554431, 30.549999
47,1,127, 30.360001
48,0,33554431, 30.549999
48,1,127, 30.360001
49,0,33492991, -1.000000
49,1,983167, -1.000000
50,0,17825791, -1.000000
50,1,3967, -1.000000
51,0,364904447, -1.000000
51,1,427, -1.000000
52,0,935329791, -1.000000
52,1,291, -1.000000
53,0,1065353215, -1.000000
53,1,259, -1.000000
54,0,532676607, -1.000000
54,1,267, -1.000000
55,0,532660159, -1.000000
55,1,16843019, -1.000000
56,0,536854527, -1.000000
56,1,65547, -1.000000
57,0,536870911, -1.000000
57,1,7, -1.000000
58,0,935313343, -1.000000
58,1,16843043, -1.000000
59,0,1065320319, -1.000000
59,1,16843011, -1.000000
60,0,364887999, -1.000000
60,1,16843179, -1.000000
61,0,369082367, -1.000000
61,1,65707, -1.000000
62,0,369098751, -1.000000
62,1,87, -1.000000
63,0,1073709055, -1.000000
63,1,65539, -1.000000
64,0,939507711, -1.000000
