cut1_idx,cut2_idx
3351,1673
3351,3343
6710,5031
6710,6702
9941,8326
9941,9933
13172,11557
13172,13164
14451,13812
14451,14443
15730,15091
15730,15722
17009,16370
17009,17001
18288,17649
18288,18280
19567,18928
19567,19559
20846,20207
20846,20838
22125,21486
22125,22117
23404,22765
23404,23396
24683,24044
24683,24675
25962,25323
25962,25954
27241,26602
27241,27233
28520,27881
28520,28512
28791,28656
28791,28783
29062,28927
29062,29054
29333,29198
29333,29325
29604,29469
29604,29596
29875,29740
29875,29867
30146,30011
30146,30138
30417,30282
30417,30409
30688,30553
30688,30680
30959,30824
30959,30951
31230,31095
31230,31222
31501,31366
31501,31493
31772,31637
31772,31764
32043,31908
32043,32035
32314,32179
32314,32306
32585,32450
32585,32577
32856,32721
32856,32848
33127,32992
33127,33119
33398,33263
33398,33390
33669,33534
33669,33661
33940,33805
33940,33932
34211,34076
34211,34203
34482,34347
34482,34474
34753,34618
34753,34745
35024,34889
35024,35016
35295,35160
35295,35287
35566,35431
35566,35558
35837,35702
35837,35829
36108,35973
36108,36100
36379,36244
36379,36371
36650,36515
36650,36642
36921,36786
36921,36913
37192,37057
37192,37184
37463,37328
37463,37455
37734,37599
37734,37726
38005,37870
38005,37997
38276,38141
38276,38268
38547,38412
38547,38539
38818,38683
38818,38810
39089,38954
39089,39081
39360,39225
39360,39352
39631,39496
39631,39623
39902,39767
39902,39894
40173,40038
40173,40165
40444,40309
40444,40436
40715,40580
40715,40707
40986,40851
40986,40978
41257,41122
41257,41249
41528,41393
41528,41520
41563,41546
41563,41556
41598,41581
41598,41590
41633,41616
41633,41625
41668,41651
41668,41660
41703,41686
41703,41695
41738,41721
41738,41730
41773,41756
41773,41765
41808,41791
41808,41800
41843,41826
41843,41835
41878,41861
41878,41870
41913,41896
41913,41905
41948,41931
41948,41940
41983,41966
41983,41975
42018,42001
42018,42010
42053,42036
42053,42045
42088,42071
42088,42080
42123,42106
42123,42115
42158,42141
42158,42150
42193,42176
42193,42185
42228,42211
42228,42220
42263,42246
42263,42255
42298,42281
42298,42290
42333,42316
42333,42325
42368,42351
42368,42360
42403,42386
42403,42395
42438,42421
42438,42430
42473,42456
42473,42465
42508,42491
42508,42500
42543,42526
42543,42535
42578,42561
42578,42570
42613,42596
42613,42605
42648,42631
42648,42640
42683,42666
42683,42675
42718,42701
42718,42710
42753,42736
42753,42745
42788,42771
42788,42780
42823,42806
42823,42815
42858,42841
42858,42850
42893,42876
42893,42885
42928,42911
42928,42920
42963,42946
42963,42955
42998,42981
42998,42990
43033,43016
43033,43025
43068,43051
43068,43060
43103,43086
43103,43095
43138,43121
43138,43130
43173,43156
43173,43165
43208,43191
43208,43200
43243,43226
43243,43235
43278,43261
43278,43270
43313,43296
43313,43305
43348,43331
43348,43340
43383,43366
43383,43375
43418,43401
43418,43410
43453,43436
43453,43445
43488,43471
43488,43480
43523,43506
43523,43515
43558,43541
43558,43550
43593,43576
43593,43585
43628,43611
43628,43620
43663,43646
43663,43655
43698,43681
43698,43690
43733,43716
43733,43725
43768,43751
43768,43760
