cut1_idx,cut2_idx
6710,5032
6710,6702
14451,13812
14451,14444
17009,16370
17009,17002
18288,17650
18288,18281
19567,18929
19567,19559
20846,20208
20846,20838
22125,21487
22125,22117
23404,22766
23404,23397
24683,24045
24683,24675
25962,25324
25962,25954
27241,26603
27241,27233
28520,27882
28520,28514
30688,30553
30688,30680
31772,31637
31772,31764
32856,32721
32856,32848
34211,34076
34211,34203
35024,34889
35024,35016
36108,35973
36108,36100
37734,37599
37734,37726
41598,41581
41598,41591
41703,41687
41703,41695
41773,41757
41773,41765
41808,41792
41808,41801
41843,41826
41843,41836
41878,41861
41878,41871
41913,41896
41913,41906
41948,41932
41948,41941
41983,41966
41983,41976
42018,42001
42018,42011
42053,42036
42053,42046
42088,42073
42088,42081
42368,42351
42368,42360
42508,42491
42508,42500
42648,42631
42648,42640
42823,42806
42823,42815
42928,42911
42928,42920
43068,43051
43068,43060
43278,43261
43278,43270
