cut1_idx,cut2_idx
167,73
73,10
73,24
73,38
73,52
167,90
90,86
90,89
167,150
604,433
433,274
274,197
274,199
274,200
274,227
227,197
227,199
227,200
433,389
389,313
389,314
389,322
322,319
322,320
389,335
335,313
335,314
335,319
335,320
604,518
518,274
518,389
1166,838
838,759
838,763
838,764
838,791
791,759
791,763
791,764
1166,930
930,879
930,887
5511,1831
1831,1601
1601,1507
1507,1499
1507,1506
1601,1591
1831,1682
1682,1443
1443,1361
1361,1324
1361,1340
1340,1329
1340,1339
1443,1379
1443,1385
1443,1413
1682,1636
1636,1443
1636,1628
1682,1655
1831,1767
1767,1443
1767,1710
1767,1746
1746,1443
1746,1737
5511,2351
2351,2111
2111,1475
1475,84
1475,1474
2111,1499
2111,1994
2111,2030
2111,2069
2351,2123
2351,2154
2351,2206
2351,2231
2231,1964
1964,1379
1964,1385
1964,1901
1901,1324
1901,1880
1880,1869
1880,1879
1964,1934
2231,2223
5511,3367
3367,2852
2852,2609
2852,2624
2852,2655
2852,2711
2852,2734
3367,3365
3365,3102
3102,2981
2981,1499
2981,2980
3102,3066
3066,1475
3066,3002
3066,3009
3066,3015
3102,3083
3365,3141
3365,3168
3365,3224
3365,3247
5511,5488
5488,3937
3937,3684
3937,3713
3937,3740
3937,3796
3937,3833
5488,4424
4424,4171
4424,4196
4424,4223
4424,4293
4424,4306
5488,4885
4885,4674
4885,4736
4736,4539
4736,4692
4736,4708
4885,4823
5488,5400
5400,5171
5171,1499
5171,5048
5171,5156
5400,5250
5250,5207
5250,5234
5400,5333
5333,5290
5333,5317
6021,4736
6021,5758
5758,5488
5758,5732
5732,5585
5585,1682
5585,2351
5585,2852
5585,3365
5732,5604
5604,2166
2166,2123
2166,2154
5604,3367
5732,5659
5659,2667
2667,2624
2667,2655
5659,5639
5639,2667
5639,2792
2792,2484
2484,1499
2484,2483
2792,2573
2792,2711
2792,2734
5639,3141
5639,3168
6021,5832
5832,4885
5832,5808
5808,4424
5808,5780
5780,3752
3752,3713
3752,3740
5780,5400
6021,5857
5857,4239
4239,4196
4239,4223
5857,4885
5857,5400
6021,5882
5882,4885
5882,5250
6526,6042
6042,2123
6042,2154
6042,6040
6526,6211
6211,6135
6135,2351
6135,6062
6062,2111
6062,6040
6135,6104
6104,2351
6104,6062
6211,6190
6190,1682
6190,6040
6526,6484
6952,6579
6952,6587
6952,6920
7980,7768
7980,7786
7786,7177
7786,7670
7670,84
7670,7143
7670,7450
7670,7637
7786,7686
7686,1831
7686,6298
6298,1507
6298,1591
6298,6040
7686,6313
6313,1831
6313,6298
7686,7150
7786,7775
7980,7843
7980,7908
7908,6567
7908,7843
9122,7775
9122,8626
8626,7147
8626,8014
8626,8027
8626,8407
8626,8511
8511,3937
8511,8438
8438,3684
8438,6040
8511,8480
8480,3937
8480,8438
9122,8995
8995,7768
8995,8938
8938,6854
8938,8658
8658,6596
6596,5585
6596,5604
6596,5659
6596,6040
8658,8511
8938,8702
8702,6596
8702,8511
8938,8876
8876,6854
8876,8658
8876,8702
9122,9032
9032,6567
9032,8938
10472,10354
10354,10201
10201,9689
10201,10160
10160,5987
5987,4736
5987,5832
5987,5857
5987,5882
10160,9707
9707,5488
9707,6596
10160,10083
10083,9857
9857,6596
9857,9807
9807,8511
9807,9750
9750,9223
9223,4424
9223,9150
9150,4171
9150,6040
9223,9192
9192,4424
9192,9150
9750,9351
9351,5400
9351,9278
9278,5171
9278,6036
9351,9333
9333,5171
9333,5250
9333,5290
9333,5317
9333,9278
10083,9907
9907,9750
9907,9886
9886,3752
9886,6040
10083,9948
10083,9983
9983,9351
9983,9962
9962,4239
9962,6040
10160,10110
10110,5987
10110,9707
10110,9857
10110,10060
10060,9750
10060,9886
10060,9948
10060,9983
10354,10236
10236,9689
10236,10160
10354,10348
10472,10457
13146,7775
13146,11254
11254,10628
10628,7156
10628,10625
11254,11228
11228,7150
11228,11059
11059,84
11059,7143
11059,10839
11059,11029
11228,11142
11142,2852
11142,11070
11070,2609
11070,6040
11142,11086
11086,2852
11086,11070
13146,12030
12030,7768
12030,11951
11951,11480
11951,11795
11795,11142
11795,11718
11718,6042
11718,6190
11718,11372
11372,3365
11372,11300
11300,3102
11300,6040
11372,11316
11316,3365
11316,11300
11718,11493
11493,6135
11493,11372
11718,11587
11587,3141
11587,3168
11587,6040
13146,13078
13078,6567
13078,12067
12067,6886
6886,6596
6886,6854
12067,11951
13078,12959
12959,6886
12959,11951
12959,12821
12821,12412
12412,12125
12412,12239
12239,6135
12239,6190
12239,12144
12144,6135
12144,6190
12821,12764
12764,6484
12764,12509
12509,6042
12509,6211
12509,11316
12509,11342
11342,3365
11342,11300
12764,12549
12549,6042
12549,6211
12549,11316
12549,11342
12764,12701
12701,6484
12701,12581
12581,12509
12581,12549
14227,13846
13846,7775
13846,13338
13338,7156
13338,13165
13338,13255
13338,13278
13846,13748
13748,84
13748,7143
13748,13531
13748,13715
13846,13763
13763,2351
13763,6062
13763,6104
13763,7150
14227,14225
14225,6567
14225,7768
14225,12412
14225,13899
13899,6886
13899,12412
14225,13958
13958,6886
13958,12412
15251,7775
15251,14872
14872,84
14872,7143
14872,14382
14382,7156
14382,14379
14872,14766
14766,14581
14766,14758
14872,14802
14802,7150
14802,11372
15251,14904
14904,7768
14904,12764
15251,15166
15166,6567
15166,14956
14956,6484
14956,12509
14956,12549
14956,12701
14956,13899
15166,14998
14998,12764
14998,13899
17257,7775
17257,15724
15724,7147
15724,8014
15724,9351
15724,15275
15724,15629
17257,16374
16374,7768
16374,16295
16295,15847
16295,16139
16139,9351
16139,16044
16044,6596
16044,9962
16044,15859
15859,8511
15859,9223
16044,15951
15951,9223
15951,9886
17257,17172
17172,6567
17172,16947
16947,16295
16947,16897
16897,5987
16897,9707
16897,16749
16749,16413
16749,16607
16607,9223
16607,9886
16607,16461
16461,5585
16461,5604
16461,5659
16461,6040
16461,8511
16607,16554
16554,4424
16554,9150
16554,9192
16554,16469
16469,9886
16469,16461
16897,16839
16839,5987
16839,9707
16839,16829
17172,17004
17004,16295
17004,16897
18690,7775
18690,17916
17916,7147
17916,8014
17916,17281
17916,17694
17694,17287
17694,17288
17694,17294
17694,17468
17468,17298
17468,17305
17468,17317
17468,17425
17425,17325
17425,17334
17425,17337
17425,17348
17425,17367
17694,17636
17636,17492
17636,17624
17624,17499
17624,17506
17624,17519
17624,17578
17916,17798
17798,17745
17745,4885
17745,17729
17729,4674
17729,6036
17798,17771
17771,4885
17771,17729
18690,18272
18272,7768
18272,18115
18115,17950
18115,17971
17971,9857
17971,10060
17971,17745
17971,17771
18115,18008
18008,9857
18008,10060
18008,17745
18008,17771
18272,18154
18154,17950
18154,17971
18154,18008
18690,18643
18643,6567
18643,16860
16860,5987
16860,9707
16860,16839
18643,18115
18643,18154
18643,18382
18382,16217
16217,15847
