cut1_idx,cut2_idx
6409,2942
2942,827
827,376
376,359
376,372
827,811
811,457
811,506
811,555
811,604
811,653
2942,2933
6409,3878
3878,827
3878,3858
3858,1542
1542,1154
1154,897
1154,946
1154,995
1154,1044
1542,1526
1526,1203
1526,1249
1526,1292
1526,1332
1526,1372
3858,2199
2199,1820
1820,1594
1820,1633
1820,1674
1820,1714
2199,2183
2183,1869
2183,1909
2183,1949
2183,1989
2183,2029
3858,3257
3257,2251
3257,2331
3257,3047
3047,2251
3047,2291
3047,2331
3047,2968
3257,3069
3257,3175
3858,3777
3777,2477
2477,2251
2477,2291
2477,2331
2477,2371
3777,3747
3747,3417
3417,2562
3417,2646
3417,3271
3271,39
3271,43
3417,3289
3289,2523
2523,2513
2523,2518
3289,2603
2603,2593
2603,2598
3747,3521
3521,2562
3521,2603
3521,2646
3521,3443
3747,3685
3685,3543
3685,3548
3548,2562
3548,2646
3685,3649
6409,4780
4780,359
4780,372
4780,811
4780,1542
4780,4709
4709,1820
4709,4193
4193,1594
4193,1674
4193,3983
3983,1594
3983,1633
3983,1674
3983,3904
4193,4005
4193,4111
4709,4649
4649,4335
4335,1869
4335,1909
4335,1949
4335,1989
4335,4208
4649,4423
4423,1909
4423,1949
4423,1989
4423,4345
4649,4587
4587,4445
4587,4450
4450,1909
4450,1989
4587,4551
6409,5390
5390,376
5390,4821
5390,5323
5323,4992
4992,457
4992,506
4992,555
4992,604
4992,4860
5323,5082
5082,506
5082,555
5082,604
5082,5000
5323,5152
5152,506
5152,604
5152,5104
5323,5218
6409,6287
6287,827
6287,6264
6264,1154
6264,5746
5746,897
5746,995
5746,5527
5527,897
5527,946
5527,995
5527,5445
5746,5549
5746,5663
6264,6204
6204,5888
5888,1203
5888,1249
5888,1292
5888,1332
5888,5761
6204,5976
5976,1249
5976,1292
5976,1332
5976,5898
6204,6142
6142,5998
6142,6003
6003,1249
6003,1332
6142,6106
16956,12002
12002,7281
7281,6471
6471,6427
6471,6429
6471,6440
6471,6442
7281,7236
7236,6573
6573,6508
6573,6516
6573,6544
6544,6508
6544,6516
7236,7199
7199,6699
6699,6634
6699,6642
6699,6670
6670,6634
6670,6642
7199,6824
6824,6760
6824,6768
6824,6780
7199,6950
6950,6886
6950,6894
6950,6903
7199,7040
7040,430
7040,7012
7040,7025
7025,430
7025,7012
12002,11983
16956,13349
13349,7281
13349,13329
13329,8816
8816,7948
7948,7394
7394,7329
7394,7337
7394,7365
7365,7329
7365,7337
7948,7520
7520,7455
7520,7463
7520,7491
7491,7455
7491,7463
7948,7646
7646,7581
7646,7589
7646,7617
7617,7581
7617,7589
7948,7771
7771,7709
7771,7715
7771,7719
7719,7709
7719,7715
8816,8054
8054,7990
8054,7998
8054,8002
8002,7990
8002,7998
8816,8730
8730,8179
8179,8116
8179,8121
8179,8149
8149,8116
8149,8121
8730,8304
8304,8241
8304,8246
8304,8274
8274,8241
8274,8246
8730,8429
8429,8366
8429,8371
8429,8399
8399,8366
8399,8371
8730,8554
8554,8491
8554,8496
8554,8524
8524,8491
8524,8496
13329,10330
10330,9465
9465,8914
8914,8851
8914,8856
8914,8884
8884,8851
8884,8856
9465,9039
9039,8976
9039,8981
9039,9009
9009,8976
9009,8981
9465,9163
9163,9101
9163,9105
9105,1615
9105,9104
9163,9109
9109,9101
9109,9105
9465,9289
9289,9226
9289,9231
9289,9259
9259,9226
9259,9231
10330,10315
10315,9570
9570,9507
9570,9512
9570,9540
9540,9507
9540,9512
10315,9690
9690,9632
9690,9637
10315,9815
9815,9759
9815,9761
9761,1930
9761,9760
10315,9944
9944,9882
9944,9887
9944,9890
9890,9882
9890,9887
10315,10065
10065,10007
10065,10012
13329,12502
12502,10430
10430,10367
10430,10372
10430,10400
10400,10367
10400,10372
12502,10555
10555,10492
10555,10497
10555,10525
10525,10492
10525,10497
12502,12169
12169,10430
12169,10555
12169,10680
10680,10617
10680,10622
10680,10650
10650,10617
10650,10622
12169,10744
12169,10747
12502,12187
12187,10617
12187,10622
12502,12397
12397,10367
12397,10372
12397,12331
12331,10492
12331,10497
13329,13247
13247,10981
10981,10430
10981,10555
10981,10680
10981,10800
10800,10744
10800,10747
13247,13216
13216,12717
12717,11081
11081,11023
11081,11028
12717,11210
11210,11148
11210,11152
11152,2627
11152,11151
11210,11156
11156,11148
11156,11152
12717,11336
11336,11273
11336,11278
11336,11306
11306,11273
11306,11278
12717,11461
11461,11398
11461,11403
11461,11431
11431,11398
11431,11403
12717,12528
13216,12868
12868,11081
12868,11210
12868,11336
12868,11398
12868,11403
13216,13150
13150,12886
12886,11273
12886,11278
13150,12911
12911,11081
12911,11210
13150,13096
13096,11023
13096,11028
13096,13030
13030,11148
13030,11152
16956,14665
14665,7281
14665,14641
14641,8816
14641,14618
14618,9465
14618,13856
13856,9039
13856,13375
13375,9226
13375,9231
13856,13400
13400,8914
13400,9163
13856,13627
13627,8914
13627,9039
13627,9101
13627,9105
13856,13744
13744,8851
13744,8856
13744,13678
13678,8976
13678,8981
14618,14559
14559,14061
14061,9570
14061,9690
14061,9815
14061,9944
14061,13862
13862,10007
13862,10012
14559,14208
14208,9570
14208,9690
14208,9815
14208,9882
14208,9887
14559,14319
14319,9570
14319,9690
14319,9759
14319,9761
14559,14436
14436,9507
14436,9512
14436,14370
14370,9632
14370,9637
16956,16875
16875,7281
16875,14730
16875,15479
15479,6471
15479,15451
15451,14942
14942,430
14942,6573
14942,6699
14942,7012
14942,14779
14779,6824
14779,6950
15451,15078
15078,6699
15078,15052
15052,6573
15052,6824
15052,6886
15052,6894
15451,15211
15211,6573
15211,6699
15211,6760
15211,6768
15451,15327
15327,6508
15327,6516
15327,15261
15261,6634
15261,6642
16875,16819
16819,7948
16819,16043
16043,7520
16043,15662
15662,7394
15662,7646
15662,15577
15577,7709
15577,7715
16043,15829
15829,7394
15829,7520
15829,7581
15829,7589
16043,15945
15945,7329
15945,7337
15945,15879
15879,7455
15879,7463
16819,16760
16760,16238
16238,8179
16238,8491
16238,8496
16238,16151
16151,8054
16151,8304
16151,8429
16760,16398
16398,8054
16398,8179
16398,8304
16398,16269
16269,8366
16269,8371
16760,16521
16521,8054
16521,8179
16521,8241
16521,8246
16760,16637
16637,7990
16637,7998
16637,16571
16571,8116
16571,8121
18584,18161
18161,17131
17131,376
17131,17115
17115,457
17115,506
17115,555
17115,604
17115,653
18161,18152
18584,18311
18311,376
18311,17115
18311,17441
17441,17255
17255,897
17255,17217
17217,946
17217,995
17217,1044
17441,17413
17413,1249
17413,1292
17413,1332
17413,17291
17291,1203
17291,1372
18311,17738
17738,17554
17554,1594
17554,1674
17554,17473
17473,1633
17473,1714
17738,17710
17710,1909
17710,1949
17710,1989
17710,17588
17588,1869
17588,2029
18311,18217
18217,3257
18217,3747
18217,17851
17851,2251
17851,2331
17851,17770
17770,2291
17770,2371
18584,18398
18398,376
18398,17115
18398,17441
18398,18344
18344,4193
18344,4649
18344,17554
18584,18498
18498,5390
18498,17131
18498,18447
18447,5746
18447,6204
18447,17255
19138,2562
19138,19037
19037,2646
19037,18682
18682,2523
18682,2603
18682,18608
19037,18994
18994,18801
18801,2523
18801,2603
18801,2646
18801,3271
18994,18853
18853,2603
18853,2646
18853,3443
18994,18908
18908,3619
18908,18884
18884,2646
18884,3543
19138,19071
19071,2562
19071,19037
19384,2646
19384,18682
19384,19237
19237,18769
18769,2513
18769,2518
18769,2593
18769,2598
18769,3271
19237,19203
19384,19337
19337,2646
19337,18682
19337,19237
19674,2603
19674,19554
19554,2523
19554,18608
19554,19510
19674,19601
19601,2603
19601,19554
19920,2523
19920,3271
19920,18608
19920,19868
19868,2513
19868,2518
19868,3271
19868,18608
20653,3747
20653,20223
20223,2251
20223,20100
20100,20010
20010,2291
20010,2331
20010,2968
20100,20077
20223,20152
20152,2251
20152,20010
20152,20077
20653,20290
20653,20303
20303,3747
20303,20290
20653,20478
20478,2251
20478,20366
20366,17811
17811,2291
17811,2331
17811,2371
20366,20010
20366,20077
20478,20411
20411,2251
20411,20366
21148,20303
21148,20842
20842,20303
20842,20769
20769,2331
20769,20659
20659,2291
20659,2968
20659,3069
20769,20692
20692,2331
20692,20659
21148,21033
21033,2331
21033,20885
20885,17770
20885,20659
21033,20956
20956,2331
20956,17770
20956,20659
21518,20303
21518,21324
21324,20303
21324,21271
21271,2291
21271,2968
21271,21218
21218,2291
21218,2968
21518,21431
21651,2371
21651,20303
21651,21617
21617,2371
21617,20303
30281,23468
23468,22064
22064,21765
21765,2276
21765,2356
21765,21711
21711,2276
21711,2356
22064,21879
21879,2236
21879,2316
21879,21825
21825,2236
21825,2316
22064,21998
21998,21765
21998,21879
23468,23165
23165,22583
22583,22227
22227,2551
22227,2631
22227,22173
22173,2551
22173,2631
22583,22343
22343,33
33,31
33,32
22343,22289
22289,22287
22289,22288
22583,22462
22462,2508
2508,2506
2508,2507
22462,2588
2588,2586
2588,2587
22462,22432
22432,2508
22432,2588
23165,22693
22693,22227
22693,22343
22693,22462
23165,22892
22892,22227
22892,22343
22892,22462
23165,23002
23002,22227
23002,22343
23002,22462
23468,23315
23315,22064
23315,23165
30281,25344
25344,23940
23940,23642
23642,1616
1616,1614
1616,1615
23642,1699
23642,23612
23612,1616
23612,1699
23940,23755
23755,1579
23755,1659
23755,23701
23701,1579
23701,1659
23940,23874
23874,23642
23874,23755
25344,25041
25041,24459
24459,24103
24103,1894
24103,1974
24103,24049
24049,1894
24049,1974
24459,24223
24223,2011
2011,2009
2011,2010
24223,24165
24165,24163
24165,24164
24223,24169
24169,2011
24169,24165
24459,24337
24337,1852
24337,1931
1931,1929
1931,1930
24337,24283
24283,1852
24283,1931
25041,24569
24569,24103
24569,24223
24569,24337
25041,24768
24768,24103
24768,24223
24768,24337
25041,24878
24878,24103
24878,24223
24878,24337
25344,25191
25191,23940
25191,25041
30281,27863
27863,25545
25545,25468
25545,25477
27863,27655
27655,25735
25735,485
25735,583
27655,25888
27655,25991
25991,436
25991,534
27655,26316
26316,25735
26316,25888
26316,25991
27655,27380
27380,25735
27380,27055
27380,27093
27093,25888
27093,25991
27863,27710
27710,25545
27710,27655
30281,30012
30012,28562
28562,28043
28043,925
28043,1023
28562,28233
28233,876
28233,974
28562,28457
28457,28043
28457,28233
30012,29705
29705,29123
29123,28769
28769,1228
28769,1315
28769,28745
29123,28887
28887,1354
1354,1352
1354,1353
28887,28829
28829,28827
28829,28828
28887,28833
28833,1354
28833,28829
29123,29001
29001,1188
29001,1274
1274,1272
1274,1273
29001,28947
28947,1188
28947,1274
29705,29233
29233,28769
29233,28887
29233,29001
29705,29432
29432,28769
29432,28887
29432,29001
29705,29542
29542,28769
29542,28887
29542,29001
30012,29855
29855,28562
29855,29705
37598,32091
32091,30681
30681,30383
30383,10617
30383,10744
30383,30329
30329,10617
30329,10744
30681,30497
30497,10367
30497,10492
30497,30443
30443,10367
30443,10492
30681,30557
30557,30383
30557,30497
32091,31762
31762,31376
31376,30845
30845,11023
30845,11148
30845,30791
30791,11023
30791,11148
31376,30966
30966,30910
30966,30913
31376,31084
31084,11273
31084,11398
31084,31030
31030,11273
31030,11398
31376,31206
31206,30845
31206,30966
31206,31084
31762,31675
31675,30845
31675,31515
31515,30845
31515,30966
31515,31084
31675,31563
31563,30966
31563,31084
32091,31938
31938,30681
31938,31762
37598,33967
33967,32562
32562,32264
32264,9101
32264,9226
32264,32210
32210,9101
32210,9226
32562,32378
32378,8851
32378,8976
32378,32324
32324,8851
32324,8976
32562,32438
32438,32264
32438,32378
33967,33638
33638,33254
33254,32727
32727,9507
32727,9632
32727,32697
32697,9507
32697,9632
33254,32846
32846,10007
32846,32791
32846,32792
32792,10007
32792,32791
33254,32960
32960,9759
32960,9882
32960,32906
32906,9759
32906,9882
33254,33192
33192,32727
33192,32846
33192,32960
33638,33551
33551,32727
33551,33391
33391,32727
33391,32846
33391,32960
33551,33439
33439,32846
33439,32960
33967,33814
33814,32562
33814,33638
37598,35477
35477,34152
34152,34089
34152,34095
34152,34098
34098,34089
34098,34095
35477,35178
35178,34792
34792,34266
34266,6508
34266,6634
34266,34212
34212,6508
34212,6634
34792,34382
34382,7012
34382,34329
34792,34500
34500,6760
34500,6886
34500,34446
34446,6760
34446,6886
34792,34622
34622,34266
34622,34382
34622,34500
35178,35091
35091,34266
35091,34931
34931,34266
34931,34382
34931,34500
35091,34979
34979,34382
34979,34500
35477,35354
35354,34152
35354,35178
37598,37332
37332,35927
35927,35630
35630,7581
35630,7709
35630,35600
35600,7581
35600,7709
35927,35743
35743,7329
35743,7455
35743,35689
35689,7329
35689,7455
35927,35803
35803,35630
35803,35743
37332,37003
37003,36617
36617,36091
36091,7990
36091,8116
36091,36037
36037,7990
36037,8116
36617,36207
36207,8491
36207,36154
36617,36325
36325,8241
36325,8366
36325,36271
36271,8241
36271,8366
36617,36447
36447,36091
36447,36207
36447,36325
37003,36916
36916,36091
36916,36756
36756,36091
36756,36207
36756,36325
36916,36804
36804,36207
36804,36325
37332,37179
37179,35927
37179,37003
46222,39402
39402,37999
37999,37696
37696,10622
37696,10747
37999,37815
37815,10372
37815,10497
37815,37785
37785,10372
37785,10497
37999,37933
37933,37696
37933,37815
39402,39073
39073,38687
38687,38162
38162,11028
38162,11152
38162,38108
38108,11028
38108,11152
38687,38277
38277,11524
11524,32
11524,11523
38277,38223
38223,22288
38223,38222
38687,38395
38395,11278
38395,11403
38395,38341
38341,11278
38341,11403
38687,38517
38517,38162
38517,38277
38517,38395
39073,38986
38986,38162
38986,38826
38826,38162
38826,38277
38826,38395
38986,38874
38874,38277
38874,38395
39402,39249
39249,37999
39249,39073
46222,41277
41277,39867
39867,39576
39576,9105
39576,9231
39576,39546
39546,9105
39546,9231
39867,39689
39689,8856
39689,8981
39689,39635
39635,8856
39635,8981
41277,40948
40948,40564
40564,40038
40038,9512
40038,9637
40038,40008
40008,9512
40008,9637
40564,40156
40156,10012
40156,40098
40098,24164
40098,40097
40156,40102
40102,10012
40102,40098
40564,40266
40266,9761
40266,9887
40564,40502
40502,40038
40502,40156
40502,40266
40948,40861
40861,40038
40861,40701
40701,40038
40701,40156
40701,40266
40861,40749
40749,40156
40749,40266
41277,41124
41124,39867
41124,40948
46222,43805
43805,41478
41478,41401
41478,41410
43805,43441
43441,42629
42629,42258
42258,41668
41668,6516
41668,6642
42258,41830
42258,41933
41933,6768
41933,6894
42629,42591
43441,43322
43322,41668
43322,42997
43322,43035
43035,41830
43035,41933
43805,43652
43652,41478
43652,43441
46222,45954
45954,44504
44504,43985
43985,7589
43985,7715
44504,44175
44175,7337
44175,7463
44504,44399
44399,43985
44399,44175
45954,45646
45646,45064
45064,44711
44711,7998
44711,8121
44711,44687
45064,44840
44840,8496
44840,28827
44840,44769
44840,44774
44774,8496
44774,44770
44770,28827
44770,44769
45064,44942
44942,8246
44942,8371
44942,44888
44888,8246
44888,8371
45646,45174
45174,44711
45174,44840
45174,44942
45646,45373
45373,44711
45373,44840
45373,44942
45646,45483
45483,44711
45483,44840
45483,44942
45954,45872
45872,44504
45872,45646
46631,6471
46631,14730
46631,46526
46526,7236
46526,15451
46526,46468
46468,11983
46468,13329
46468,14641
46468,16819
46813,1372
46813,46723
46723,2905
46723,3832
3832,2199
3832,3257
3832,3777
46723,4709
46813,46777
46777,1372
46777,46723
47020,653
47020,46925
46925,2933
46925,3858
46925,46881
46881,1154
46881,1526
46881,4709
46881,6264
47020,46984
46984,653
46984,46925
47372,9465
47372,13856
47372,47299
47299,10315
47299,14559
47299,47221
47221,10981
47221,12502
47221,47158
47773,376
47773,4821
47773,47668
47668,5323
47668,17115
47668,47611
47611,18152
47611,18266
18266,17441
18266,17738
18266,18217
47611,18367
18367,17441
18367,18344
47611,18447
48343,1249
48343,48242
48242,1332
48242,47912
47912,1203
47912,1292
47912,1372
47912,46723
48242,48207
48207,1332
48207,47986
47986,1190
47986,1196
47986,1279
47986,1285
47986,5761
48207,48058
48058,1292
48058,1332
48058,5898
48207,48113
48113,6076
48113,48089
48089,1332
48089,5998
48343,48276
48276,1249
48276,48242
48585,1332
48585,47912
48585,48442
48442,47986
48442,48408
48585,48538
48538,1332
48538,47912
48538,48442
48851,1292
48851,48729
48729,1203
48729,47841
47841,1372
47841,46723
48729,48693
48851,48811
48811,1292
48811,48729
49032,1203
49032,48917
48917,5761
48917,47841
49032,48990
48990,1203
48990,48917
49609,506
49609,49506
49506,49203
49203,604
49203,49170
49170,457
49170,555
49170,49104
49104,653
49104,46925
49506,49473
49473,604
49473,49239
49239,457
49239,555
49239,4860
49473,49329
49329,555
49329,587
49329,594
49329,5000
49473,49378
49378,5185
49378,49353
49353,604
49353,5104
49609,49542
49542,506
49542,49506
49852,604
49852,49170
49852,49716
49716,457
49716,555
49716,4860
49716,49674
49852,49805
49805,604
49805,49170
49805,49716
50119,555
50119,49998
49998,457
49998,49104
49998,49961
50119,50046
50046,555
50046,49998
50315,457
50315,4860
50315,49104
50315,50261
50261,457
50261,4860
50261,49104
50481,30281
50481,37598
50481,46222
50481,50467
50467,7
50467,13
50467,19
50467,25
50636,376
50636,4821
50636,50531
50531,811
50531,5323
50531,46925
51398,6204
51398,50946
50946,897
50946,50823
50823,50732
50732,946
50732,995
50732,5445
50823,50788
50946,50873
50873,897
50873,50823
51398,51013
51013,1526
51013,46723
51398,51041
51041,6204
51041,51013
51398,51223
51223,897
51223,51109
51109,17217
51109,50823
51223,51188
51188,897
51188,17217
51188,50823
51895,51041
51895,51515
51515,995
51515,51403
51515,51438
51438,995
51438,51403
51895,51851
51851,51041
51851,51782
51782,995
51782,51633
51633,946
51633,1044
51633,51403
51782,51739
51739,995
51739,51633
52344,6204
52344,51013
52344,51041
52344,52022
52022,946
52022,5445
52022,51967
51967,946
51967,5445
52344,52180
52180,946
52180,52118
52180,52125
52125,946
52125,52118
52411,1044
52411,51041
52411,52348
52348,1044
52348,51041
52670,2029
52670,52546
52546,2477
52546,3257
52546,20303
52670,52587
52587,2029
52587,52546
53137,50531
53137,52891
52891,50531
52891,52813
52813,359
52813,4784
52813,52779
52779,359
52779,4784
53137,53006
53006,359
53006,52944
53006,52972
52972,359
52972,52944
53282,372
53282,50531
53282,53225
53225,372
53225,50531
53854,1909
