root_idx,cut_idx,l1_idx,l2_idx,l3_idx,l4_idx,l5_idx,vol_cut,cut_height,canon_tt_0,cannon_tt_1
10,1,3,5,-1,-1,-1,1,1,2004318071,286331153
11,2,1,9,-1,-1,-1,1,1,2004318071,286331153
12,3,0,9,-1,-1,-1,1,1,2004318071,286331153
13,4,1,12,-1,-1,-1,1,2,2004318071,286331153
13,5,0,1,9,-1,-1,2,2,926365495,320017171
14,6,11,13,-1,-1,-1,1,2,2004318071,286331153
14,7,0,1,9,-1,-1,4,3,1027423549,471604252
14,8,1,11,12,-1,-1,2,3,926365495,320017171
14,9,1,9,12,-1,-1,3,3,454761243,454761243
14,10,1,9,13,-1,-1,2,3,522133279,117901063
14,11,0,1,9,11,-1,3,3,335483903,3604535
15,12,10,14,-1,-1,-1,1,3,2004318071,286331153
15,13,10,11,13,-1,-1,2,3,2139062143,16843009
15,14,3,5,14,-1,-1,2,4,2139062143,16843009
15,15,1,9,10,13,-1,3,4,536813567,458759
15,16,1,9,10,12,-1,4,4,532619199,17498379
15,17,1,10,11,12,-1,3,4,1065303935,16974083
15,18,0,1,9,10,-1,5,4,1040137727,1835036
15,19,3,5,11,13,-1,3,4,2147450879,65537
15,20,0,1,9,10,11,4,4,335544319,55
15,21,1,3,5,9,13,4,4,1065353215,259
15,22,1,3,5,9,12,5,4,1065336831,66051
15,23,1,3,5,11,12,4,4,1073709055,65539
15,24,0,1,3,5,9,6,4,1073733631,65548
16,25,0,9,-1,-1,-1,1,1,2004318071,286331153
17,26,1,16,-1,-1,-1,1,2,2004318071,286331153
17,27,0,1,9,-1,-1,2,2,926365495,320017171
18,28,1,9,-1,-1,-1,1,1,2004318071,286331153
19,29,7,18,-1,-1,-1,1,2,2004318071,286331153
19,30,1,7,9,-1,-1,2,2,926365495,320017171
20,31,17,19,-1,-1,-1,1,1,2004318071,286331153
20,32,7,17,18,-1,-1,2,3,2139062143,16843009
20,33,1,16,19,-1,-1,2,3,522133279,117901063
20,34,1,7,9,16,-1,4,3,935278527,19071267
20,35,1,7,9,17,-1,3,3,939472895,1245203
20,36,0,1,7,9,-1,5,3,1071595487,17563916
20,37,0,1,9,19,-1,3,3,335483903,3604535
20,38,1,7,16,18,-1,3,3,939472895,1245203
20,39,0,1,7,9,18,4,3,524287999,775
21,40,15,20,-1,-1,-1,1,2,2004318071,286331153
21,41,10,14,20,-1,-1,2,4,522133279,117901063
21,42,15,17,19,-1,-1,2,3,1465341783,353703189
21,43,3,5,14,20,-1,3,5,33489407,8323199
21,44,1,15,16,19,-1,3,5,863974271,20119859
21,45,10,11,13,20,-1,3,4,33489407,8323199
21,46,7,15,17,18,-1,3,5,859255607,322114355
21,47,10,14,17,19,-1,3,4,287248671,125241207
21,48,3,5,11,13,20,4,5,131071,32767
21,49,1,7,15,16,18,4,5,252649279,50794255
21,50,0,1,7,9,10,11,5,17576844,869121999
21,51,0,1,9,10,20,6,5,1900543,15871
21,52,0,1,9,10,19,9,5,1850175,51629055
21,53,0,1,9,15,19,4,5,16726015,1245439
21,54,1,10,11,12,20,4,5,17039359,16255
21,55,0,1,7,9,15,6,5,17629183,16351
21,56,1,9,10,12,20,5,5,17563647,8127
21,57,1,7,9,15,17,4,5,16716799,3604735
21,58,1,9,10,13,20,4,5,524287,8191
