node_idx,node_inv,num_fo,lvl,rev_lvl,c1_lvl,c1_fo,c1_inv,c2_lvl,c2_fo,c2_inv
0,0,48,0,16,0.0,0.0,0.0,0.0,0.0,0.0
1,0,56,0,16,0.0,0.0,0.0,0.0,0.0,0.0
2,0,69,0,16,0.0,0.0,0.0,0.0,0.0,0.0
3,0,49,0,16,0.0,0.0,0.0,0.0,0.0,0.0
4,0,23,0,16,0.0,0.0,0.0,0.0,0.0,0.0
5,0,46,0,16,0.0,0.0,0.0,0.0,0.0,0.0
6,0,47,0,16,0.0,0.0,0.0,0.0,0.0,0.0
7,0,25,0,16,0.0,0.0,0.0,0.0,0.0,0.0
8,0,57,0,16,0.0,0.0,0.0,0.0,0.0,0.0
9,0,47,0,16,0.0,0.0,0.0,0.0,0.0,0.0
10,1,6,1,15,0.0,49.0,0.0,0.0,46.0,0.0
11,0,4,1,15,0.0,56.0,0.0,0.0,47.0,0.0
12,0,5,1,15,0.0,48.0,0.0,0.0,47.0,0.0
13,0,2,2,14,0.0,56.0,0.0,1.0,5.0,0.0
14,1,1,3,13,1.0,4.0,0.0,2.0,2.0,0.0
15,1,1,4,12,1.0,6.0,1.0,3.0,1.0,1.0
16,0,4,1,15,0.0,48.0,0.0,0.0,47.0,0.0
17,1,2,2,14,0.0,56.0,0.0,1.0,4.0,0.0
18,0,7,1,15,0.0,56.0,0.0,0.0,47.0,0.0
19,1,1,2,14,0.0,25.0,0.0,1.0,7.0,0.0
20,0,1,3,13,2.0,2.0,1.0,2.0,1.0,1.0
21,0,1,5,11,4.0,1.0,1.0,3.0,1.0,0.0
22,1,1,6,10,0.0,69.0,0.0,5.0,1.0,0.0
23,1,2,1,15,0.0,69.0,0.0,0.0,46.0,0.0
24,0,1,2,14,0.0,48.0,0.0,1.0,2.0,1.0
25,0,3,1,15,0.0,56.0,0.0,0.0,69.0,0.0
26,1,1,3,13,2.0,1.0,0.0,1.0,3.0,0.0
27,0,1,4,12,0.0,47.0,0.0,3.0,1.0,1.0
28,1,6,1,15,0.0,69.0,0.0,0.0,49.0,0.0
29,0,2,2,14,0.0,47.0,0.0,1.0,6.0,1.0
30,0,3,1,15,0.0,48.0,0.0,0.0,49.0,0.0
31,1,1,3,13,2.0,2.0,0.0,1.0,3.0,0.0
