node_idx,node_inv,num_fo,lvl,rev_lvl,c1_lvl,c1_fo,c1_inv,c2_lvl,c2_fo,c2_inv
0,0,23,0,10,0.0,0.0,0.0,0.0,0.0,0.0
1,0,41,0,10,0.0,0.0,0.0,0.0,0.0,0.0
2,0,47,0,10,0.0,0.0,0.0,0.0,0.0,0.0
3,0,15,0,10,0.0,0.0,0.0,0.0,0.0,0.0
4,0,8,0,10,0.0,0.0,0.0,0.0,0.0,0.0
5,0,4,0,10,0.0,0.0,0.0,0.0,0.0,0.0
6,0,5,0,10,0.0,0.0,0.0,0.0,0.0,0.0
7,0,2,1,9,0.0,23.0,0.0,0.0,41.0,0.0
8,0,8,1,9,0.0,15.0,0.0,0.0,8.0,0.0
9,0,2,2,8,1.0,2.0,0.0,1.0,8.0,0.0
10,0,1,1,9,0.0,41.0,0.0,0.0,15.0,0.0
11,0,1,2,8,0.0,8.0,0.0,1.0,1.0,0.0
12,1,1,3,7,2.0,2.0,0.0,2.0,1.0,0.0
13,0,1,4,6,0.0,47.0,0.0,3.0,1.0,1.0
14,0,1,1,9,0.0,41.0,0.0,0.0,15.0,0.0
15,0,1,2,8,0.0,8.0,0.0,1.0,1.0,0.0
16,1,4,1,9,0.0,15.0,0.0,0.0,8.0,0.0
17,0,4,2,8,1.0,8.0,0.0,1.0,4.0,1.0
18,0,1,3,7,0.0,41.0,0.0,2.0,4.0,0.0
19,1,1,4,6,2.0,1.0,0.0,3.0,1.0,0.0
20,0,1,5,5,0.0,47.0,0.0,4.0,1.0,1.0
21,1,0,6,4,4.0,1.0,0.0,5.0,1.0,0.0
22,1,2,2,8,0.0,23.0,0.0,1.0,8.0,0.0
23,0,2,3,7,0.0,23.0,0.0,2.0,2.0,1.0
24,1,3,4,6,0.0,41.0,0.0,3.0,2.0,0.0
25,0,4,2,8,0.0,15.0,0.0,1.0,4.0,1.0
26,0,3,3,7,0.0,41.0,0.0,2.0,4.0,0.0
27,0,1,5,5,4.0,3.0,1.0,3.0,3.0,0.0
28,1,1,6,4,0.0,47.0,0.0,5.0,1.0,0.0
29,0,2,1,9,0.0,15.0,0.0,0.0,8.0,0.0
30,1,4,2,8,0.0,15.0,0.0,1.0,2.0,0.0
31,0,2,3,7,0.0,41.0,0.0,2.0,4.0,1.0
32,0,1,4,6,0.0,41.0,0.0,3.0,2.0,0.0
33,0,2,5,5,0.0,47.0,0.0,4.0,1.0,0.0
34,0,0,7,3,6.0,1.0,1.0,5.0,2.0,0.0
35,1,1,3,7,0.0,23.0,0.0,2.0,4.0,0.0
36,0,3,2,8,0.0,15.0,0.0,1.0,8.0,0.0
37,0,3,3,7,0.0,23.0,0.0,2.0,3.0,0.0
38,0,1,4,6,3.0,1.0,1.0,3.0,3.0,0.0
39,0,1,5,5,0.0,41.0,0.0,4.0,1.0,0.0
40,0,1,6,4,4.0,3.0,1.0,5.0,1.0,0.0
41,1,1,7,3,0.0,47.0,0.0,6.0,1.0,0.0
42,0,0,8,2,0.0,47.0,0.0,7.0,1.0,1.0
43,1,1,1,9,0.0,23.0,0.0,0.0,15.0,0.0
44,1,1,2,8,1.0,2.0,0.0,1.0,1.0,1.0
45,0,1,3,7,0.0,23.0,0.0,2.0,4.0,0.0
46,0,2,4,6,2.0,1.0,1.0,3.0,1.0,0.0
47,1,1,5,5,0.0,41.0,0.0,4.0,2.0,0.0
48,0,1,6,4,3.0,3.0,0.0,5.0,1.0,1.0
49,1,1,7,3,0.0,47.0,0.0,6.0,1.0,0.0
50,0,2,3,7,0.0,47.0,0.0,2.0,4.0,0.0
51,0,0,8,2,7.0,1.0,1.0,3.0,2.0,0.0
52,0,2,1,9,0.0,23.0,0.0,0.0,15.0,0.0
53,0,1,1,9,0.0,8.0,0.0,0.0,4.0,0.0
54,0,1,2,8,1.0,2.0,0.0,1.0,1.0,0.0
55,0,1,1,9,0.0,15.0,0.0,0.0,5.0,0.0
56,0,2,2,8,1.0,8.0,0.0,1.0,1.0,0.0
57,0,1,1,9,0.0,15.0,0.0,0.0,4.0,0.0
58,0,1,2,8,1.0,8.0,0.0,1.0,1.0,0.0
59,0,1,1,9,0.0,15.0,0.0,0.0,4.0,0.0
60,1,2,3,7,2.0,1.0,0.0,1.0,1.0,0.0
61,0,1,4,6,0.0,5.0,0.0,3.0,2.0,1.0
62,1,2,5,5,2.0,2.0,0.0,4.0,1.0,0.0
63,0,1,6,4,0.0,23.0,0.0,5.0,2.0,1.0
64,1,1,7,3,2.0,1.0,0.0,6.0,1.0,0.0
65,0,1,8,2,0.0,41.0,0.0,7.0,1.0,1.0
66,1,1,9,1,0.0,47.0,0.0,8.0,1.0,0.0
67,0,1,3,7,0.0,23.0,0.0,2.0,4.0,0.0
68,0,3,4,6,0.0,23.0,0.0,3.0,1.0,0.0
69,0,1,5,5,0.0,47.0,0.0,4.0,3.0,0.0
70,0,0,10,0,9.0,1.0,1.0,5.0,1.0,0.0
71,0,1,1,9,0.0,15.0,0.0,0.0,5.0,0.0
72,1,1,3,7,2.0,2.0,0.0,1.0,1.0,0.0
73,0,1,4,6,0.0,41.0,0.0,3.0,1.0,1.0
74,1,1,5,5,0.0,47.0,0.0,4.0,1.0,0.0
