node_idx,type,node_inv,num_fo,lvl,rev_lvl,c1_idx,c2_idx
0,0,0,23,0,10,-1,-1
1,0,0,41,0,10,-1,-1
2,0,0,47,0,10,-1,-1
3,0,0,15,0,10,-1,-1
4,0,0,8,0,10,-1,-1
5,0,0,4,0,10,-1,-1
6,0,0,5,0,10,-1,-1
7,1,0,2,1,9,0,1
8,1,0,8,1,9,3,4
9,1,0,2,2,8,7,8
10,1,0,1,1,9,1,3
11,1,0,1,2,8,4,10
12,1,1,1,3,7,9,11
13,1,0,1,4,6,2,12
14,1,0,1,1,9,1,3
15,1,0,1,2,8,4,14
16,1,1,4,1,9,3,4
17,1,0,4,2,8,8,16
18,1,0,1,3,7,1,17
19,1,1,1,4,6,15,18
20,1,0,1,5,5,2,19
21,2,1,0,6,4,13,20
22,1,1,2,2,8,0,8
23,1,0,2,3,7,0,22
24,1,1,3,4,6,1,23
25,1,0,4,2,8,3,16
26,1,0,3,3,7,1,25
27,1,0,1,5,5,24,26
28,1,1,1,6,4,2,27
29,1,0,2,1,9,3,4
30,1,1,4,2,8,3,29
31,1,0,2,3,7,1,30
32,1,0,1,4,6,1,31
33,1,0,2,5,5,2,32
34,2,0,0,7,3,28,33
35,1,1,1,3,7,0,17
36,1,0,3,2,8,3,8
37,1,0,3,3,7,0,36
38,1,0,1,4,6,35,37
39,1,0,1,5,5,1,38
40,1,0,1,6,4,24,39
41,1,1,1,7,3,2,40
42,2,0,0,8,2,2,41
43,1,1,1,1,9,0,3
44,1,1,1,2,8,29,43
45,1,0,1,3,7,0,17
46,1,0,2,4,6,44,45
47,1,1,1,5,5,1,46
48,1,0,1,6,4,26,47
49,1,1,1,7,3,2,48
50,1,0,2,3,7,2,25
51,2,0,0,8,2,49,50
52,1,0,2,1,9,0,3
53,1,0,1,1,9,4,5
54,1,0,1,2,8,52,53
55,1,0,1,1,9,3,6
56,1,0,2,2,8,8,55
57,1,0,1,1,9,3,5
58,1,0,1,2,8,8,57
59,1,0,1,1,9,3,5
60,1,1,2,3,7,58,59
61,1,0,1,4,6,6,60
62,1,1,2,5,5,56,61
63,1,0,1,6,4,0,62
64,1,1,1,7,3,54,63
65,1,0,1,8,2,1,64
66,1,1,1,9,1,2,65
67,1,0,1,3,7,0,25
68,1,0,3,4,6,0,67
