root_idx,cut_idx,l1_idx,l2_idx,l3_idx,l4_idx,l5_idx,vol_cut,cut_height,canon_tt_0,cannon_tt_1
8,1,4,5,-1,-1,-1,1,1,2004318071,286331153
9,2,6,7,-1,-1,-1,1,1,2004318071,286331153
10,3,8,9,-1,-1,-1,1,1,2004318071,286331153
10,4,6,7,8,-1,-1,2,2,2139062143,16843009
10,5,4,5,9,-1,-1,2,2,2139062143,16843009
10,6,4,5,6,7,-1,3,2,2147450879,65537
11,7,0,2,-1,-1,-1,1,1,2004318071,286331153
12,8,1,3,-1,-1,-1,1,1,2004318071,286331153
13,9,11,12,-1,-1,-1,1,1,2004318071,286331153
13,10,1,3,11,-1,-1,2,2,2139062143,16843009
13,11,0,2,12,-1,-1,2,2,2139062143,16843009
13,12,0,1,2,3,-1,3,2,2147450879,65537
14,13,10,13,-1,-1,-1,1,1,2004318071,286331153
14,14,10,11,12,-1,-1,2,2,2139062143,16843009
14,15,8,9,13,-1,-1,2,2,2139062143,16843009
14,16,0,2,10,12,-1,3,3,2147450879,65537
14,17,4,5,9,13,-1,3,3,2147450879,65537
14,18,1,3,10,11,-1,3,3,2147450879,65537
14,19,6,7,8,13,-1,3,3,2147450879,65537
14,20,8,9,11,12,-1,3,2,2147450879,65537
14,21,0,1,2,3,10,4,3,2147483647,1
14,22,4,5,6,7,13,4,3,2147483647,1
14,23,0,2,8,9,12,4,3,2147483647,1
14,24,4,5,9,11,12,4,3,2147483647,1
14,25,1,3,8,9,11,4,3,2147483647,1
14,26,6,7,8,11,12,4,3,2147483647,1
15,27,0,2,-1,-1,-1,1,1,2004318071,286331153
16,28,12,15,-1,-1,-1,1,1,2004318071,286331153
16,29,0,2,12,-1,-1,2,2,2139062143,16843009
16,30,1,3,15,-1,-1,2,2,2139062143,16843009
16,31,0,1,2,3,-1,3,2,2147450879,65537
17,32,10,16,-1,-1,-1,1,1,2004318071,286331153
17,33,10,12,15,-1,-1,2,2,2139062143,16843009
17,34,8,9,16,-1,-1,2,2,2139062143,16843009
17,35,1,3,10,15,-1,3,3,2147450879,65537
17,36,4,5,9,16,-1,3,3,2147450879,65537
17,37,0,2,10,12,-1,3,3,2147450879,65537
17,38,6,7,8,16,-1,3,3,2147450879,65537
17,39,8,9,12,15,-1,3,2,2147450879,65537
17,40,0,1,2,3,10,4,3,2147483647,1
17,41,4,5,6,7,16,4,3,2147483647,1
17,42,1,3,8,9,15,4,3,2147483647,1
17,43,4,5,9,12,15,4,3,2147483647,1
17,44,0,2,8,9,12,4,3,2147483647,1
17,45,6,7,8,12,15,4,3,2147483647,1
18,46,1,3,-1,-1,-1,1,1,2004318071,286331153
19,47,11,18,-1,-1,-1,1,1,2004318071,286331153
19,48,1,3,11,-1,-1,2,2,2139062143,16843009
19,49,0,2,18,-1,-1,2,2,2139062143,16843009
19,50,0,1,2,3,-1,3,2,2147450879,65537
20,51,10,19,-1,-1,-1,1,1,2004318071,286331153
20,52,10,11,18,-1,-1,2,2,2139062143,16843009
