cut1_idx,cut2_idx
13,6
13,12
32,6
32,31
51,6
51,50
69,6
69,68
88,6
88,87
107,6
107,106
125,6
125,124
143,6
143,142
162,6
162,161
180,6
180,179
199,6
199,198
217,6
217,216
235,6
235,234
253,6
253,252
271,6
271,270
289,6
289,288
308,12
308,307
322,31
322,307
336,50
336,307
350,68
350,307
364,87
364,307
378,106
378,307
392,124
392,307
406,142
406,307
420,161
420,307
434,179
434,307
448,198
448,307
462,216
462,307
476,234
476,307
490,252
490,307
504,270
504,307
518,288
518,307
537,12
537,536
551,31
551,536
565,50
565,536
579,68
579,536
593,87
593,536
607,106
607,536
621,124
621,536
635,142
635,536
649,161
649,536
663,179
663,536
677,198
677,536
691,216
691,536
705,234
705,536
719,252
719,536
733,270
733,536
747,288
747,536
766,12
766,765
780,31
780,765
794,50
794,765
808,68
808,765
822,87
822,765
836,106
836,765
850,124
850,765
864,142
864,765
878,161
878,765
892,179
892,765
906,198
906,765
920,216
920,765
934,234
934,765
948,252
948,765
962,270
962,765
976,288
976,765
995,12
995,994
1009,31
1009,994
1023,50
1023,994
1037,68
1037,994
1051,87
1051,994
1065,106
1065,994
1079,124
1079,994
1093,142
1093,994
1107,161
1107,994
1121,179
1121,994
1135,198
1135,994
1149,216
1149,994
1163,234
1163,994
1177,252
1177,994
1191,270
1191,994
1205,288
1205,994
1223,12
1223,1222
1237,31
1237,1222
1251,50
1251,1222
1265,68
1265,1222
1279,87
1279,1222
1293,106
1293,1222
1307,124
1307,1222
1321,142
1321,1222
1335,161
1335,1222
1349,179
1349,1222
1363,198
1363,1222
1377,216
1377,1222
1391,234
1391,1222
1405,252
1405,1222
1419,270
1419,1222
1433,288
1433,1222
1451,12
1451,1450
1465,31
1465,1450
1479,50
1479,1450
1493,68
1493,1450
1507,87
1507,1450
1521,106
1521,1450
1535,124
1535,1450
1549,142
1549,1450
1563,161
1563,1450
1577,179
1577,1450
1591,198
1591,1450
1605,216
1605,1450
1619,234
1619,1450
1633,252
1633,1450
1647,270
1647,1450
1661,288
1661,1450
1679,12
1679,1678
1693,31
1693,1678
1707,50
1707,1678
1721,68
1721,1678
1735,87
1735,1678
1749,106
1749,1678
1763,124
1763,1678
1777,142
1777,1678
1791,161
1791,1678
1805,179
1805,1678
1819,198
1819,1678
1833,216
1833,1678
1847,234
1847,1678
1861,252
1861,1678
1875,270
1875,1678
1889,288
1889,1678
1908,12
1908,1907
1922,31
1922,1907
1936,50
1936,1907
1950,68
1950,1907
1964,87
1964,1907
1978,106
1978,1907
1992,124
1992,1907
2006,142
2006,1907
2020,161
2020,1907
2034,179
2034,1907
2048,198
2048,1907
2062,216
2062,1907
2076,234
2076,1907
2090,252
2090,1907
2104,270
2104,1907
2118,288
2118,1907
2136,12
2136,2135
2150,31
2150,2135
2164,50
2164,2135
2178,68
2178,2135
2192,87
2192,2135
2206,106
2206,2135
2220,124
2220,2135
2234,142
2234,2135
2248,161
2248,2135
2262,179
2262,2135
2276,198
2276,2135
2290,216
2290,2135
2304,234
2304,2135
2318,252
2318,2135
2332,270
2332,2135
2346,288
2346,2135
2364,12
2364,2363
2378,31
2378,2363
2392,50
2392,2363
2406,68
2406,2363
2420,87
2420,2363
2434,106
2434,2363
2448,124
2448,2363
2462,142
2462,2363
2476,161
2476,2363
2490,179
2490,2363
2504,198
2504,2363
2518,216
2518,2363
2532,234
2532,2363
2546,252
2546,2363
2560,270
2560,2363
2574,288
2574,2363
2592,12
2592,2591
2606,31
2606,2591
2620,50
2620,2591
2634,68
2634,2591
2648,87
2648,2591
2662,106
2662,2591
2676,124
2676,2591
2690,142
2690,2591
2704,161
2704,2591
2718,179
2718,2591
2732,198
2732,2591
2746,216
2746,2591
2760,234
2760,2591
2774,252
2774,2591
2788,270
2788,2591
2802,288
2802,2591
2821,12
2821,2820
2835,31
2835,2820
2849,50
2849,2820
2863,68
2863,2820
2877,87
2877,2820
2891,106
2891,2820
2905,124
2905,2820
2919,142
2919,2820
2933,161
2933,2820
2947,179
2947,2820
2961,198
2961,2820
2975,216
2975,2820
2989,234
2989,2820
3003,252
3003,2820
3017,270
3017,2820
3031,288
3031,2820
3049,12
3049,3048
3063,31
3063,3048
3077,50
3077,3048
3091,68
3091,3048
3105,87
3105,3048
3119,106
3119,3048
3133,124
3133,3048
3147,142
3147,3048
3161,161
3161,3048
3175,179
3175,3048
3189,198
3189,3048
3203,216
3203,3048
3217,234
3217,3048
3231,252
3231,3048
3245,270
3245,3048
3259,288
3259,3048
3277,12
3277,3276
3291,31
3291,3276
3305,50
3305,3276
3319,68
3319,3276
3333,87
3333,3276
3347,106
3347,3276
3361,124
3361,3276
3375,142
3375,3276
3389,161
3389,3276
3403,179
3403,3276
3417,198
3417,3276
3431,216
3431,3276
3445,234
3445,3276
3459,252
3459,3276
3473,270
3473,3276
3487,288
3487,3276
3505,12
3505,3504
3519,31
3519,3504
3533,50
3533,3504
3547,68
3547,3504
3561,87
3561,3504
3575,106
3575,3504
3589,124
3589,3504
3603,142
3603,3504
3617,161
3617,3504
3631,179
3631,3504
3645,198
3645,3504
3659,216
3659,3504
3673,234
3673,3504
3687,252
3687,3504
3701,270
3701,3504
3715,288
3715,3504
