node_idx,type,node_inv,num_fo,lvl,rev_lvl,c1_idx,c2_idx
0,0,0,4,0,3,-1,-1
1,0,0,4,0,3,-1,-1
2,0,0,4,0,3,-1,-1
3,0,0,4,0,3,-1,-1
4,0,0,4,0,3,-1,-1
5,0,0,4,0,3,-1,-1
6,0,0,4,0,3,-1,-1
7,0,0,4,0,3,-1,-1
8,1,1,4,1,2,4,5
9,1,0,4,1,2,6,7
10,1,0,16,2,1,8,9
11,1,1,4,1,2,0,2
12,1,1,4,1,2,1,3
13,1,1,16,2,1,11,12
14,2,0,0,3,0,10,13
15,1,0,4,1,2,0,2
16,1,0,16,2,1,12,15
17,2,0,0,3,0,10,16
18,1,0,4,1,2,1,3
19,1,0,16,2,1,11,18
20,2,0,0,3,0,10,19
21,1,0,16,2,1,15,18
22,2,0,0,3,0,10,21
23,1,0,4,1,2,0,2
24,1,0,16,2,1,12,23
25,2,0,0,3,0,10,24
26,1,0,4,1,2,0,2
27,1,0,16,2,1,12,26
28,2,0,0,3,0,10,27
29,1,0,16,2,1,18,23
30,2,0,0,3,0,10,29
31,1,0,16,2,1,18,26
32,2,0,0,3,0,10,31
33,1,0,4,1,2,1,3
34,1,0,16,2,1,11,33
35,2,0,0,3,0,10,34
36,1,0,16,2,1,15,33
37,2,0,0,3,0,10,36
38,1,0,4,1,2,1,3
39,1,0,16,2,1,11,38
40,2,0,0,3,0,10,39
41,1,0,16,2,1,15,38
42,2,0,0,3,0,10,41
43,1,0,16,2,1,23,33
44,2,0,0,3,0,10,43
45,1,0,16,2,1,26,33
46,2,0,0,3,0,10,45
47,1,0,16,2,1,23,38
48,2,0,0,3,0,10,47
49,1,0,16,2,1,26,38
50,2,0,0,3,0,10,49
51,1,0,4,1,2,4,5
52,1,0,16,2,1,9,51
53,2,0,0,3,0,13,52
54,2,0,0,3,0,16,52
55,2,0,0,3,0,19,52
56,2,0,0,3,0,21,52
57,2,0,0,3,0,24,52
58,2,0,0,3,0,27,52
59,2,0,0,3,0,29,52
60,2,0,0,3,0,31,52
61,2,0,0,3,0,34,52
62,2,0,0,3,0,36,52
63,2,0,0,3,0,39,52
64,2,0,0,3,0,41,52
65,2,0,0,3,0,43,52
66,2,0,0,3,0,45,52
67,2,0,0,3,0,47,52
68,2,0,0,3,0,49,52
69,1,0,4,1,2,4,5
70,1,0,16,2,1,9,69
71,2,0,0,3,0,13,70
72,2,0,0,3,0,16,70
73,2,0,0,3,0,19,70
74,2,0,0,3,0,21,70
75,2,0,0,3,0,24,70
76,2,0,0,3,0,27,70
77,2,0,0,3,0,29,70
78,2,0,0,3,0,31,70
79,2,0,0,3,0,34,70
80,2,0,0,3,0,36,70
81,2,0,0,3,0,39,70
82,2,0,0,3,0,41,70
83,2,0,0,3,0,43,70
84,2,0,0,3,0,45,70
85,2,0,0,3,0,47,70
86,2,0,0,3,0,49,70
87,1,0,4,1,2,4,5
88,1,0,16,2,1,9,87
89,2,0,0,3,0,13,88
90,2,0,0,3,0,16,88
91,2,0,0,3,0,19,88
92,2,0,0,3,0,21,88
93,2,0,0,3,0,24,88
94,2,0,0,3,0,27,88
95,2,0,0,3,0,29,88
96,2,0,0,3,0,31,88
97,2,0,0,3,0,34,88
98,2,0,0,3,0,36,88
99,2,0,0,3,0,39,88
100,2,0,0,3,0,41,88
101,2,0,0,3,0,43,88
102,2,0,0,3,0,45,88
103,2,0,0,3,0,47,88
104,2,0,0,3,0,49,88
105,1,0,4,1,2,6,7
106,1,0,16,2,1,8,105
107,2,0,0,3,0,13,106
108,2,0,0,3,0,16,106
109,2,0,0,3,0,19,106
110,2,0,0,3,0,21,106
111,2,0,0,3,0,24,106
112,2,0,0,3,0,27,106
113,2,0,0,3,0,29,106
114,2,0,0,3,0,31,106
115,2,0,0,3,0,34,106
116,2,0,0,3,0,36,106
117,2,0,0,3,0,39,106
118,2,0,0,3,0,41,106
119,2,0,0,3,0,43,106
120,2,0,0,3,0,45,106
121,2,0,0,3,0,47,106
122,2,0,0,3,0,49,106
123,1,0,16,2,1,51,105
124,2,0,0,3,0,13,123
125,2,0,0,3,0,16,123
126,2,0,0,3,0,19,123
127,2,0,0,3,0,21,123
128,2,0,0,3,0,24,123
129,2,0,0,3,0,27,123
130,2,0,0,3,0,29,123
131,2,0,0,3,0,31,123
