cut1_idx,cut2_idx
748778,748330
748778,748719
748778,748761
748761,114
748761,748529
748529,725365
725365,724928
725365,725299
725365,725346
725346,1237
725346,725101
725101,702258
702258,701814
702258,702189
702258,702236
702236,117
702236,701987
701987,679526
679526,679016
679526,679455
679526,679502
679502,656579
656579,1237
656579,1239
679502,679352
679352,656694
656694,656272
656694,656605
656605,656536
656605,656560
656605,656579
656694,656656
656656,634567
634567,117
634567,120
656656,656297
656297,613510
613510,612967
612967,612472
612967,612895
612895,1244
1244,1237
1244,1242
612895,612653
612653,591298
591298,590900
591298,591212
591212,523
523,117
523,123
591212,591106
591106,550363
591106,570182
570182,550363
570182,550376
570182,570051
570051,550376
570051,550633
570051,569925
569925,550633
569925,550890
569925,569799
569799,550890
569799,551147
569799,569674
569674,551147
569674,551404
569674,569549
569549,551404
569549,551661
569549,569424
569424,551661
569424,551918
569424,569299
569299,551918
569299,552175
569299,569174
569174,552175
569174,552432
569174,569049
569049,552432
569049,552689
569049,568924
568924,552689
568924,552946
568924,568799
568799,552946
568799,553203
568799,568674
568674,553203
568674,553460
568674,568549
568549,553460
568549,553717
568549,568424
568424,553717
568424,553974
568424,568299
568299,553974
568299,554231
568299,568174
568174,554231
568174,554488
568174,568049
568049,554488
568049,554745
568049,567924
567924,554745
567924,555002
567924,567799
567799,555002
567799,555259
567799,567674
567674,555259
567674,555516
567674,567549
567549,555516
567549,555773
567549,567424
567424,555773
567424,556030
567424,567299
567299,556030
567299,556287
567299,567174
567174,556287
567174,556544
567174,567049
567049,556544
567049,556801
567049,566924
566924,556801
566924,557058
566924,566799
566799,557058
566799,557315
566799,566674
566674,557315
566674,557572
566674,566549
566549,557572
566549,557829
566549,566424
566424,557829
566424,558086
566424,566299
566299,558086
566299,558343
566299,566174
566174,558343
566174,558600
566174,566049
566049,558600
566049,558857
566049,565924
565924,558857
565924,559114
565924,565816
565924,565880
566049,566005
566174,566130
566299,566255
566424,566380
566549,566505
566674,566630
566799,566755
566924,566880
567049,567005
567174,567130
567299,567255
567424,567380
567549,567505
567674,567630
567799,567755
567924,567880
568049,568005
568174,568130
568299,568255
568424,568380
568549,568505
568674,568630
568799,568755
568924,568880
569049,569005
569174,569130
569299,569255
569424,569380
569549,569505
569674,569619
569799,569744
569925,569870
570051,569996
570182,570138
591106,570246
570246,1237
570246,570237
570237,1210
570237,1242
591106,590963
590963,550363
590963,550376
590963,570051
590963,570138
591106,590994
590994,550363
590994,550376
590994,570051
590994,570138
591212,591143
591212,591154
591298,591259
591259,570246
591259,590904
590904,550335
550335,549736
550335,549802
549802,4648
4648,1237
4648,4634
4634,1213
4634,1242
549802,549263
549802,549588
549588,529200
529200,509604
529200,528816
529200,529103
529200,529146
529146,4648
529146,529128
529128,146
146,117
146,123
146,130
529128,509325
529128,528977
528977,528937
528977,528946
528946,509192
528946,509240
529128,529115
549588,529282
529282,146
529282,528861
529282,529068
529068,528863
528863,490595
490595,470526
470526,523
470526,470517
470517,130
470517,190
490595,489843
489843,1255
1255,1221
1221,1213
1221,1220
1255,1244
489843,470439
470439,470234
470234,434262
434262,415394
415394,1220
415394,1303
415394,4648
434262,433540
433540,415305
415305,415108
415108,381256
381256,380838
380838,363671
363671,146
363671,201
201,193
201,199
380838,380272
380272,364088
380272,380269
380269,363971
363971,363830
363830,347303
347303,1255
347303,347294
347294,1306
347294,1309
363830,363355
363355,347600
363355,363351
363351,347356
347356,331247
331247,331106
331106,315332
315332,1255
315332,1314
1314,1306
1314,1312
331106,330619
330619,315631
330619,330605
331106,330859
330859,330661
330661,300292
300292,285402
285402,284942
284942,284884
284884,284459
284459,270599
284459,284445
284884,284736
284884,284759
284759,284664
284664,270322
270322,270236
270236,256613
270236,270220
270322,270300
270300,146
270300,270282
270282,167
270282,170
270282,201
284664,284608
284608,284547
284547,270087
284547,284524
284524,256624
284524,270173
284608,284576
284576,270101
270101,256624
270101,270087
284576,270173
284759,284748
284884,284812
284812,1277
284812,1312
284812,4648
284812,4677
4677,1220
4677,1306
284942,284903
284903,270300
284903,284699
284699,284501
284501,256373
256373,242683
242683,242224
242224,241791
241791,229100
241791,241659
241659,229363
241659,241534
241534,229625
241534,241409
241409,229887
241409,241284
241284,230149
241284,241159
241159,230411
241159,241034
241034,230673
241034,240909
240909,230935
240909,240784
240784,231197
240784,240657
240657,231459
240657,240644
240784,240721
240721,230953
230953,218121
218121,205726
205726,205642
205642,202992
202992,202928
202928,191043
202928,202530
202530,191306
202530,202397
202397,191568
202397,202272
202272,191830
202272,202147
202147,192092
202147,202022
202022,192354
202022,201897
201897,192616
201897,201772
201772,192878
201772,201647
201647,193140
201647,201522
201522,193402
201522,201397
201397,193664
201397,201272
201272,193926
201272,201147
201147,194188
201147,201022
201022,194450
201022,200897
200897,194712
200897,200772
200772,194974
200772,200647
200647,195236
200647,200522
200522,195498
200522,200397
200397,195760
200397,200272
200272,196022
200272,200147
200147,196284
200147,200022
200022,196546
200022,199897
199897,196808
199897,199772
199772,197070
199772,199647
199647,197332
199647,199522
199522,197594
199522,199397
199397,197856
199397,199272
199272,198117
199272,199147
199147,198359
199147,199023
199023,198531
199023,198923
199023,198992
199147,199114
199114,198117
199114,199097
199272,199239
199239,197856
199239,199222
199397,199364
199364,197594
199364,199347
199522,199489
199489,197332
199489,199470
199470,197081
197081,185700
185700,185482
185482,174304
174304,174219
174219,167332
167332,166848
166848,156479
166848,166716
166716,156742
166716,166591
166591,157004
166591,166466
166466,157266
166466,166341
166341,157528
166341,166216
166216,157790
166216,166091
166091,158052
166091,165966
165966,158314
165966,165841
165841,158576
165841,165716
165716,158838
165716,165591
165591,159100
165591,165466
165466,159362
165466,165341
165341,159624
165341,165216
165216,159886
165216,165091
165091,160148
165091,164966
164966,160410
164966,164841
164841,160672
164841,164716
164716,160934
164716,164591
164591,161196
164591,164466
164466,161458
164466,164341
164341,161720
164341,164216
164216,161982
164216,164090
164090,162244
164090,163966
163966,162506
163966,163840
163840,162767
163840,163715
163715,163009
163715,163592
163592,163181
163592,163478
163478,163420
163420,163389
163420,163408
163478,163449
163478,163469
163592,163516
163715,163632
163632,162778
162778,152432
152432,142029
152432,145477
145477,145402
145402,135702
145402,145271
145271,135715
145271,145145
145145,135980
145145,145019
145019,136245
145019,144894
144894,136510
144894,144769
144769,136775
144769,144644
144644,137040
144644,144519
144519,137305
144519,144394
144394,137570
144394,144269
144269,137835
144269,144144
144144,138100
144144,144019
144019,138365
144019,143894
143894,138630
143894,143769
143769,138895
143769,143644
143644,139160
143644,143519
143519,139425
143519,143394
143394,139690
143394,143269
143269,139955
143269,143144
143144,140220
143144,143019
143019,140485
143019,142894
142894,140750
142894,142769
142769,141015
142769,142644
142644,141280
142644,142519
142519,141544
142519,142394
142394,141787
142394,142271
142271,141988
142271,142151
142151,142084
142151,142117
142151,142138
142271,142212
142394,142332
142519,142454
142454,141544
142454,142436
142644,142582
142769,142704
142704,141015
142704,142686
142894,142829
142829,140750
142829,142811
143019,142954
142954,140485
142954,142936
143144,143079
143079,140220
143079,143061
143269,143204
143204,139955
143204,143186
143394,143329
143329,139690
143329,143311
143519,143454
143454,139425
143454,143436
143644,143579
143579,139160
143579,143561
143769,143704
143704,138895
143704,143686
143894,143829
143829,138630
143829,143811
144019,143954
143954,138365
143954,143936
144144,144079
144079,138100
144079,144061
144269,144204
144204,137835
144204,144186
144394,144329
144329,137570
144329,144311
144519,144454
144454,137305
144454,144436
144644,144579
144579,137040
144579,144561
144769,144704
144704,136775
144704,144686
144894,144829
144829,136510
144829,144811
145019,144954
144954,136245
144954,144936
145145,145080
145080,135980
145080,145062
145271,145206
145206,135715
145206,145188
145402,145335
145335,135702
145335,145316
145477,145456
145456,146
145456,222
222,167
222,173
222,193
222,199
145456,275
275,267
275,274
152432,152410
152410,142118
142118,142084
142118,142117
152410,145402
152410,145456
152410,152335
162778,156202
156202,156126
156126,145994
156126,155991
155991,146006
155991,155859
155859,146269
155859,155734
155734,146531
155734,155609
155609,146793
155609,155484
155484,147055
155484,155359
155359,147317
155359,155234
155234,147579
155234,155109
155109,147841
155109,154984
154984,148103
154984,154859
154859,148365
154859,154734
154734,148627
154734,154609
154609,148889
154609,154484
154484,149151
154484,154359
154359,149413
154359,154234
154234,149675
154234,154109
154109,149937
154109,153984
153984,150199
153984,153859
153859,150461
153859,153734
153734,150723
153734,153609
153609,150985
153609,153484
153484,151247
153484,153359
153359,151509
153359,153234
153234,151771
153234,153109
153109,152032
153109,152984
152984,152276
152984,152860
152860,152459
152860,152745
152745,152687
152687,152656
152687,152675
152745,152716
152745,152736
152860,152787
152984,152922
153109,153044
153044,152032
153044,153027
153234,153172
153359,153294
153294,151509
153294,153277
153484,153419
153419,151247
153419,153402
153609,153544
153544,150985
153544,153527
153734,153669
153669,150723
153669,153652
153859,153794
153794,150461
153794,153777
153984,153919
153919,150199
153919,153902
154109,154044
154044,149937
154044,154027
154234,154169
154169,149675
154169,154152
154359,154294
154294,149413
154294,154277
154484,154419
154419,149151
154419,154402
154609,154544
154544,148889
154544,154527
154734,154669
154669,148627
154669,154652
154859,154794
154794,148365
154794,154777
154984,154919
154919,148103
154919,154902
155109,155044
155044,147841
155044,155027
155234,155169
155169,147579
155169,155152
155359,155294
155294,147317
155294,155277
155484,155419
155419,147055
155419,155402
155609,155544
155544,146793
155544,155527
155734,155669
155669,146531
155669,155652
155859,155794
155794,146269
155794,155777
155991,155925
155925,146006
155925,155907
156126,156053
156053,145994
156053,156034
156202,156182
156182,4526
4526,1069
4526,1286
156182,4648
156182,4691
4691,4663
4663,1280
4663,1312
4691,4677
163632,163622
163840,163759
163966,163904
164090,164009
164216,164158
164341,164283
164466,164408
164591,164533
164716,164658
164841,164783
164966,164908
165091,165033
165216,165158
165341,165283
165466,165408
165591,165533
165716,165658
165841,165783
165966,165908
166091,166033
166216,166158
166341,166283
166466,166408
166591,166533
166716,166658
166848,166789
167332,167241
167241,167124
167241,167148
167241,167210
167332,167291
167291,156182
167291,167086
167086,166880
166880,145754
145754,135663
135663,135531
135531,135070
135070,135006
135006,125369
135006,134557
134557,125632
134557,134424
134424,125894
134424,134299
134299,126156
134299,134174
134174,126418
134174,134049
134049,126680
134049,133924
133924,126942
133924,133799
133799,127204
133799,133674
133674,127466
133674,133549
133549,127728
133549,133424
133424,127990
133424,133299
133299,128252
133299,133174
133174,128514
133174,133049
133049,128776
133049,132924
132924,129038
132924,132799
132799,129300
132799,132674
132674,129562
132674,132549
132549,129824
132549,132424
132424,130086
132424,132299
132299,130348
132299,132174
132174,130610
132174,132049
132049,130871
132049,131924
131924,131113
131924,131800
131800,131285
131800,131680
131680,131566
131566,131504
131566,131523
131566,131564
131680,131584
131680,131650
131800,131777
131924,131891
131891,130871
131891,131874
132049,132016
132016,130610
132016,131999
132174,132141
132141,130348
132141,132124
132299,132266
132266,130086
132266,132249
132424,132391
132391,129824
132391,132374
132549,132516
132516,129562
132516,132499
132674,132641
132641,129300
132641,132624
132799,132766
132766,129038
132766,132749
132924,132891
132891,128776
132891,132874
133049,133016
133016,128514
133016,132999
133174,133141
133141,128252
133141,133124
133299,133266
133266,127990
133266,133249
133424,133391
133391,127728
133391,133374
133549,133516
133516,127466
133516,133499
133674,133641
133641,127204
133641,133624
133799,133766
133766,126942
133766,133749
133924,133891
133891,126680
133891,133874
134049,134016
134016,126418
134016,133999
134174,134141
134141,126156
134141,134124
134299,134266
134266,125894
134266,134249
134424,134391
134391,125632
134391,134374
134557,134522
134522,125369
134522,134504
135006,134981
134981,134863
134981,134888
134981,134940
134940,1069
134940,1072
134940,1255
134940,1328
1328,1291
1328,1314
135070,135031
135031,125074
125074,238
125074,274
125074,544
544,117
544,123
544,130
544,193
125074,594
594,167
594,173
594,199
594,267
135031,134826
134826,134619
134619,115971
115971,115488
115488,115413
115413,106883
115413,115282
115282,106896
115282,115156
115156,107161
115156,115030
115030,107426
115030,114905
114905,107691
114905,114780
114780,107956
114780,114655
114655,108221
114655,114530
114530,108486
114530,114405
114405,108751
114405,114280
114280,109016
114280,114155
114155,109281
114155,114030
114030,109546
114030,113905
113905,109811
113905,113780
113780,110076
113780,113655
113655,110341
113655,113530
113530,110606
113530,113405
113405,110871
113405,113280
113280,111136
113280,113155
113155,111401
113155,113030
113030,111666
113030,112905
112905,111930
112905,112780
112780,112173
112780,112657
112657,112375
112657,112537
112537,112470
112537,112503
112537,112524
112657,112597
112597,112276
112276,103066
112276,103090
112276,103127
112276,103129
103129,103066
103129,103090
103129,103127
112276,106253
106253,105776
105776,97686
105776,105644
105644,97949
105644,105519
105519,98211
105519,105394
105394,98473
105394,105269
105269,98735
105269,105144
105144,98997
105144,105019
105019,99259
105019,104894
104894,99521
104894,104769
104769,99783
104769,104644
104644,100045
104644,104519
104519,100307
104519,104394
104394,100569
104394,104269
104269,100831
104269,104144
104144,101093
104144,104019
104019,101355
104019,103894
103894,101617
103894,103769
103769,101879
103769,103644
103644,102141
103644,103519
103519,102402
103519,103394
103394,102644
103394,103271
103271,102816
103271,103156
103156,103101
103156,103127
103156,103146
103271,103221
103394,103329
103329,102644
103329,103312
103519,103454
103454,102402
103454,103437
103644,103579
103579,102141
103579,103562
103769,103704
103704,101879
103704,103687
103894,103829
103829,101617
103829,103812
104019,103954
103954,101355
103954,103937
104144,104079
104079,101093
104079,104062
104269,104204
104204,100831
104204,104187
104394,104329
104329,100569
104329,104312
104519,104454
104454,100307
104454,104437
104644,104579
104579,100045
104579,104562
104769,104704
104704,99783
104704,104687
104894,104829
104829,99521
104829,104812
105019,104954
104954,99259
104954,104937
105144,105079
105079,98997
105079,105062
105269,105204
105204,98735
105204,105187
105394,105329
105329,98473
105329,105312
105519,105454
105454,98211
105454,105437
105644,105579
105579,97949
105579,105562
105776,105710
105710,97686
105710,105692
106253,106162
106162,106051
106162,106076
106162,106118
106118,544
106118,594
106118,623
623,242
623,274
106253,106212
106212,97401
97401,1040
97401,1076
97401,4526
97401,4648
97401,4691
106212,106014
106014,105807
105807,89394
89394,89189
89189,81409
81409,81277
81277,80816
80816,80752
80752,73466
80752,80354
80354,73729
80354,80221
80221,73991
80221,80096
80096,74253
80096,79971
79971,74515
79971,79846
79846,74777
79846,79721
79721,75039
79721,79596
79596,75301
79596,79471
79471,75563
79471,79346
79346,75825
79346,79221
79221,76087
79221,79096
79096,76349
79096,78971
78971,76611
78971,78846
78846,76873
78846,78721
78721,77135
78721,78596
78596,77396
78596,78471
78471,77638
78471,78347
78347,77811
78347,78227
78227,78113
78113,78051
78113,78070
78113,78111
78227,78131
78227,78194
78194,77811
78194,78176
78176,77650
77650,334
334,146
334,222
334,296
296,242
296,248
296,267
296,274
77650,70791
77650,73156
73156,66452
73156,73021
73021,66464
73021,72889
72889,66727
72889,72764
72764,66989
72764,72639
72639,67251
72639,72514
72514,67513
72514,72389
72389,67775
72389,72264
72264,68037
72264,72139
72139,68299
72139,72014
72014,68561
72014,71889
71889,68823
71889,71764
71764,69085
71764,71639
71639,69347
71639,71514
71514,69609
71514,71389
71389,69871
71389,71264
71264,70132
71264,71139
71139,70376
71139,71016
71016,70560
71016,70900
70900,70845
70900,70871
70900,70890
71016,70955
70955,70560
70955,70938
71139,71085
71264,71199
71199,70132
71199,71182
71389,71324
71324,69871
71324,71307
71514,71449
71449,69609
71449,71432
71639,71574
71574,69347
71574,71557
71764,71699
71699,69085
71699,71682
71889,71824
71824,68823
71824,71807
72014,71949
71949,68561
71949,71932
72139,72074
72074,68299
72074,72057
72264,72199
72199,68037
72199,72182
72389,72324
72324,67775
72324,72307
72514,72449
72449,67513
72449,72432
72639,72574
72574,67251
72574,72557
72764,72699
72699,66989
72699,72682
72889,72824
72824,66727
72824,72807
73021,72955
72955,66464
72955,72937
73156,73083
73083,66452
73083,73064
78176,78166
78347,78316
78471,78438
78438,77396
78438,78421
78596,78563
78563,77135
78563,78546
78721,78688
78688,76873
78688,78671
78846,78813
78813,76611
78813,78796
78971,78938
78938,76349
78938,78921
79096,79063
79063,76087
79063,79046
79221,79188
79188,75825
79188,79171
79346,79313
79313,75563
79313,79296
79471,79438
79438,75301
79438,79421
79596,79563
79563,75039
79563,79546
79721,79688
79688,74777
79688,79671
79846,79813
79813,74515
79813,79796
79971,79938
79938,74253
79938,79921
80096,80063
80063,73991
80063,80046
80221,80188
80188,73729
80188,80171
80354,80319
80319,73466
80319,80301
80752,80727
80727,5606
5606,4540
4540,4512
4512,1043
4512,1076
4540,4526
5606,4648
5606,4691
80727,80660
80727,80685
80816,80777
80777,334
80777,80623
80623,80418
80418,334
80418,66417
66417,66212
66212,59602
59602,59470
59470,59011
59011,58505
58505,52758
58505,58373
58373,53021
58373,58248
58248,53283
58248,58123
58123,53545
58123,57998
57998,53807
57998,57873
57873,54069
57873,57748
57748,54331
57748,57623
57623,54593
57623,57498
57498,54855
57498,57373
57373,55117
57373,57248
57248,55379
57248,57123
57123,55641
57123,56998
56998,55903
56998,56873
56873,56144
56873,56750
56750,56316
56750,56635
56635,56580
56635,56606
56635,56625
56750,56692
56873,56811
56998,56933
56933,55903
56933,56916
57123,57058
57058,55641
57058,57041
57248,57183
57183,55379
57183,57166
57373,57308
57308,55117
57308,57291
57498,57433
57433,54855
57433,57416
57623,57558
57558,54593
57558,57541
57748,57683
57683,54331
57683,57666
57873,57808
57808,54069
57808,57791
57998,57933
57933,53807
57933,57916
58123,58058
58058,53545
58058,58041
58248,58183
58183,53283
58183,58166
58373,58308
58308,53021
58308,58291
58505,58439
58439,52758
58439,58421
59011,58920
58920,58780
58920,58805
58920,58889
58889,45
58889,248
58889,544
58889,594
58889,623
59011,58970
58970,2353
2353,1091
1091,1051
1051,1043
1051,1049
1091,1077
1077,1069
1077,1076
2353,1255
2353,1328
58970,58743
58743,58536
58536,46925
46925,46720
46720,41353
41353,41220
41220,40760
40760,40696
40696,35703
40696,40247
40247,35966
40247,40114
40114,36228
40114,39989
39989,36490
39989,39864
39864,36752
39864,39739
39739,37014
39739,39614
39614,37276
39614,39489
39489,37538
39489,39364
39364,37800
39364,39239
39239,38062
39239,39114
39114,38304
39114,38990
38990,38475
38990,38870
38870,38756
38756,38694
38756,38717
38756,38754
38870,38774
38870,38848
38990,38956
38956,38304
38956,38937
38937,38072
38072,33518
33518,28914
33518,30410
30410,26562
30410,30381
30381,26575
30381,30249
30249,26840
30249,30123
30123,27105
30123,29997
29997,27370
29997,29872
29872,27635
29872,29747
29747,27900
29747,29622
29622,28165
29622,29497
29497,28429
29497,29372
29372,28672
29372,29248
29248,28873
29248,29128
29128,29004
29004,28933
29004,28957
29004,29002
29128,29023
29128,29097
29248,29214
29214,28672
29214,29196
29372,29339
29339,28429
29339,29321
29497,29464
29464,28165
29464,29446
29622,29589
29589,27900
29589,29571
29747,29714
29714,27635
29714,29696
29872,29839
29839,27370
29839,29821
29997,29964
29964,27105
29964,29946
30123,30090
30090,26840
30090,30072
30249,30216
30216,26575
30216,30198
30381,30345
30345,26562
30345,30326
33518,30487
30487,30410
30487,30466
30466,4540
30466,4576
4576,1049
4576,1143
30466,4713
4713,4648
4713,4691
33518,33472
33472,28933
33472,28957
33472,29002
33472,29004
33472,30466
38072,35426
35426,35342
35342,31004
35342,35207
35207,31016
35207,35075
35075,31279
35075,34950
34950,31541
34950,34825
34825,31803
34825,34700
34700,32065
34700,34575
34575,32327
34575,34450
34450,32589
34450,34325
34325,32851
34325,34200
34200,33112
34200,34075
34075,33356
34075,33952
33952,33539
33952,33836
33836,33781
33836,33807
33836,33826
33952,33894
34075,34010
34010,33356
34010,33993
34200,34135
34135,33112
34135,34118
34325,34260
34260,32851
34260,34243
34450,34385
34385,32589
34385,34368
34575,34510
34510,32327
34510,34493
34700,34635
34635,32065
34635,34618
34825,34760
34760,31803
34760,34743
34950,34885
34885,31541
34885,34868
35075,35010
35010,31279
35010,34993
35207,35141
35141,31016
35141,35123
35342,35269
35269,31004
35269,35250
35426,35408
35408,49
35408,51
35408,296
35408,3016
3016,146
3016,222
38937,38927
39114,39081
39081,38062
39081,39064
39239,39206
39206,37800
39206,39189
39364,39331
39331,37538
39331,39314
39489,39456
39456,37276
39456,39439
39614,39581
39581,37014
39581,39564
39739,39706
39706,36752
39706,39689
39864,39831
39831,36490
39831,39814
39989,39956
39956,36228
39956,39939
40114,40081
40081,35966
40081,40064
40247,40212
40212,35703
40212,40194
40696,40671
40671,40553
40671,40582
40671,40630
40630,1049
40630,1140
40630,4540
40630,4713
40760,40721
40721,35408
40721,40519
40519,30969
30969,30764
30764,26523
26523,26391
26391,25932
25932,25455
25455,22052
25455,25323
25323,22315
25323,25198
25198,22577
25198,25073
25073,22839
25073,24948
24948,23101
24948,24823
24823,23363
24823,24698
24698,23625
24698,24573
24573,23867
24573,24450
24450,24038
24450,24335
24335,24280
24335,24306
24335,24325
24450,24392
24573,24508
24508,23867
24508,24491
