cut1_idx,cut2_idx
748778,748329
748329,725633
748329,748203
748203,725889
748203,748077
748077,726145
748077,747952
747952,726401
747952,747827
747827,726657
747827,747702
747702,726913
747702,747577
747577,727169
747577,747452
747452,727425
747452,747327
747327,727681
747327,747202
747202,727937
747202,747077
747077,728193
747077,746952
746952,728449
746952,746827
746827,728705
746827,746702
746702,728961
746702,746577
746577,729217
746577,746452
746452,729473
746452,746327
746327,729729
746327,746202
746202,729985
746202,746077
746077,730241
746077,745952
745952,730497
745952,745827
745827,730753
745827,745702
745702,731009
745702,745577
745577,731265
745577,745452
745452,731521
745452,745327
745327,731777
745327,745202
745202,732033
745202,745077
745077,732289
745077,744952
744952,732545
744952,744827
744827,732801
744827,744702
744702,733057
744702,744577
744577,733313
744577,744452
744452,733569
744452,744327
744327,733825
744327,744202
744202,734081
744202,744077
744077,734337
744077,743952
743952,734593
743952,743827
743827,734849
743827,743702
743702,735105
743702,743577
743577,735361
743577,743452
743452,735617
743452,743327
743327,735873
743327,743202
743202,736129
743202,743077
743077,736385
743077,742952
742952,736641
742952,742827
742827,736897
742827,742702
742702,737153
742702,742577
742577,737409
742577,742452
742452,737665
742452,742327
742327,737921
742327,742202
742202,738177
742202,742077
742077,738433
742077,741952
741952,738689
741952,741827
741827,738945
741827,741702
741702,739201
741702,741577
741577,739457
741577,741452
741452,739713
741452,741327
741327,739969
741327,741202
741202,740224
741202,741077
741077,740462
741077,740954
740954,740672
740954,740834
740834,740767
740834,740800
740834,740821
740954,740899
741077,741012
741012,740462
741012,740994
741202,741137
741137,740224
741137,741119
741327,741262
741262,739969
741262,741244
741452,741387
741387,739713
741387,741369
741577,741512
741512,739457
741512,741494
741702,741637
741637,739201
741637,741619
741827,741762
741762,738945
741762,741744
741952,741887
741887,738689
741887,741869
742077,742012
742012,738433
742012,741994
742202,742137
742137,738177
742137,742119
742327,742262
742262,737921
742262,742244
742452,742387
742387,737665
742387,742369
742577,742512
742512,737409
742512,742494
742702,742637
742637,737153
742637,742619
742827,742762
742762,736897
742762,742744
742952,742887
742887,736641
742887,742869
743077,743012
743012,736385
743012,742994
743202,743137
743137,736129
743137,743119
743327,743262
743262,735873
743262,743244
743452,743387
743387,735617
743387,743369
743577,743512
743512,735361
743512,743494
743702,743637
743637,735105
743637,743619
743827,743762
743762,734849
743762,743744
743952,743887
743887,734593
743887,743869
744077,744012
744012,734337
744012,743994
744202,744137
744137,734081
744137,744119
744327,744262
744262,733825
744262,744244
744452,744387
744387,733569
744387,744369
744577,744512
744512,733313
744512,744494
744702,744637
744637,733057
744637,744619
744827,744762
744762,732801
744762,744744
744952,744887
744887,732545
744887,744869
745077,745012
745012,732289
745012,744994
745202,745137
745137,732033
745137,745119
745327,745262
745262,731777
745262,745244
745452,745387
745387,731521
745387,745369
745577,745512
745512,731265
745512,745494
745702,745637
745637,731009
745637,745619
745827,745762
745762,730753
745762,745744
745952,745887
745887,730497
745887,745869
746077,746012
746012,730241
746012,745994
746202,746137
746137,729985
746137,746119
746327,746262
746262,729729
746262,746244
746452,746387
746387,729473
746387,746369
746577,746512
746512,729217
746512,746494
746702,746637
746637,728961
746637,746619
746827,746762
746762,728705
746762,746744
746952,746887
746887,728449
746887,746869
747077,747012
747012,728193
747012,746994
747202,747137
747137,727937
747137,747119
747327,747262
747262,727681
747262,747244
747452,747387
747387,727425
747387,747369
747577,747512
747512,727169
747512,747494
747702,747637
747637,726913
747637,747619
747827,747762
747762,726657
747762,747744
747952,747887
747887,726401
747887,747869
748077,748012
748012,726145
748012,747994
748203,748138
748138,725889
748138,748120
748329,748264
748264,725633
748264,748246
748778,748720
748778,748760
748760,114
748760,748624
748624,748528
748528,725365
725365,724901
724901,702528
724901,724775
724775,702785
724775,724649
724649,703042
724649,724524
724524,703299
724524,724399
724399,703556
724399,724274
724274,703813
724274,724149
724149,704070
724149,724024
724024,704327
724024,723899
723899,704584
723899,723774
723774,704841
723774,723649
723649,705098
723649,723524
723524,705355
723524,723399
723399,705612
723399,723274
723274,705869
723274,723149
723149,706126
723149,723024
723024,706383
723024,722899
722899,706640
722899,722774
722774,706897
722774,722649
722649,707154
722649,722524
722524,707411
722524,722399
722399,707668
722399,722274
722274,707925
722274,722149
722149,708182
722149,722024
722024,708439
722024,721899
721899,708696
721899,721774
721774,708953
721774,721649
721649,709210
721649,721524
721524,709467
721524,721399
721399,709724
721399,721274
721274,709981
721274,721149
721149,710238
721149,721024
721024,710495
721024,720899
720899,710752
720899,720774
720774,711009
720774,720649
720649,711266
720649,720524
720524,711523
720524,720399
720399,711780
720399,720274
720274,712037
720274,720149
720149,712294
720149,720024
720024,712551
720024,719899
719899,712808
719899,719774
719774,713065
719774,719649
719649,713322
719649,719524
719524,713579
719524,719399
719399,713836
719399,719274
719274,714093
719274,719149
719149,714350
719149,719024
719024,714607
719024,718899
718899,714864
718899,718774
718774,715121
718774,718649
718649,715378
718649,718524
718524,715635
718524,718399
718399,715892
718399,718274
718274,716149
718274,718149
718149,716406
718149,718024
718024,716663
718024,717899
717899,716920
717899,717774
717774,717159
717774,717651
717651,717368
717651,717531
717531,717464
717531,717497
717531,717518
717651,717600
717774,717716
717899,717841
718024,717966
718149,718091
718274,718216
718399,718341
718524,718466
718649,718591
718774,718716
718899,718841
719024,718966
719149,719091
719274,719216
719399,719341
719524,719466
719649,719591
719774,719716
719899,719841
720024,719966
720149,720091
720274,720216
720399,720341
720524,720466
720649,720591
720774,720716
720899,720841
721024,720966
721149,721091
721274,721216
721399,721341
721524,721466
721649,721591
721774,721716
721899,721841
722024,721966
722149,722091
722274,722216
722399,722341
722524,722466
722649,722591
722774,722716
722899,722841
723024,722966
723149,723091
723274,723216
723399,723341
723524,723466
723649,723591
723774,723716
723899,723841
724024,723966
724149,724091
724274,724216
724399,724341
724524,724466
724649,724591
724775,724717
724901,724843
725365,725300
725300,114
725300,725239
725300,725267
725365,725345
725345,1237
725345,725200
725200,725101
725101,702258
702258,701785
701785,679796
701785,701755
701755,680053
701755,701629
701629,680310
701629,701503
701503,680567
701503,701378
701378,680824
701378,701253
701253,681081
701253,701128
701128,681338
701128,701003
701003,681595
701003,700878
700878,681852
700878,700753
700753,682109
700753,700628
700628,682366
700628,700503
700503,682623
700503,700378
700378,682880
700378,700253
700253,683137
700253,700128
700128,683394
700128,700003
700003,683651
700003,699878
699878,683908
699878,699753
699753,684165
699753,699628
699628,684422
699628,699503
699503,684679
699503,699378
699378,684936
699378,699253
699253,685193
699253,699128
699128,685450
699128,699003
699003,685707
699003,698878
698878,685964
698878,698753
698753,686221
698753,698628
698628,686478
698628,698503
698503,686735
698503,698378
698378,686992
698378,698253
698253,687249
698253,698128
698128,687506
698128,698003
698003,687763
698003,697878
697878,688020
697878,697753
697753,688277
697753,697628
697628,688534
697628,697503
697503,688791
697503,697378
697378,689048
697378,697253
697253,689305
697253,697128
697128,689562
697128,697003
697003,689819
697003,696878
696878,690076
696878,696753
696753,690333
696753,696628
696628,690590
696628,696503
696503,690847
696503,696378
696378,691104
696378,696253
696253,691361
696253,696128
696128,691618
696128,696003
696003,691875
696003,695878
695878,692132
695878,695753
695753,692389
695753,695628
695628,692646
695628,695503
695503,692903
695503,695378
695378,693160
695378,695253
695253,693417
695253,695128
695128,693674
695128,695003
695003,693930
695003,694878
694878,694170
694878,694754
694754,694379
694754,694634
694634,694510
694510,694439
694510,694457
694457,694400
694457,694451
694510,694508
694634,694529
694634,694611
694754,694727
694878,694845
694845,693930
694845,694827
695003,694970
694970,693674
694970,694952
695128,695102
695253,695220
695220,693160
695220,695202
695378,695345
695345,692903
695345,695327
695503,695470
695470,692646
695470,695452
695628,695595
695595,692389
695595,695577
695753,695720
695720,692132
695720,695702
695878,695845
695845,691875
695845,695827
696003,695970
695970,691618
695970,695952
696128,696095
696095,691361
696095,696077
696253,696220
696220,691104
696220,696202
696378,696345
696345,690847
696345,696327
696503,696470
696470,690590
696470,696452
696628,696595
696595,690333
696595,696577
696753,696720
696720,690076
696720,696702
696878,696845
696845,689819
696845,696827
697003,696970
696970,689562
696970,696952
697128,697095
697095,689305
697095,697077
697253,697220
697220,689048
697220,697202
697378,697345
697345,688791
697345,697327
697503,697470
697470,688534
697470,697452
697628,697595
697595,688277
697595,697577
697753,697720
697720,688020
697720,697702
697878,697845
697845,687763
697845,697827
698003,697970
697970,687506
697970,697952
698128,698095
698095,687249
698095,698077
698253,698220
698220,686992
698220,698202
698378,698345
698345,686735
698345,698327
698503,698470
698470,686478
698470,698452
698628,698595
698595,686221
698595,698577
698753,698720
698720,685964
698720,698702
698878,698845
698845,685707
698845,698827
699003,698970
698970,685450
698970,698952
699128,699095
699095,685193
699095,699077
699253,699220
699220,684936
699220,699202
699378,699345
699345,684679
699345,699327
699503,699470
699470,684422
699470,699452
699628,699595
699595,684165
699595,699577
699753,699720
699720,683908
699720,699702
699878,699845
699845,683651
699845,699827
700003,699970
699970,683394
699970,699952
700128,700095
700095,683137
700095,700077
700253,700220
700220,682880
700220,700202
700378,700345
700345,682623
700345,700327
700503,700470
700470,682366
700470,700452
700628,700595
700595,682109
700595,700577
700753,700720
700720,681852
700720,700702
700878,700845
700845,681595
700845,700827
701003,700970
700970,681338
700970,700952
701128,701095
701095,681081
701095,701077
701253,701220
701220,680824
701220,701202
701378,701345
701345,680567
701345,701327
701503,701470
701470,680310
701470,701452
701629,701596
701596,680053
701596,701578
701755,701722
701722,679796
701722,701704
702258,702188
702188,1237
702188,702126
702188,702154
702258,702235
702235,118
702235,702087
702087,701986
701986,679526
679526,679011
679011,656975
679011,678885
678885,657240
678885,678759
678759,657505
678759,678634
678634,657770
678634,678509
678509,658035
678509,678384
678384,658300
678384,678259
678259,658565
678259,678134
678134,658830
678134,678009
678009,659095
678009,677884
677884,659360
677884,677759
677759,659625
677759,677634
677634,659890
677634,677509
677509,660155
677509,677384
677384,660420
677384,677259
677259,660685
677259,677134
677134,660950
677134,677009
677009,661215
677009,676884
676884,661480
676884,676759
676759,661745
676759,676634
676634,662010
676634,676509
676509,662275
676509,676384
676384,662540
676384,676259
676259,662805
676259,676134
676134,663070
676134,676009
676009,663335
676009,675884
675884,663600
675884,675759
675759,663865
675759,675634
675634,664130
675634,675509
675509,664395
675509,675384
675384,664660
675384,675259
675259,664925
675259,675134
675134,665190
675134,675009
675009,665455
675009,674884
674884,665720
674884,674759
674759,665985
674759,674634
674634,666250
674634,674509
674509,666515
674509,674384
674384,666780
674384,674259
674259,667045
674259,674134
674134,667310
674134,674009
674009,667575
674009,673884
673884,667840
673884,673759
673759,668105
673759,673634
673634,668370
673634,673509
673509,668635
673509,673384
673384,668900
673384,673259
673259,669165
673259,673134
673134,669430
673134,673009
673009,669695
673009,672884
672884,669960
672884,672759
672759,670225
672759,672634
672634,670490
672634,672509
672509,670755
672509,672384
672384,671021
672384,672259
672259,671285
672259,672134
672134,671527
672134,672011
672011,671729
672011,671891
671891,671824
671891,671857
671891,671878
672011,671949
671949,671729
671949,671931
672134,672071
672071,671415
671415,656692
656692,656630
656630,634849
656630,656233
656233,635110
656233,656100
656100,635370
656100,655975
655975,635630
655975,655850
655850,635890
655850,655725
655725,636150
655725,655600
655600,636410
655600,655475
655475,636670
655475,655350
655350,636930
655350,655225
655225,637190
655225,655100
655100,637450
655100,654975
654975,637710
654975,654850
654850,637970
654850,654725
654725,638230
654725,654600
654600,638490
654600,654475
654475,638750
654475,654350
654350,639010
654350,654225
654225,639270
654225,654100
654100,639530
654100,653975
653975,639790
653975,653850
653850,640050
653850,653725
653725,640310
653725,653600
653600,640570
653600,653475
653475,640830
653475,653350
653350,641090
653350,653225
653225,641350
653225,653100
653100,641610
653100,652975
652975,641870
652975,652850
652850,642130
652850,652725
652725,642390
652725,652600
652600,642650
652600,652475
652475,642910
652475,652350
652350,643170
652350,652225
652225,643430
652225,652100
652100,643690
652100,651975
651975,643950
651975,651850
651850,644210
651850,651725
651725,644470
651725,651600
651600,644730
651600,651475
651475,644990
651475,651350
651350,645250
651350,651225
651225,645510
651225,651100
651100,645770
651100,650975
650975,646030
