node_idx,node_inv,num_fo,lvl,rev_lvl,c1_lvl,c1_fo,c1_inv,c2_lvl,c2_fo,c2_inv
0,0,2,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
2,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
3,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
4,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
5,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
6,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
7,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
8,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
9,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
10,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
11,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
12,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
13,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
14,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
15,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
16,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
17,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
18,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
19,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
20,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
21,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
22,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
23,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
24,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
25,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
26,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
27,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
28,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
29,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
30,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
31,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
32,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
33,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
34,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
35,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
36,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
37,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
38,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
39,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
40,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
41,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
42,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
43,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
44,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
45,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
46,0,3,0,4372,0.0,0.0,0.0,0.0,0.0,0.0
