node_idx,type,node_inv,num_fo,lvl,rev_lvl,c1_idx,c2_idx
0,0,0,2,0,4372,-1,-1
1,0,0,3,0,4372,-1,-1
2,0,0,3,0,4372,-1,-1
3,0,0,3,0,4372,-1,-1
4,0,0,3,0,4372,-1,-1
5,0,0,3,0,4372,-1,-1
6,0,0,3,0,4372,-1,-1
7,0,0,3,0,4372,-1,-1
8,0,0,3,0,4372,-1,-1
9,0,0,3,0,4372,-1,-1
10,0,0,3,0,4372,-1,-1
11,0,0,3,0,4372,-1,-1
12,0,0,3,0,4372,-1,-1
13,0,0,3,0,4372,-1,-1
14,0,0,3,0,4372,-1,-1
15,0,0,3,0,4372,-1,-1
16,0,0,3,0,4372,-1,-1
17,0,0,3,0,4372,-1,-1
18,0,0,3,0,4372,-1,-1
19,0,0,3,0,4372,-1,-1
20,0,0,3,0,4372,-1,-1
21,0,0,3,0,4372,-1,-1
22,0,0,3,0,4372,-1,-1
23,0,0,3,0,4372,-1,-1
24,0,0,3,0,4372,-1,-1
25,0,0,3,0,4372,-1,-1
26,0,0,3,0,4372,-1,-1
27,0,0,3,0,4372,-1,-1
28,0,0,3,0,4372,-1,-1
29,0,0,3,0,4372,-1,-1
30,0,0,3,0,4372,-1,-1
31,0,0,3,0,4372,-1,-1
32,0,0,3,0,4372,-1,-1
33,0,0,3,0,4372,-1,-1
34,0,0,3,0,4372,-1,-1
35,0,0,3,0,4372,-1,-1
36,0,0,3,0,4372,-1,-1
37,0,0,3,0,4372,-1,-1
38,0,0,3,0,4372,-1,-1
39,0,0,3,0,4372,-1,-1
40,0,0,3,0,4372,-1,-1
41,0,0,3,0,4372,-1,-1
42,0,0,3,0,4372,-1,-1
43,0,0,3,0,4372,-1,-1
44,0,0,3,0,4372,-1,-1
45,0,0,3,0,4372,-1,-1
46,0,0,3,0,4372,-1,-1
47,0,0,3,0,4372,-1,-1
48,0,0,3,0,4372,-1,-1
49,0,0,3,0,4372,-1,-1
50,0,0,3,0,4372,-1,-1
51,0,0,3,0,4372,-1,-1
52,0,0,3,0,4372,-1,-1
53,0,0,3,0,4372,-1,-1
54,0,0,3,0,4372,-1,-1
55,0,0,3,0,4372,-1,-1
56,0,0,3,0,4372,-1,-1
57,0,0,3,0,4372,-1,-1
58,0,0,3,0,4372,-1,-1
59,0,0,3,0,4372,-1,-1
60,0,0,3,0,4372,-1,-1
61,0,0,3,0,4372,-1,-1
62,0,0,3,0,4372,-1,-1
63,0,0,4,0,4372,-1,-1
64,0,0,156,0,4372,-1,-1
65,0,0,370,0,4372,-1,-1
66,0,0,256,0,4372,-1,-1
67,0,0,250,0,4372,-1,-1
68,0,0,246,0,4372,-1,-1
69,0,0,238,0,4372,-1,-1
70,0,0,233,0,4372,-1,-1
71,0,0,230,0,4372,-1,-1
72,0,0,226,0,4372,-1,-1
73,0,0,221,0,4372,-1,-1
74,0,0,218,0,4372,-1,-1
75,0,0,214,0,4372,-1,-1
76,0,0,209,0,4372,-1,-1
77,0,0,206,0,4372,-1,-1
78,0,0,202,0,4372,-1,-1
79,0,0,197,0,4372,-1,-1
80,0,0,194,0,4372,-1,-1
81,0,0,190,0,4372,-1,-1
82,0,0,185,0,4372,-1,-1
83,0,0,182,0,4372,-1,-1
84,0,0,178,0,4372,-1,-1
85,0,0,173,0,4372,-1,-1
86,0,0,170,0,4372,-1,-1
87,0,0,166,0,4372,-1,-1
88,0,0,161,0,4372,-1,-1
89,0,0,158,0,4372,-1,-1
90,0,0,154,0,4372,-1,-1
91,0,0,149,0,4372,-1,-1
92,0,0,146,0,4372,-1,-1
93,0,0,142,0,4372,-1,-1
94,0,0,137,0,4372,-1,-1
95,0,0,134,0,4372,-1,-1
96,0,0,130,0,4372,-1,-1
97,0,0,125,0,4372,-1,-1
98,0,0,122,0,4372,-1,-1
99,0,0,118,0,4372,-1,-1
100,0,0,113,0,4372,-1,-1
101,0,0,110,0,4372,-1,-1
102,0,0,106,0,4372,-1,-1
103,0,0,101,0,4372,-1,-1
104,0,0,98,0,4372,-1,-1
105,0,0,94,0,4372,-1,-1
106,0,0,89,0,4372,-1,-1
107,0,0,86,0,4372,-1,-1
108,0,0,81,0,4372,-1,-1
109,0,0,77,0,4372,-1,-1
110,0,0,74,0,4372,-1,-1
111,0,0,69,0,4372,-1,-1
112,0,0,65,0,4372,-1,-1
113,0,0,62,0,4372,-1,-1
114,0,0,57,0,4372,-1,-1
115,0,0,53,0,4372,-1,-1
116,0,0,50,0,4372,-1,-1
117,0,0,45,0,4372,-1,-1
118,0,0,41,0,4372,-1,-1
119,0,0,38,0,4372,-1,-1
120,0,0,33,0,4372,-1,-1
121,0,0,29,0,4372,-1,-1
122,0,0,26,0,4372,-1,-1
123,0,0,21,0,4372,-1,-1
124,0,0,17,0,4372,-1,-1
125,0,0,13,0,4372,-1,-1
126,0,0,9,0,4372,-1,-1
127,0,0,7,0,4372,-1,-1
128,1,0,2,1,4371,63,64
129,1,0,1,1,4371,64,65
130,1,1,3,1,4371,66,67
131,1,0,2,2,4370,129,130
132,1,0,1,3,4369,128,131
133,1,1,1,1,4371,72,73
134,1,1,3,1,4371,74,75
135,1,1,6,2,4370,133,134
136,1,1,1,1,4371,68,69
137,1,1,3,1,4371,70,71
138,1,1,6,2,4370,136,137
139,1,1,2,3,4369,135,138
140,1,1,1,1,4371,80,81
141,1,1,3,1,4371,82,83
142,1,1,6,2,4370,140,141
143,1,1,1,1,4371,76,77
144,1,1,4,1,4371,78,79
145,1,1,5,2,4370,143,144
146,1,1,7,3,4369,142,145
147,1,1,3,4,4368,139,146
148,1,0,1,5,4367,132,147
149,1,1,1,1,4371,124,125
150,1,1,5,1,4371,126,127
151,1,1,11,2,4370,149,150
152,1,1,1,1,4371,120,121
153,1,1,3,1,4371,122,123
154,1,1,4,2,4370,152,153
155,1,1,1,1,4371,116,117
156,1,1,2,1,4371,118,119
157,1,1,5,2,4370,155,156
158,1,1,2,3,4369,154,157
159,1,1,121,4,4368,151,158
160,1,1,1,1,4371,104,105
161,1,1,3,1,4371,106,107
162,1,1,6,2,4370,160,161
163,1,1,1,1,4371,100,101
164,1,1,4,1,4371,102,103
165,1,1,5,2,4370,163,164
166,1,1,2,3,4369,162,165
167,1,1,1,1,4371,112,113
168,1,1,3,1,4371,114,115
169,1,1,4,2,4370,167,168
170,1,1,1,1,4371,108,109
171,1,1,3,1,4371,110,111
172,1,1,5,2,4370,170,171
173,1,1,7,3,4369,169,172
174,1,1,10,4,4368,166,173
175,1,1,1,1,4371,88,89
176,1,1,4,1,4371,90,91
177,1,1,5,2,4370,175,176
178,1,1,1,1,4371,84,85
179,1,1,3,1,4371,86,87
180,1,1,6,2,4370,178,179
181,1,1,2,3,4369,177,180
182,1,1,1,1,4371,96,97
183,1,1,3,1,4371,98,99
184,1,1,6,2,4370,182,183
185,1,1,1,1,4371,92,93
186,1,1,3,1,4371,94,95
187,1,1,6,2,4370,185,186
188,1,1,6,3,4369,184,187
189,1,1,11,4,4368,181,188
190,1,1,1,5,4367,174,189
191,1,1,42,6,4366,159,190
192,1,0,2,7,4365,148,191
193,1,0,5,1,4371,62,64
194,1,0,2,2,4370,65,193
195,1,0,2,3,4369,63,194
196,1,0,1,8,4364,192,195
197,1,1,3,2,4370,65,193
198,1,0,5,9,4363,196,197
199,1,0,2,8,4364,63,192
200,1,0,1,2,4370,65,193
201,1,0,1,2,4370,65,193
202,1,1,1,3,4369,200,201
203,1,1,2,3,4369,130,138
204,1,1,7,3,4369,135,145
205,1,1,2,4,4368,203,204
206,1,0,1,5,4367,202,205
207,1,1,2,3,4369,157,169
208,1,1,9,3,4369,151,154
209,1,1,20,4,4368,207,208
210,1,1,2,3,4369,165,184
211,1,1,6,3,4369,162,172
212,1,1,11,4,4368,210,211
213,1,1,2,3,4369,142,180
214,1,1,7,3,4369,177,187
215,1,1,10,4,4368,213,214
216,1,1,1,5,4367,212,215
217,1,1,31,6,4366,209,216
218,1,0,2,7,4365,206,217
219,1,0,1,9,4363,199,218
220,1,0,2,10,4362,198,219
221,1,1,1,4,4368,204,213
222,1,1,1,5,4367,203,221
223,1,0,1,3,4369,194,197
224,1,0,1,4,4368,208,223
225,1,1,1,4,4368,207,211
226,1,1,1,4,4368,210,214
227,1,1,1,5,4367,225,226
228,1,0,1,6,4366,224,227
229,1,0,2,7,4365,222,228
230,1,0,1,10,4362,198,229
231,1,0,2,11,4361,199,230
232,1,1,2,12,4360,220,231
233,1,0,5,1,4371,61,64
234,1,0,3,2,4370,65,233
235,1,1,1,1,4371,85,86
236,1,1,4,1,4371,87,88
237,1,1,5,2,4370,235,236
238,1,1,1,1,4371,81,82
239,1,1,3,1,4371,83,84
240,1,1,6,2,4370,238,239
241,1,1,2,3,4369,237,240
242,1,1,1,1,4371,93,94
243,1,1,3,1,4371,95,96
244,1,1,6,2,4370,242,243
245,1,1,1,1,4371,89,90
246,1,1,3,1,4371,91,92
247,1,1,6,2,4370,245,246
248,1,1,6,3,4369,244,247
249,1,1,11,4,4368,241,248
250,1,1,1,1,4371,69,70
