root_idx,cut_idx,l1_idx,l2_idx,l3_idx,l4_idx,l5_idx,vol_cut,cut_height,canon_tt_0,cannon_tt_1
11,1,1,4,-1,-1,-1,1,1,2004318071,286331153
12,2,4,8,-1,-1,-1,1,1,2004318071,286331153
13,3,11,12,-1,-1,-1,1,1,2004318071,286331153
13,4,4,8,11,-1,-1,2,2,522133279,117901063
13,5,1,4,8,-1,-1,3,2,488447261,488447261
13,6,1,4,12,-1,-1,2,2,522133279,117901063
14,7,0,13,-1,-1,-1,1,3,2004318071,286331153
14,8,0,11,12,-1,-1,2,3,1465341783,353703189
14,9,0,1,4,12,-1,3,3,1434408319,22348117
14,10,0,1,4,8,-1,4,3,1475827703,22085969
14,11,0,4,8,11,-1,3,3,1434408319,22348117
15,12,1,4,-1,-1,-1,1,1,2004318071,286331153
16,13,0,15,-1,-1,-1,1,2,2004318071,286331153
16,14,0,1,4,-1,-1,2,2,2139062143,16843009
17,15,14,16,-1,-1,-1,1,2,2004318071,286331153
17,16,0,13,16,-1,-1,2,4,522133279,117901063
17,17,0,13,15,-1,-1,3,4,454761243,454761243
17,18,0,14,15,-1,-1,2,4,926365495,320017171
17,19,0,1,4,8,-1,7,4,106301014,1458984694
17,20,0,1,4,12,-1,6,4,106366551,362747295
17,21,0,11,12,15,-1,4,4,364844479,27984299
17,22,0,11,12,16,-1,3,4,369038847,5701719
17,23,0,1,4,13,-1,4,4,27984299,364844479
17,24,0,1,4,14,-1,3,4,33489407,8323199
17,25,0,1,4,8,11,6,4,27372459,353744319
17,26,0,4,8,11,15,5,4,22391807,1419967
17,27,0,4,8,11,16,4,4,22413311,21887
17,28,0,1,4,8,15,6,4,22129659,22129659
17,29,0,1,4,8,16,5,4,22151167,22519
17,30,0,1,4,12,15,5,4,22391807,1419967
17,31,0,1,4,12,16,4,4,22413311,21887
17,32,0,1,4,11,12,5,4,28027819,353703359
18,33,6,17,-1,-1,-1,1,5,2004318071,286331153
18,34,6,14,16,-1,-1,2,5,1465341783,353703189
18,35,0,6,14,15,-1,3,5,926889791,51577619
18,36,0,6,13,15,-1,4,5,935278527,19071267
18,37,0,6,13,16,-1,3,5,863974271,20119859
18,38,0,1,4,6,14,4,5,16744447,65791
18,39,0,1,4,6,13,5,5,369082367,65707
18,40,0,6,11,12,16,4,5,859010943,17904435
18,41,0,6,11,12,15,5,5,859290559,17900339
18,42,0,1,4,6,12,7,5,369074175,393303
18,43,0,1,4,6,8,8,5,1459615487,393302
19,44,7,18,-1,-1,-1,1,6,2004318071,286331153
19,45,6,7,17,-1,-1,2,6,2139062143,16843009
19,46,6,7,14,16,-1,3,6,2004842367,17891601
19,47,0,6,7,13,16,4,6,1061126143,66307
19,48,0,6,7,13,15,5,6,1065336831,66051
19,49,0,6,7,14,15,4,6,1065304063,196867
20,50,4,8,-1,-1,-1,1,1,2004318071,286331153
21,51,19,20,-1,-1,-1,1,6,2004318071,286331153
21,52,7,18,20,-1,-1,2,7,522133279,117901063
21,53,4,8,19,-1,-1,2,7,522133279,117901063
21,54,6,7,17,20,-1,3,7,33489407,8323199
21,55,4,7,8,18,-1,3,7,87491895,324997983
21,56,6,7,14,16,20,4,7,17956863,30591
21,57,4,6,7,8,17,4,7,5571415,356472319
22,58,5,21,-1,-1,-1,1,8,2004318071,286331153
22,59,5,19,20,-1,-1,2,8,1465341783,353703189
22,60,4,5,8,19,-1,3,8,863974271,20119859
22,61,5,7,18,20,-1,3,8,1434408319,22348117
22,62,4,5,7,8,18,4,8,926906367,1114899
22,63,5,6,7,17,20,4,8,1431666687,87381
23,64,4,7,-1,-1,-1,1,1,2004318071,286331153
24,65,1,2,-1,-1,-1,1,1,2004318071,286331153
25,66,5,7,-1,-1,-1,1,1,2004318071,286331153
26,67,24,25,-1,-1,-1,1,1,2004318071,286331153
26,68,5,7,24,-1,-1,2,2,2139062143,16843009
26,69,1,2,25,-1,-1,2,2,2139062143,16843009
26,70,1,2,5,7,-1,3,2,2147450879,65537
27,71,23,26,-1,-1,-1,1,2,2004318071,286331153
27,72,23,24,25,-1,-1,2,2,1465341783,353703189
