node_idx,type,node_inv,num_fo,lvl,rev_lvl,c1_idx,c2_idx
0,0,0,7,0,16,-1,-1
1,0,0,12,0,16,-1,-1
2,0,0,19,0,16,-1,-1
3,0,0,23,0,16,-1,-1
4,0,0,31,0,16,-1,-1
5,0,0,25,0,16,-1,-1
6,0,0,29,0,16,-1,-1
7,0,0,31,0,16,-1,-1
8,0,0,23,0,16,-1,-1
9,0,0,22,0,16,-1,-1
10,0,0,14,0,16,-1,-1
11,1,0,1,1,15,1,4
12,1,1,2,1,15,4,8
13,1,0,1,2,14,11,12
14,1,0,1,3,13,0,13
15,1,0,1,1,15,1,4
16,1,0,1,2,14,0,15
17,1,1,1,4,12,14,16
18,1,0,1,5,11,6,17
19,1,0,1,6,10,7,18
20,1,0,2,1,15,4,8
21,1,1,1,7,9,19,20
22,1,0,1,8,8,5,21
23,1,0,1,1,15,4,7
24,1,0,1,1,15,1,2
25,1,0,2,1,15,5,7
26,1,0,1,2,14,24,25
27,1,1,1,3,13,23,26
28,1,0,1,4,12,3,27
29,1,0,1,1,15,4,7
30,1,0,1,2,14,3,29
31,1,1,1,5,11,28,30
32,1,0,1,6,10,8,31
33,1,0,1,1,15,5,8
34,1,0,1,2,14,4,33
35,1,1,1,7,9,32,34
36,1,1,1,9,7,22,35
37,1,0,1,10,6,9,36
38,1,0,2,1,15,4,8
39,1,0,1,2,14,3,38
40,1,1,1,1,15,4,7
41,1,0,1,3,13,39,40
42,1,1,1,4,12,2,41
43,1,0,1,5,11,1,42
44,1,0,1,1,15,1,2
45,1,1,2,1,15,7,8
46,1,0,1,2,14,44,45
47,1,1,1,3,13,9,46
48,1,1,1,6,10,43,47
49,1,0,1,7,9,6,48
50,1,0,1,8,8,5,49
51,1,0,1,1,15,6,9
52,1,0,1,2,14,5,51
53,1,1,1,9,7,50,52
54,1,1,1,11,5,37,53
55,1,0,1,12,4,10,54
56,1,0,1,1,15,2,3
57,1,0,2,1,15,2,3
58,1,1,1,2,14,56,57
59,1,0,1,3,13,9,58
60,1,0,1,4,12,8,59
61,1,1,1,5,11,10,60
62,1,0,1,6,10,7,61
63,1,0,1,1,15,9,10
64,1,0,1,2,14,8,63
65,1,1,1,7,9,62,64
66,1,0,1,8,8,6,65
67,1,0,2,1,15,6,10
68,1,0,1,2,14,7,67
69,1,1,1,9,7,66,68
70,2,1,0,13,3,55,69
71,1,1,1,1,15,4,9
72,1,1,1,1,15,2,7
73,1,0,1,2,14,71,72
74,1,1,1,3,13,1,73
75,1,0,2,1,15,1,2
76,1,0,1,2,14,0,75
77,1,1,1,1,15,0,2
78,1,0,1,3,13,76,77
79,1,1,1,4,12,7,78
80,1,0,1,5,11,4,79
81,1,0,4,1,15,8,9
82,1,1,1,6,10,80,81
83,1,0,1,7,9,74,82
84,1,1,1,8,8,6,83
85,1,0,3,1,15,3,4
86,1,0,1,2,14,7,85
87,1,0,1,3,13,9,86
88,1,0,1,4,12,8,87
89,1,0,2,1,15,7,9
90,1,1,1,5,11,88,89
