cut1_idx,cut2_idx
31153,4500
4500,4487
4500,4495
31153,9017
9017,4525
9017,9011
31153,18760
18760,18747
18760,18755
31153,31032
31032,30482
30482,29829
29829,9062
9062,9046
9062,9054
29829,9076
29829,9084
29829,9515
9515,9046
9515,9054
9515,9092
9092,9076
9092,9084
9515,9212
9212,9150
9212,9158
9212,9196
9196,9180
9196,9188
9515,9497
9497,9274
9274,9258
9274,9266
9497,9304
9304,9288
9304,9296
9497,9334
9334,9318
9334,9326
9497,9349
9349,9304
9349,9318
9349,9326
9497,9386
9386,9370
9386,9378
29829,29755
29755,9547
9547,9130
9130,9046
9130,9054
9130,9092
9547,9150
9547,9158
9547,9196
29755,29734
29734,29399
29399,9631
9631,9586
9586,9570
9586,9578
9631,9600
9631,9608
29399,9713
9713,9668
9668,9652
9668,9660
9713,9682
9713,9690
29399,9796
9796,9734
9796,9742
9796,9780
9780,9764
9780,9772
29399,9904
9904,9842
9904,9850
9904,9888
9888,9872
9888,9880
29399,29337
29337,9985
9985,9940
9940,9924
9940,9932
9985,9954
9985,9962
29337,10008
10008,9924
10008,9932
10008,9970
9970,9954
9970,9962
29337,10089
10089,10044
10044,10028
10044,10036
10089,10058
10089,10066
29337,10386
10386,10152
10152,10136
10152,10144
10386,10182
10182,10166
10182,10174
10386,10197
10197,10152
10197,10166
10197,10174
10386,10234
10234,10218
10234,10226
10386,10264
10264,10248
10264,10256
29337,29267
29267,10440
10440,10008
10440,10028
10440,10036
10440,10074
10074,10058
10074,10066
29267,29250
29250,28888
28888,10525
10525,10463
10525,10471
10525,10509
10509,10493
10509,10501
28888,28455
28455,10546
10546,10479
10479,10463
10479,10471
10546,10493
10546,10501
28455,10629
10629,10567
10629,10575
10629,10613
10613,10597
10613,10605
28455,10925
10925,10691
10691,10675
10691,10683
10925,10721
10721,10705
10721,10713
10925,10737
10737,10675
10737,10683
10737,10721
10925,10773
10773,10757
10773,10765
10925,10803
10803,10787
10803,10795
28455,10979
10979,10546
10979,10567
10979,10575
10979,10613
28455,28388
28388,28043
28043,11064
11064,11002
11064,11010
11064,11048
11048,11032
11048,11040
28043,28030
28030,11271
11271,11084
11271,11092
11271,11130
11130,11114
11130,11122
11271,11182
11182,11166
11182,11174
11271,11212
11212,11196
11212,11204
28030,11290
11290,11274
11290,11282
28030,11320
11320,11304
11320,11312
28030,11418
11418,11356
11418,11364
11418,11402
11402,11386
11402,11394
28030,27967
27967,11439
11439,11372
11372,11356
11372,11364
11439,11386
11439,11394
27967,11522
11522,11460
11522,11468
11522,11506
11506,11490
11506,11498
27967,11818
11818,11584
11584,11568
11584,11576
11818,11614
11614,11598
11614,11606
11818,11629
11629,11584
11629,11598
11629,11606
11818,11666
11666,11650
11666,11658
11818,11696
11696,11680
11696,11688
27967,11872
11872,11439
11872,11460
11872,11468
11872,11506
27967,27906
27906,11565
11565,11356
11565,11364
11565,11402
11565,11476
11476,11460
11476,11468
11565,11506
27906,27542
27542,11957
11957,11895
11957,11903
11957,11941
11941,11925
11941,11933
27542,27110
27110,12104
12104,11895
12104,11903
12104,11941
12104,12015
12015,11999
12015,12007
12104,12045
12045,12029
12045,12037
27110,12357
12357,12123
12123,12107
12123,12115
12357,12153
12153,12137
12153,12145
12357,12168
12168,12123
12168,12137
12168,12145
12357,12205
12205,12189
12205,12197
12357,12235
12235,12219
12235,12227
27110,12412
12412,11895
12412,11903
12412,11941
12412,12387
12387,12015
12387,12029
12387,12037
27110,26949
26949,12496
12496,12434
12496,12442
12496,12480
12480,12464
12480,12472
26949,26684
26684,12703
12703,12516
12703,12524
12703,12562
12562,12546
12562,12554
12703,12614
12614,12598
12614,12606
12703,12644
12644,12628
12644,12636
26684,12722
12722,12706
12722,12714
26684,12752
12752,12736
12752,12744
26684,12850
12850,12788
12850,12796
12850,12834
12834,12818
12834,12826
26684,26621
26621,12871
12871,12804
12804,12788
12804,12796
12871,12818
12871,12826
26621,12954
12954,12892
12954,12900
12954,12938
12938,12922
12938,12930
26621,13250
13250,13016
13016,13000
13016,13008
13250,13046
13046,13030
13046,13038
13250,13061
13061,13016
13061,13030
13061,13038
13250,13098
13098,13082
13098,13090
13250,13128
13128,13112
13128,13120
26621,13304
13304,12871
13304,12892
13304,12900
13304,12938
26621,26560
26560,12997
12997,12788
12997,12796
12997,12834
12997,12908
12908,12892
12908,12900
12997,12938
26560,26196
26196,13389
13389,13327
13389,13335
13389,13373
13373,13357
13373,13365
26196,25764
25764,13536
13536,13327
13536,13335
13536,13373
13536,13447
13447,13431
13447,13439
13536,13477
13477,13461
13477,13469
25764,13789
13789,13555
13555,13539
13555,13547
13789,13585
13585,13569
13585,13577
13789,13600
13600,13555
13600,13569
13600,13577
13789,13637
13637,13621
13637,13629
13789,13667
13667,13651
13667,13659
25764,13844
13844,13327
13844,13335
13844,13373
13844,13819
13819,13447
13819,13461
13819,13469
25764,25597
25597,14053
14053,13866
14053,13874
14053,13912
13912,13896
13912,13904
14053,13964
13964,13948
13964,13956
14053,13994
13994,13978
13994,13986
25597,25337
25337,14118
14118,14056
14118,14064
14118,14102
14102,14086
14102,14094
25337,14200
14200,14138
14200,14146
14200,14184
14184,14168
14184,14176
25337,14282
14282,14220
14282,14228
14282,14266
14266,14250
14266,14258
25337,15225
15225,14429
14429,14220
14429,14228
14429,14266
14429,14340
14340,14324
14340,14332
14429,14370
14370,14354
14370,14362
15225,14600
14600,14432
14600,14440
14600,14478
14478,14462
14478,14470
14600,14575
14575,14530
14530,14514
14530,14522
14575,14544
14575,14552
15225,14706
14706,14644
14706,14652
14706,14690
14690,14674
14690,14682
15225,15165
15165,14853
14853,14644
14853,14652
14853,14690
14853,14764
14764,14748
14764,14756
14853,14794
14794,14778
14794,14786
15165,15023
15023,14918
14918,14856
14918,14864
14918,14902
14902,14886
14902,14894
15023,14938
15023,14946
15023,14984
14984,14968
14984,14976
15165,15048
15048,14856
15048,14864
15048,14902
15165,15109
15109,14764
15109,14778
15109,14786
