cut1_idx,cut2_idx
31129,4500
4500,4484
4500,4492
31129,9021
31129,31025
31025,30834
30834,30237
30237,9106
9106,9062
9062,9046
9062,9054
9106,9092
9092,9076
9092,9084
30237,9500
9500,9232
9232,9128
9128,9062
9128,9092
9232,9210
9210,9166
9166,9150
9166,9158
9210,9196
9196,9180
9196,9188
9500,9424
9424,9274
9274,9258
9274,9266
9424,9400
9400,9348
9348,9304
9304,9288
9304,9296
9348,9334
9334,9318
9334,9326
9400,9386
9386,9370
9386,9378
9500,9447
9447,9304
9447,9334
30237,29755
29755,9544
9544,9128
9544,9522
9522,9166
9522,9196
29755,29733
29733,29645
29645,9630
9630,9586
9586,9570
9586,9578
9630,9616
9616,9600
9616,9608
29645,9816
9816,9712
9712,9668
9668,9652
9668,9660
9712,9698
9698,9682
9698,9690
9816,9794
9794,9750
9750,9734
9750,9742
9794,9780
9780,9764
9780,9772
29645,29343
29343,9902
9902,9858
9858,9842
9858,9850
9902,9888
9888,9872
9888,9880
29343,29317
29317,9984
9984,9940
9940,9924
9940,9932
9984,9970
9970,9954
9970,9962
29317,29291
29291,10389
10389,10110
10110,10006
10006,9940
10006,9970
10110,10088
10088,10044
10044,10028
10044,10036
10088,10074
10074,10058
10074,10066
10389,10300
10300,10196
10196,10152
10152,10136
10152,10144
10196,10182
10182,10166
10182,10174
10300,10278
10278,10234
10234,10218
10234,10226
10278,10264
10264,10248
10264,10256
10389,10326
10326,10152
10326,10182
29291,29267
29267,10437
10437,10006
10437,10415
10415,10044
10415,10074
29267,29245
29245,29151
29151,28892
28892,10523
10523,10479
10479,10463
10479,10471
10523,10509
10509,10493
10509,10501
28892,10928
10928,10649
10649,10545
10545,10479
10545,10509
10649,10627
10627,10583
10583,10567
10583,10575
10627,10613
10613,10597
10613,10605
10928,10839
10839,10735
10735,10691
10691,10675
10691,10683
10735,10721
10721,10705
10721,10713
10839,10817
10817,10773
10773,10757
10773,10765
10817,10803
10803,10787
10803,10795
10928,10865
10865,10691
10865,10721
28892,28409
28409,10976
10976,10545
10976,10954
10954,10583
10954,10613
