cut1_idx,cut2_idx
31129,4500
4500,4485
4500,4493
31129,9019
31129,31032
31032,30480
30480,30233
30233,9106
9106,9068
9106,9098
30233,29782
29782,9499
9499,9233
9233,9128
9128,9068
9128,9098
9233,9172
9233,9202
9499,9497
9497,9280
9497,9310
9497,9340
9497,9348
9348,9310
9348,9340
9497,9392
29782,9545
9545,9128
9545,9172
9545,9202
29782,29639
29639,29390
29390,9630
9630,9592
9630,9622
29390,9823
9823,9674
9823,9698
9698,9683
9698,9691
9823,9750
9750,9735
9750,9743
9823,9786
29390,29343
29343,9902
9902,9864
9902,9894
29343,29318
29318,9984
9984,9940
9940,9925
9940,9933
9984,9976
29318,10389
10389,10111
10111,10006
10006,9940
10006,9976
10111,10050
10111,10080
10389,10307
10307,10158
10307,10188
10307,10240
10307,10270
10389,10326
10326,10158
10326,10188
29318,29269
29269,10438
10438,10006
10438,10050
10438,10080
29269,29153
29153,28462
28462,10523
10523,10485
10523,10515
28462,10928
10928,10650
10650,10545
10545,10485
10545,10515
10650,10589
10650,10619
10928,10840
10840,10735
10735,10697
10735,10727
10840,10779
10840,10809
10928,10865
10865,10697
10865,10727
28462,10977
10977,10545
10977,10589
10977,10619
28462,28388
28388,28046
28046,11062
11062,11024
11062,11048
11048,11033
11048,11041
28046,11255
11255,11106
11255,11130
11130,11115
11130,11123
11255,11182
11182,11167
11182,11175
11255,11218
28046,11334
11334,11296
11334,11326
28046,27974
27974,11416
11416,11378
11416,11408
27974,11821
11821,11543
11543,11438
11438,11378
11438,11408
11543,11476
11476,11461
11476,11469
11543,11512
11821,11739
11739,11590
11739,11620
11739,11672
11739,11702
11821,11758
11758,11590
11758,11620
27974,11870
11870,11438
11870,11476
11870,11512
27974,27900
27900,27542
27542,11955
11955,11911
11911,11896
11911,11904
11955,11947
27542,27087
27087,12360
12360,12082
12082,11977
11977,11911
11977,11947
12082,12021
12082,12051
12360,12278
12278,12129
12278,12159
12278,12211
12278,12241
12360,12297
12297,12129
12297,12159
27087,27065
27065,12409
12409,11977
12409,12021
12409,12051
27065,26949
26949,12494
12494,12456
12494,12486
26949,26681
26681,12687
12687,12538
12687,12568
12687,12614
12614,12599
12614,12607
12687,12650
26681,12766
