cut1_idx,cut2_idx
31153,4501
31153,9017
9017,4527
9017,9011
31153,18760
18760,18747
18760,18755
31153,31026
31026,30482
30482,29809
29809,9106
9106,9075
9106,9095
29809,9500
9500,9233
9233,9128
9128,9075
9128,9095
9233,9169
9233,9209
9500,9425
9425,9287
9425,9348
9348,9317
9348,9347
9425,9389
9500,9447
9447,9317
9447,9347
29809,9545
9545,9128
9545,9169
9545,9209
29809,29734
29734,29392
29392,9630
9630,9599
9630,9629
29392,9823
9823,9681
9823,9701
9823,9753
9823,9793
29392,9902
9902,9871
9902,9901
29392,29320
29320,9984
9984,9953
9984,9973
29320,10389
10389,10111
10111,10006
10006,9953
10006,9973
10111,10047
10111,10087
10389,10307
10307,10165
10307,10195
10307,10247
10307,10267
10389,10326
10326,10165
10326,10195
29320,10438
10438,10006
10438,10047
10438,10087
29320,29245
29245,29153
29153,28462
28462,10523
10523,10492
10523,10512
28462,10928
10928,10650
10650,10545
10545,10492
10545,10512
10650,10586
10650,10626
10928,10840
10840,10735
10735,10704
10735,10734
10840,10786
10840,10806
10928,10865
10865,10704
10865,10734
28462,10977
10977,10545
10977,10586
10977,10626
28462,28388
28388,28046
28046,11062
11062,11031
11062,11061
28046,11255
11255,11113
11255,11133
11255,11185
11255,11225
28046,11334
11334,11303
11334,11333
28046,27974
27974,11416
11416,11385
11416,11415
27974,11820
11820,11543
11543,11438
11438,11385
11438,11415
11543,11479
11543,11519
11820,11791
11791,11597
11791,11617
11791,11628
11628,11597
11628,11617
11791,11710
11710,11679
11710,11709
27974,11870
11870,11438
11870,11479
11870,11519
27974,27900
27900,27542
27542,11955
11955,11924
11955,11944
27542,27087
27087,12360
12360,12082
12082,11977
11977,11924
11977,11944
12082,12018
12082,12058
12360,12278
12278,12136
12278,12166
12278,12218
12278,12238
12360,12297
12297,12136
12297,12166
27087,27065
27065,12409
12409,11977
12409,12018
12409,12058
27065,26949
26949,12494
12494,12463
12494,12493
26949,26681
26681,12687
12687,12545
12687,12575
12687,12627
12687,12657
26681,12766
12766,12735
12766,12765
26681,12848
12848,12817
12848,12837
26681,26603
26603,13253
13253,12975
12975,12870
12870,12817
12870,12837
12975,12921
12975,12951
13253,13164
13164,13060
13060,13029
13060,13049
13164,13142
13142,13111
13142,13131
13253,13190
13190,13029
13190,13049
26603,13302
13302,12870
13302,12921
13302,12951
26603,26461
26461,25770
25770,13387
13387,13356
13387,13376
25770,13796
13796,13356
13796,13376
13796,13491
13491,13460
13491,13490
13796,13751
13751,13703
13703,13599
13599,13568
13599,13598
13703,13681
13681,13650
13681,13680
13751,13729
13729,13568
13729,13598
25770,13841
13841,13409
13409,13356
13409,13376
13841,13460
13841,13490
25770,25695
25695,25353
25353,14037
14037,13895
14037,13925
14037,13977
14037,14007
25353,14116
14116,14085
14116,14103
25353,14198
14198,14167
14198,14197
25353,25293
25293,14280
14280,14249
14280,14269
25293,15219
15219,14623
14623,14407
14407,14302
14302,14249
14302,14269
14407,14353
14407,14383
14623,14492
14492,14461
14492,14479
14623,14574
14574,14543
14574,14563
15219,14704
14704,14673
14704,14703
15219,15160
15160,14837
14837,14673
14837,14703
14837,14777
14837,14807
15160,15068
15068,15021
15021,14916
14916,14885
14916,14915
15021,14967
15021,14997
15068,15046
15046,14885
15046,14915
15160,15108
15108,14777
15108,14807
25293,15352
15352,14407
15352,15263
15263,14574
15263,15241
15241,14461
15241,14479
15352,15289
15289,14543
15289,14563
25293,15401
15401,14302
15401,14353
15401,14383
25293,25185
25185,24550
24550,23696
23696,15486
15486,15455
15486,15475
23696,16425
16425,15828
15828,15613
15613,15508
15508,15455
15508,15475
15613,15547
15613,15589
15828,15809
15809,15667
15809,15697
15809,15749
15809,15769
16425,15910
15910,15879
15910,15909
16425,16366
16366,16043
16043,15879
16043,15909
16043,15983
16043,16013
16366,16274
16274,16227
16227,16122
16122,16091
16122,16121
16227,16173
16227,16203
16274,16252
16252,16091
16252,16121
16366,16314
16314,15983
16314,16013
23696,23649
23649,16558
16558,15613
16558,16476
16476,15667
16476,15697
16476,15749
16476,15769
16558,16495
16495,15749
16495,15769
