cut1_idx,cut2_idx
9352,9312
9352,9344
12206,10963
12206,12205
14314,13586
13586,13384
13586,13456
13586,13485
13586,13521
13586,13550
14314,14178
14314,14225
14314,14275
17196,15038
17196,15926
15926,15714
15926,15797
15926,15826
15926,15861
15926,15890
17196,17117
17117,17019
17117,17102
17102,17078
17078,17035
17078,17069
17102,17100
17196,17148
20074,18905
20074,20073
22900,21667
21667,21462
21667,21537
21667,21567
21667,21600
21667,21631
22900,22721
22900,22804
22804,22781
22781,22738
22781,22773
22804,22802
22900,22865
25722,24489
24489,24284
24489,24359
24489,24389
24489,24422
24489,24453
25722,25543
25722,25626
25626,25603
25603,25560
25603,25595
25626,25624
25722,25687
28731,27570
28731,28730
31557,30324
30324,30119
30324,30194
30324,30224
30324,30257
30324,30288
31557,31378
31557,31461
31461,31438
31438,31395
31438,31430
31461,31459
31557,31522
34379,33146
33146,32941
33146,33016
33146,33045
33146,33079
33146,33110
34379,34200
34379,34283
34283,34260
34260,34216
34260,34252
34283,34281
34379,34344
37319,36096
37319,37306
40246,38985
40246,40245
44909,43006
44909,44895
50243,46943
46943,46848
46943,46851
46851,45594
46851,45609
46943,46859
46943,46902
50243,50229
51996,46848
51996,50284
50284,45838
45838,45587
45587,45585
45587,45586
45838,45609
50284,46902
50284,50264
51996,51941
51996,51969
53511,52079
53511,53497
54609,53594
54609,54593
54593,54538
54593,54586
55707,54692
55707,55691
55691,55636
55691,55684
56805,55790
56805,56789
56789,56734
56789,56782
57903,56888
57903,57887
57887,57832
57887,57880
58948,57986
58948,58937
60149,60133
60133,10831
60133,59684
60133,60097
60097,60041
60041,59988
60041,60036
60097,60089
60149,60145
60145,7317
60145,10831
60178,60171
60178,60175
60187,60175
60187,60186
60196,60175
60196,60195
60205,60175
60205,60204
87480,87303
87480,87436
87480,87478
88545,46678
88545,87509
88545,88374
88545,88497
88497,88425
88425,2558
88425,2743
2743,2741
2743,2742
88425,87772
87772,3257
87772,87771
88425,88409
88497,88483
102179,100689
102179,102045
102179,102055
102179,102086
102086,100665
100665,97952
97952,10831
97952,97934
100665,100639
100639,98040
100639,98060
98060,10831
98060,98049
98049,9233
98049,95478
100639,100625
100625,9233
100625,100353
100353,98318
100353,100345
100625,100368
100625,100587
102086,102083
102179,102120
102120,102021
102021,97952
102021,98040
102021,101986
101986,9233
101986,100368
101986,101826
101986,101946
102120,102055
102120,102083
103217,103162
103217,103213
103440,46517
103440,103339
103440,103408
59595,10831
59595,44961
44961,44928
44961,44951
44951,6976
6976,751
6976,6969
44951,9037
44951,9233
44951,10831
59595,59571
104939,104898
104939,104935
107140,79177
107140,107011
107140,107038
107038,61022
107038,79177
107038,105311
107140,107080
107140,107086
109981,79177
109981,108120
109981,109915
109915,79177
109915,109054
109054,107144
109054,109051
109051,108561
108561,61022
108561,108170
108561,108311
108561,108535
109051,108574
109051,108589
109051,108714
109051,108997
108997,61022
108997,108888
108997,108926
108997,108971
109915,109818
109818,109444
109444,108574
109444,109431
109431,61022
109431,109322
109431,109360
109431,109405
109818,109797
109797,108714
109797,109784
109784,61022
109784,109655
109784,109713
109784,109758
109915,109863
109981,109942
112448,79177
112448,111618
111618,110008
110008,109998
110008,109999
110008,110004
111618,111595
111595,111153
111153,111113
111113,61022
111113,110698
111113,110848
111113,111087
111153,111146
111595,111574
111574,111534
111534,61022
111534,111420
111534,111457
111534,111507
111574,111566
111566,61022
111566,108574
111566,110646
111566,111330
112448,112317
112317,110008
112317,112294
112294,111933
111933,111891
111891,61022
111891,111791
111891,111813
111891,111865
111933,111925
112294,112273
112273,112231
112231,61022
112231,112095
112231,112153
112231,112206
112273,112264
112264,61022
112264,108574
112264,110646
112264,111320
112448,112433
113389,79177
113389,113271
113389,113282
113389,113375
113630,103368
113630,103397
113630,113622
114513,114289
114513,114497
114497,114477
114497,114484
114484,9020
114484,45022
114484,79177
114894,46678
114894,87509
114894,114889
114889,7912
114889,8515
114889,88425
114889,114790
114889,114845
115007,547
115007,1491
115007,114915
115007,114975
114975,1484
114975,114968
116989,116928
116928,79177
116928,116162
116162,115021
116162,115728
115728,115693
115728,115717
115717,108574
115717,115710
116162,116122
116928,116843
116928,116869
116869,61022
116869,108574
116869,115824
116989,116975
117641,10831
117641,117585
117641,117623
117768,61042
117768,117761
117980,103408
117980,117934
117980,117956
118027,118011
118027,118023
118104,103368
118104,103397
118104,118092
118216,547
118216,114915
118216,118167
118216,118189
118648,113414
118648,118643
118643,9389
118643,11483
118643,118537
118537,45952
45952,45587
45952,45594
45952,45609
118537,45963
45963,45609
45963,45807
45807,45789
45807,45790
45807,45796
118537,48812
118537,48945
118643,118554
118554,9487
118554,40445
118643,118578
118578,45952
118578,46208
46208,45609
46208,46122
46122,46108
46122,46109
46122,46116
46116,46114
46116,46115
118578,48950
118801,547
118801,114915
118801,118718
118718,1059
118718,47203
118718,118682
118718,118694
118801,118753
118753,126
126,49
126,115
115,50
115,103
103,51
103,91
91,76
91,80
91,82
118753,118742
119844,79177
119844,119671
119844,119810
119810,37
119810,6962
119810,61247
119810,119790
119790,119695
119790,119723
119723,119707
119723,119712
119712,8515
119712,9020
119712,61022
119790,119756
119756,2558
119756,2743
119756,87772
119756,119746
128961,127007
128961,128819
128961,128828
128961,128867
128867,122662
122662,10831
122662,122622
122662,122647
128867,126813
126813,9233
126813,122808
126813,126461
126813,126780
126780,126483
126780,126772
128867,126938
126938,9233
126938,95478
126938,126925
126925,9233
126925,10831
126925,126891
126891,122647
126891,126883
128867,128860
128961,128896
128896,128796
128796,122662
128796,128778
128778,9233
128778,126925
128778,128595
128778,128730
128730,126483
128730,128721
128896,128828
128896,128860
144783,79177
144783,117500
117500,44
117500,8905
8905,7912
8905,8896
8896,8626
8896,8892
8892,8596
8892,8891
117500,47765
117500,92672
92672,247
92672,45439
92672,88007
88007,199
88007,227
144783,144765
144765,160
144765,144699
144765,144756
144756,82
144756,1426
144756,113715
144756,119116
144756,144708
144872,144835
144835,1063
144835,144802
144835,144822
144872,144854
144854,547
144854,114915
144854,114955
114955,49
114955,114939
114939,89062
114939,114342
145070,103408
145070,145004
145070,145044
145136,160
145136,7912
145136,8896
145136,118307
145136,145109
145109,79177
145109,145095
145095,111199
145095,145088
145095,145089
145210,547
145210,114915
145210,145151
145210,145172
145283,113414
145283,145278
145278,9389
145278,11483
145278,61953
61953,45952
61953,46208
61953,61947
145278,61995
61995,45952
61995,45963
61995,61947
145278,118554
145350,199
145350,1616
145350,114939
145350,145332
145652,79177
145652,145519
145519,65286
145519,145500
145500,145382
145500,145488
145652,145621
145621,1907
145621,65286
145621,145603
146201,103374
103374,8891
103374,79177
146201,146077
146201,146159
146159,146132
146132,40445
146132,46017
146132,61995
146132,146112
146112,11483
146112,46246
146112,61953
146159,146157
146280,10496
146280,103374
146280,146228
146280,146251
146584,103397
146584,146524
146524,87588
146524,146474
146474,114389
114389,113655
114389,114369
114369,114333
114369,114342
114369,114347
146474,114407
146474,117295
117295,88394
117295,117294
146474,146452
146452,2558
146452,2743
146452,87772
146452,146442
146524,146495
146584,146544
146544,87588
146544,146294
146294,114389
146294,114407
146294,117295
147185,103381
103381,10496
103381,103374
147185,146051
147185,147137
147185,147163
148187,79177
148187,148076
148187,148095
148187,148174
148444,6976
148444,46678
148444,87509
148444,148400
148400,148347
148347,148232
148347,148245
148245,46432
148245,46535
46535,46507
46535,46527
46527,46512
46527,46523
148347,148277
