cut1_idx,cut2_idx
14309,13567
13567,13479
13567,13554
14309,14286
14286,14233
14233,14188
14233,14230
14286,14268
14268,12717
12717,12330
12717,12709
14268,14261
17194,15908
15908,15724
15908,15795
15908,15904
17194,17118
17118,16934
17118,17005
17118,17114
17194,17154
17154,10831
17154,15036
17154,17137
22915,21560
22915,21635
22915,22731
22915,22806
22915,22854
22854,20817
20817,20095
20817,20809
22854,22847
25737,24382
25737,24457
25737,25553
25737,25628
25737,25676
25676,23639
23639,22917
23639,23631
25676,25669
28731,27570
28731,28730
31572,30217
31572,30292
31572,31388
31572,31463
31572,31511
31511,29474
29474,28752
29474,29466
31511,31504
34394,33039
34394,33114
34394,34210
34394,34285
34394,34333
34333,32296
32296,31574
32296,32288
34333,34326
60150,10831
60150,60114
60114,59684
60114,60056
60114,60089
60150,60145
60145,7317
60145,10831
60178,60171
60178,60176
60187,60176
60187,60186
60196,60176
60196,60195
60205,60176
60205,60204
88539,87513
87513,46678
87513,87504
87504,87499
87499,9233
87499,10831
87504,87503
88539,88373
88373,8515
88373,87671
87671,87524
87671,87571
87671,87651
88373,88339
88539,88498
88498,87776
87776,3225
3225,2558
3225,2743
2743,2741
2743,2742
87776,87772
87772,3257
87772,87771
88498,88418
88498,88481
88481,46550
46550,46432
46550,46499
88481,88440
88481,88457
102162,100689
102162,102063
102162,102086
102086,100666
100666,97952
97952,10831
97952,97927
100666,98080
98080,9233
98080,10831
98080,95474
95474,8891
95474,95467
95467,88628
95467,95464
98080,97999
97999,97927
97999,97992
100666,100619
100619,100353
100353,98318
100353,100345
100619,100610
102086,102083
102162,102121
59595,10831
59595,44968
59595,59570
104779,103761
104779,104278
104779,104749
104749,104286
104749,104288
104749,104711
104711,104676
104711,104699
104699,2484
104699,104688
104939,104896
104939,104928
107118,107006
107006,61022
107006,105351
107006,106972
107118,107037
107037,79174
107037,107020
107020,61022
107020,105308
105308,105274
105308,105306
107118,107102
109997,79174
109997,108120
109997,109055
109055,107144
109055,108624
108624,61022
108624,108122
108122,108081
108122,108120
108624,108331
108624,108544
108544,61022
108544,108536
108624,108574
109055,109013
109013,61022
109013,108713
108713,61022
108713,108120
108713,108574
108713,108661
108661,108068
108661,108653
109013,108947
109013,108972
109997,109897
109897,79174
109897,107144
109897,109826
109826,108574
109826,108713
109826,109443
109826,109796
109897,109843
109843,61022
109843,108120
109843,109224
109224,108068
109224,109220
109997,109942
112448,79174
112448,111619
111619,110008
110008,109998
110008,109999
110008,110004
111619,111173
111173,61022
111173,108574
111173,110648
110648,110598
110598,108640
110598,109220
110648,110646
111173,110873
111173,111096
111096,61022
111096,111087
111619,111594
111594,61022
111594,108574
111594,111371
111371,110646
111371,111328
111328,109216
111328,111320
111594,111481
111594,111517
111517,61022
111517,111508
112448,112318
112318,110008
112318,111953
111953,61022
111953,108574
111953,111732
111732,108653
111732,110646
111953,111837
111953,111874
111874,61022
111874,111866
112318,112293
112293,61022
112293,108574
112293,112047
112047,110646
112047,111320
112293,112177
112293,112214
112214,61022
112214,112206
112448,112434
113407,79174
113407,112682
113407,113266
113266,61022
113266,112729
113266,113232
113407,113298
113298,61022
113298,79174
113298,112687
113407,113353
113629,103406
103406,103366
103406,103397
113629,113622
114274,103397
114274,103525
103525,365
103525,426
103525,427
427,192
427,218
103525,684
103525,47764
114274,104412
104412,103557
104412,104324
104324,90239
104324,104317
104317,38
104317,1484
104317,61075
104317,87860
104412,104346
104412,104365
114274,114233
114893,87513
114893,114818
114818,7912
114818,8515
114818,114754
114818,114773
114893,114855
114855,46550
114855,87776
114855,88418
114855,88453
115020,219
115020,547
115020,1489
115020,103406
115020,114975
114975,1484
114975,114969
116990,116167
116990,116904
116904,116858
116858,61022
116858,115021
116858,116235
116235,109220
116235,115819
116858,116694
116858,116778
116778,61022
116778,116702
116778,116744
116904,116890
116890,61022
116890,79174
116890,108574
116890,115821
115821,111320
115821,115819
116990,116987
117115,9827
117115,103761
117115,117062
117115,117078
117385,87504
117385,117150
117385,117361
117557,87499
117557,117419
117557,117534
117918,103761
117918,117854
117918,117889
117980,103406
117980,117934
117980,117956
118105,103406
118105,118080
118105,118082
118211,118167
118211,118195
118195,114925
114925,219
114925,547
114925,103406
118195,118190
118266,103761
118266,103988
118266,104088
118266,118230
118443,79174
118443,118364
118443,118423
118516,50
118516,104
104,51
104,79
104,84
84,80
84,83
118516,118295
118516,118474
118474,103397
118474,118461
118461,114939
114939,89058
114939,114337
114337,41
114337,148
