cut1_idx,cut2_idx
5903,5807
5903,5869
5903,5871
5871,5773
5871,5832
5871,5869
10519,10439
10439,10407
10439,10421
10421,10263
10421,10268
10421,10400
10519,10477
10519,10498
10498,10325
10325,10263
10325,10268
10325,10323
10498,10343
10343,10209
10209,10057
10057,9977
9977,9940
9940,9862
9862,9826
9826,9747
9747,9595
9595,9527
9527,9400
9400,9364
9364,9285
9285,9133
9133,9065
9065,8938
8938,8902
8902,8823
8823,8671
8671,8603
8603,8476
8476,8440
8440,8361
8361,8209
8209,8141
8141,8014
8014,7978
7978,7899
7899,7747
7747,7679
7679,7552
7552,7516
7516,7437
7437,7285
7285,7217
7217,7090
7090,7054
7054,6975
6975,6823
6823,6755
6755,6628
6628,6592
6592,6513
6513,6361
6361,6293
6293,6169
6169,6000
6000,5966
6000,5991
6169,6092
6169,6093
6093,6090
6093,6092
6169,6165
6293,6185
6185,6090
6185,6165
6293,6242
6293,6262
6262,6130
6130,6000
6130,6092
6130,6093
6262,6242
6361,6319
6361,6340
6340,6169
6340,6185
6340,6319
6513,6473
6513,6475
6475,6413
6475,6418
6475,6473
6592,6550
6592,6571
6571,6413
6571,6418
6571,6550
6628,6627
6755,6649
6755,6704
6755,6726
6823,6781
6823,6802
6802,6628
6802,6649
6802,6781
6975,6935
6975,6937
6937,6875
6937,6880
6937,6935
7054,7012
7054,7033
7033,6875
7033,6880
7033,7012
7090,7089
7217,7111
7217,7166
7217,7188
7285,7243
7285,7264
7264,7090
7264,7111
7264,7243
7437,7397
7437,7399
7399,7337
7399,7342
7399,7397
7516,7474
7516,7495
7495,7337
7495,7342
7495,7474
7552,7551
7679,7573
7679,7628
7679,7650
7747,7705
7747,7726
7726,7552
7726,7573
7726,7705
7899,7859
7899,7861
7861,7799
7861,7804
7861,7859
7978,7936
7978,7957
7957,7799
7957,7804
7957,7936
8014,8013
8141,8035
8141,8090
8141,8112
8209,8167
8209,8188
8188,8014
8188,8035
8188,8167
8361,8321
8361,8323
8323,8261
8323,8266
8323,8321
8440,8398
8440,8419
8419,8261
8419,8266
8419,8398
8476,8475
8603,8497
8603,8552
8603,8574
8671,8629
8671,8650
8650,8476
8650,8497
8650,8629
8823,8783
8823,8785
8785,8723
8785,8728
8785,8783
