Index,Gates,Gates (%),Area,Area (%),Delay,Delay (%)
1,    99, 12.1,      117.57, 87.9,   445.61, 21.2
2,    90, 17.8,      114.07, 82.2,   492.97, 22.2
3,   139, 28.8,      148.13, 71.2,   393.49, 25.9
4,   105, 16.2,      119.21, 83.8,   425.70, 27.6
5,   102, 21.6,      117.34, 78.4,   487.98, 18.6
6,    90, 17.8,      107.31, 82.2,   501.46, 23.3
7,    90, 15.6,      109.87, 84.4,   437.70, 26.7
8,   129, 25.6,      135.77, 74.4,   417.80, 17.1
9,   108, 25.9,      114.31, 74.1,   460.29, 22.2
10,   103, 23.3,      115.01, 76.7,   470.42, 24.3
11,   123, 26.0,      136.24, 74.0,   440.42, 14.6
12,    99, 25.3,      113.14, 74.7,   472.46, 22.2
13,   132, 29.5,      138.57, 70.5,   385.29, 18.9
14,   100, 20.0,      117.81, 80.0,   466.08, 22.0
15,    96, 22.9,      115.71, 77.1,   460.56, 24.0
16,   138, 28.3,      146.27, 71.7,   391.86, 15.2
17,   111, 21.6,      128.77, 78.4,   446.88, 18.0
18,   116, 15.5,      131.10, 84.5,   383.01, 21.6
19,   112, 24.1,      131.57, 75.9,   411.58, 17.9
20,    89, 15.7,      110.81, 84.3,   507.51, 23.6
21,   131, 29.0,      140.20, 71.0,   403.63, 17.6
22,    91, 22.0,      110.81, 78.0,   491.24, 22.0
23,   114, 21.9,      129.47, 78.1,   454.82, 20.2
24,    96, 21.9,      115.24, 78.1,   496.11, 19.8
25,   143, 32.2,      147.20, 67.8,   396.91, 16.8
26,   113, 20.4,      127.14, 79.6,   391.39, 18.6
27,   111, 21.6,      131.10, 78.4,   432.28, 19.8
28,    83, 19.3,      108.24, 80.7,   475.32, 22.9
29,   102, 24.5,      116.41, 75.5,   480.33, 22.5
30,    90, 18.9,      110.34, 81.1,   494.96, 23.3
31,   111, 16.2,      130.64, 83.8,   414.05, 17.1
32,   112, 27.7,      127.37, 72.3,   432.31, 19.6
33,   111, 24.3,      119.67, 75.7,   481.24, 22.5
34,    95, 23.2,      109.87, 76.8,   488.98, 22.1
35,    86, 11.6,      111.04, 88.4,   474.57, 25.6
36,   119, 18.5,      136.94, 81.5,   400.28, 16.8
37,   129, 29.5,      136.70, 70.5,   396.32, 15.5
38,   104, 16.3,      120.61, 83.7,   434.10, 26.0
39,    93, 18.3,      106.61, 81.7,   438.69, 23.7
40,    99, 19.2,      115.01, 80.8,   445.35, 22.2
41,    96, 22.9,      110.81, 77.1,   472.50, 24.0
42,    85, 10.6,      107.31, 89.4,   461.27, 24.7
43,    99, 19.2,      115.47, 80.8,   476.65, 20.2
44,   112, 22.3,      128.54, 77.7,   453.01, 21.4
45,    86, 16.3,      108.71, 83.7,   490.82, 23.3
46,    96, 22.9,      114.77, 77.1,   476.91, 22.9
47,    81,  8.6,      105.68, 91.4,   473.21, 27.2
48,    85, 15.3,      106.38, 84.7,   454.76, 21.2
49,   127, 25.2,      138.80, 74.8,   437.45, 15.7
50,   107, 16.8,      125.50, 83.2,   433.58, 20.6
51,    84,  9.5,      105.21, 90.5,   481.80, 26.2
52,   131, 29.0,      143.23, 71.0,   410.19, 15.3
53,   131, 24.4,      144.17, 75.6,   399.43, 18.3
54,    99, 19.2,      111.74, 80.8,   492.58, 24.2
55,   136, 25.7,      143.23, 74.3,   423.41, 21.3
56,   113, 23.9,      126.90, 76.1,   453.43, 17.7
57,    93, 21.5,      112.44, 78.5,   482.06, 21.5
58,    99, 21.2,      111.97, 78.8,   498.34, 21.2
59,    99, 26.3,      114.31, 73.7,   478.36, 21.2
60,    91, 17.6,      113.14, 82.4,   476.10, 20.9
61,   115, 19.1,      132.04, 80.9,   373.19, 29.6
62,    94, 21.3,      111.97, 78.7,   481.00, 22.3
63,   109, 22.0,      126.67, 78.0,   492.91, 25.7
64,   126, 25.4,      134.84, 74.6,   417.51, 18.3
65,    99, 21.2,      111.74, 78.8,   468.69, 20.2
66,   125, 28.0,      140.90, 72.0,   430.80, 16.0
67,   106, 19.8,      122.94, 80.2,   424.53, 23.6
68,   100, 21.0,      115.47, 79.0,   486.13, 20.0
69,    96, 17.7,      107.31, 82.3,   472.56, 20.8
70,    95, 16.8,      115.01, 83.2,   459.16, 25.3
71,    89, 19.1,      109.87, 80.9,   502.92, 21.3
72,    97, 15.5,      112.21, 84.5,   476.19, 22.7
73,   118, 20.3,      131.80, 79.7,   357.12, 28.0
74,    97, 20.6,      112.44, 79.4,   484.44, 19.6
75,   133, 27.1,      138.10, 72.9,   409.51, 17.3
76,    98, 18.4,      114.54, 81.6,   473.74, 24.5
77,    96, 18.8,      111.27, 81.2,   478.90, 19.8
78,   107, 27.1,      118.51, 72.9,   510.41, 21.5
79,    89, 16.9,      108.71, 83.1,   492.58, 21.3
80,   120, 29.2,      129.70, 70.8,   451.08, 29.2
81,    77, 11.7,      102.41, 88.3,   450.89, 24.7
82,    92, 17.4,      108.71, 82.6,   503.72, 20.7
83,   103, 22.3,      123.64, 77.7,   479.22, 25.2
84,    94, 25.5,      115.47, 74.5,   494.30, 22.3
85,   134, 26.9,      144.87, 73.1,   420.66, 18.7
86,   104, 24.0,      119.91, 76.0,   466.73, 20.2
87,   102, 22.5,      118.51, 77.5,   458.93, 25.5
