cut1_idx,cut2_idx
39,1
39,9
39,23
23,1
23,9
152,73
73,1
73,7
73,9
152,90
152,91
91,73
91,90
308,219
219,85
219,91
308,250
475,383
383,219
383,246
383,250
475,411
475,441
441,383
441,411
631,574
574,551
574,572
631,602
602,551
602,572
796,702
702,568
702,574
796,733
796,737
737,568
737,574
737,733
958,863
863,729
863,737
958,895
958,924
924,863
924,895
1119,1026
1026,863
1026,890
1026,891
1119,1055
1119,1085
1085,1026
1085,1055
1280,1188
1188,1026
1188,1051
1188,1055
1280,1214
1280,1247
1247,1188
1247,1212
1247,1213
1441,1348
1348,1188
1348,1212
1348,1213
1441,1376
1376,1373
1376,1374
1441,1430
1430,1188
1430,1212
1430,1213
1430,1373
1430,1374
1601,1509
1509,1348
1509,1373
1509,1374
1601,1538
1601,1540
1540,1509
1540,1538
1757,1668
1668,1534
1668,1540
1757,1699
1918,1829
1829,1695
1829,1703
1703,1534
1703,1540
1703,1699
1918,1859
1859,1856
1859,1857
2084,1991
2084,2021
2084,2024
2024,1991
2024,2017
2024,2018
2258,2017
2258,2024
2258,2180
2258,2186
2186,2017
2186,2024
2186,2180
2312,2178
2312,2186
