cut1_idx,cut2_idx
38,1
38,11
38,13
13,1
13,11
153,72
72,1
72,7
72,8
153,90
153,119
119,72
119,90
313,220
313,250
313,252
252,220
252,250
475,383
383,220
383,246
383,250
475,412
475,441
441,383
441,412
635,542
635,572
635,574
574,542
574,572
797,705
705,542
705,568
705,572
797,734
797,763
763,705
763,734
957,864
957,894
957,896
896,864
896,894
1119,1027
1027,864
1027,890
1027,894
1119,1056
1119,1087
1087,890
1087,896
1087,1056
1279,1186
1279,1216
1279,1218
1218,1186
1218,1216
1441,1349
1349,1186
1349,1212
1349,1216
1441,1378
1441,1409
1409,1212
1409,1218
1409,1378
1601,1508
1601,1538
1601,1540
1540,1508
1540,1538
1763,1671
1671,1508
1671,1534
1671,1538
1763,1700
1763,1731
1731,1534
1731,1540
1731,1700
1923,1830
1923,1860
1923,1862
1862,1830
1862,1860
2085,1993
1993,1830
1993,1856
1993,1860
2085,2022
2085,2053
2053,1856
2053,1862
2053,2022
2245,2152
2245,2182
2245,2184
2184,2152
2184,2182
2407,2315
2315,2152
2315,2178
2315,2182
2407,2344
2407,2375
2375,2178
2375,2184
2375,2344
2567,2474
2567,2504
2567,2506
2506,2474
2506,2504
2729,2637
2637,2474
2637,2500
2637,2504
2729,2666
2729,2697
2697,2500
2697,2506
2697,2666
2889,2796
2889,2826
2889,2828
2828,2796
2828,2826
3051,2959
2959,2796
2959,2822
2959,2826
3051,2988
3051,3019
3019,2822
3019,2828
3019,2988
3211,3118
3211,3148
3211,3150
3150,3118
3150,3148
3373,3281
3281,3118
3281,3144
3281,3148
3373,3310
3373,3341
3341,3144
3341,3150
3341,3310
3533,3440
3533,3470
3533,3472
3472,3440
3472,3470
3695,3603
3603,3440
3603,3466
3603,3470
3695,3632
3695,3663
3663,3466
3663,3472
3663,3632
3855,3762
3855,3792
3855,3794
3794,3762
3794,3792
4017,3925
3925,3762
3925,3788
3925,3792
4017,3954
4017,3985
3985,3788
3985,3794
3985,3954
4177,4084
4177,4114
4177,4116
4116,4084
4116,4114
4339,4247
4247,4084
4247,4110
4247,4114
4339,4276
4339,4307
4307,4110
4307,4116
4307,4276
4499,4406
4499,4436
4499,4438
4438,4406
4438,4436
4661,4569
4569,4406
4569,4432
4569,4436
4661,4598
4661,4629
4629,4432
4629,4438
4629,4598
4821,4728
4821,4758
4821,4760
4760,4728
4760,4758
4983,4891
4891,4728
4891,4754
4891,4758
4983,4920
4983,4951
4951,4754
4951,4760
4951,4920
5143,5050
5143,5080
5143,5082
5082,5050
5082,5080
5305,5213
5213,5050
5213,5076
5213,5080
5305,5242
5305,5273
5273,5076
5273,5082
5273,5242
5465,5372
5465,5402
5465,5404
5404,5372
5404,5402
5627,5535
5535,5372
5535,5398
5535,5402
5627,5564
5627,5595
5595,5398
5595,5404
5595,5564
5787,5694
5787,5724
5787,5726
5726,5694
5726,5724
5949,5857
