cut1_idx,cut2_idx
38,1
38,11
38,13
13,1
13,11
153,72
72,1
72,7
72,8
153,90
153,142
142,1
142,7
142,8
142,85
142,86
314,222
222,72
222,85
222,90
314,250
314,280
280,222
280,250
474,382
382,222
382,246
382,247
474,411
474,421
636,544
544,382
544,407
544,411
636,572
636,602
602,544
602,572
797,704
704,544
704,568
704,569
797,733
797,763
763,704
763,733
957,866
866,704
866,729
866,733
957,895
957,896
896,866
896,895
1119,1025
1119,1055
1119,1085
1085,1025
1085,1055
1279,1188
1188,1025
1188,1051
1188,1055
1279,1216
1279,1218
1218,1188
1218,1216
1441,1349
1349,1188
1349,1212
1349,1216
1441,1377
1441,1407
1407,1349
1407,1377
1601,1510
1510,1349
1510,1373
1510,1377
1601,1538
1601,1540
1540,1510
1540,1538
1763,1671
1671,1510
1671,1534
1671,1538
1763,1699
1763,1729
1729,1671
1729,1699
1923,1832
1832,1671
1832,1695
1832,1699
1923,1860
1923,1862
1862,1832
1862,1860
2085,1993
1993,1832
1993,1856
1993,1860
2085,2021
2085,2051
2051,1993
2051,2021
2245,2154
2154,1993
2154,2017
2154,2021
2245,2182
2245,2184
2184,2154
2184,2182
2407,2315
2315,2154
2315,2178
2315,2182
2407,2343
2407,2373
2373,2315
2373,2343
2567,2476
2476,2315
2476,2339
2476,2343
2567,2504
2567,2506
2506,2476
2506,2504
2729,2637
2637,2476
2637,2500
2637,2504
2729,2665
2729,2695
2695,2637
2695,2665
2889,2798
2798,2637
2798,2661
2798,2665
2889,2826
2889,2828
2828,2798
2828,2826
3051,2959
2959,2798
2959,2822
2959,2826
3051,2987
3051,3017
3017,2959
3017,2987
3211,3120
3120,2959
3120,2983
3120,2987
3211,3148
3211,3150
3150,3120
3150,3148
3373,3281
3281,3120
3281,3144
3281,3148
3373,3309
3373,3339
3339,3281
3339,3309
3533,3442
3442,3281
3442,3305
3442,3309
3533,3470
3533,3472
3472,3442
3472,3470
3695,3603
3603,3442
3603,3466
3603,3470
3695,3631
3695,3661
3661,3603
3661,3631
3855,3764
3764,3603
3764,3627
3764,3631
3855,3792
3855,3794
3794,3764
3794,3792
4017,3925
3925,3764
3925,3788
3925,3792
4017,3953
4017,3983
3983,3925
3983,3953
4177,4086
4086,3925
4086,3949
4086,3953
4177,4114
4177,4116
4116,4086
4116,4114
4339,4247
4247,4086
4247,4110
4247,4114
4339,4275
4339,4305
4305,4247
4305,4275
4499,4408
4408,4247
4408,4271
4408,4275
4499,4436
4499,4438
4438,4408
4438,4436
4661,4569
4569,4408
4569,4432
4569,4436
4661,4597
4661,4627
4627,4569
4627,4597
4821,4730
4730,4569
4730,4593
4730,4597
4821,4758
4821,4760
4760,4730
4760,4758
4983,4891
4891,4730
4891,4754
4891,4758
4983,4919
4983,4949
4949,4891
4949,4919
5143,5052
5052,4891
5052,4915
5052,4919
5143,5080
5143,5082
