root_idx,cut_idx,l1_idx,l2_idx,l3_idx,l4_idx,l5_idx,vol_cut,cut_height,canon_tt_0,cannon_tt_1
128,1,0,64,-1,-1,-1,1,1,2004318071,286331153
129,2,0,64,-1,-1,-1,1,1,2004318071,286331153
130,3,0,64,-1,-1,-1,3,2,1717986918,1717986918
130,4,128,129,-1,-1,-1,1,1,2004318071,286331153
130,5,0,64,128,-1,-1,2,2,522133279,117901063
130,6,0,64,129,-1,-1,2,2,522133279,117901063
131,7,1,65,-1,-1,-1,1,1,2004318071,286331153
132,8,1,65,-1,-1,-1,1,1,2004318071,286331153
133,9,1,65,-1,-1,-1,3,2,1717986918,1717986918
133,10,131,132,-1,-1,-1,1,1,2004318071,286331153
133,11,1,65,131,-1,-1,2,2,522133279,117901063
133,12,1,65,132,-1,-1,2,2,522133279,117901063
134,13,128,133,-1,-1,-1,1,2,2004318071,286331153
134,14,128,131,132,-1,-1,2,2,2139062143,16843009
134,15,1,65,128,-1,-1,4,3,1869573999,101058054
134,16,0,64,133,-1,-1,2,3,2139062143,16843009
134,17,1,65,128,132,-1,3,3,536813567,458759
134,18,1,65,128,131,-1,3,3,536813567,458759
134,19,0,64,131,132,-1,3,3,2147450879,65537
134,20,0,1,64,65,-1,5,3,2145353695,17039620
134,21,0,1,64,65,132,4,3,1602224127,261
134,22,0,1,64,65,131,4,3,1602224127,261
135,23,128,133,-1,-1,-1,1,2,2004318071,286331153
135,24,128,131,132,-1,-1,2,2,1465341783,353703189
135,25,1,65,128,-1,-1,4,3,1869573999,101058054
135,26,0,64,133,-1,-1,2,3,522133279,117901063
135,27,1,65,128,132,-1,3,3,259985279,17760527
135,28,1,65,128,131,-1,3,3,259985279,17760527
135,29,0,64,131,132,-1,3,3,287248671,125241207
135,30,0,1,64,65,-1,5,3,936196045,323752780
135,31,0,1,64,65,132,4,3,84228095,1269599
135,32,0,1,64,65,131,4,3,84228095,1269599
136,33,128,133,-1,-1,-1,3,3,1717986918,1717986918
136,34,134,135,-1,-1,-1,1,1,2004318071,286331153
136,35,0,64,133,-1,-1,4,4,505290270,505290270
136,36,1,65,128,-1,-1,6,4,1768515945,1768515945
136,37,128,131,132,-1,-1,4,3,1448498774,1448498774
136,38,128,133,134,-1,-1,2,3,522133279,117901063
136,39,128,133,135,-1,-1,2,3,522133279,117901063
136,40,0,1,64,65,-1,7,4,919156425,919156425
136,41,0,64,131,132,-1,5,4,518921966,287183134
136,42,1,65,128,131,-1,7,4,112592566,385226486
136,43,1,65,128,132,-1,7,4,112592566,385226486
136,44,0,64,133,134,-1,3,4,134154239,2031647
136,45,0,64,128,133,-1,4,4,252776209,259460983
136,46,0,64,133,135,-1,3,4,33489407,8323199
136,47,1,65,128,134,-1,5,4,117376767,7274607
136,48,1,65,128,133,-1,6,4,116786934,116786934
136,49,1,65,128,135,-1,5,4,117376767,7274607
136,50,128,131,132,134,-1,3,3,369038847,5701719
136,51,128,131,132,133,-1,4,3,27984299,364844479
136,52,128,131,132,135,-1,3,3,33489407,8323199
136,53,0,1,64,65,131,8,4,323785708,325891052
136,54,0,1,64,65,132,8,4,323785708,325891052
136,55,0,1,64,65,134,6,4,323813375,14285
136,56,0,1,64,65,133,7,4,17103870,17103870
136,57,0,1,64,65,128,7,4,17091895,323805055
136,58,0,1,64,65,135,6,4,17104895,32735
136,59,0,64,131,132,134,4,4,125304831,4383
136,60,0,64,131,132,133,5,4,126703,17952767
136,61,0,64,128,131,132,5,4,252645137,252645239
136,62,0,64,131,132,135,4,4,131071,32767
136,63,1,65,128,131,134,4,4,17825791,3967
136,64,1,65,128,131,133,5,4,520439,17822207
136,65,1,65,128,131,135,4,4,524287,8191
136,66,1,65,128,132,134,4,4,17825791,3967
136,67,1,65,128,132,133,5,4,520439,17822207
136,68,1,65,128,132,135,4,4,524287,8191
136,69,1,65,128,131,132,7,4,116848374,101058294
137,70,131,134,-1,-1,-1,1,3,2004318071,286331153
137,71,1,65,128,-1,-1,5,4,387389207,387389207
137,72,128,131,132,-1,-1,3,3,926365495,320017171
137,73,128,131,133,-1,-1,2,3,926365495,320017171
137,74,1,65,134,-1,-1,2,4,522133279,117901063
137,75,0,1,64,65,-1,6,4,20382007,327095167
137,76,0,64,131,132,-1,4,4,253693727,118425359
137,77,1,65,128,132,-1,4,4,287248671,125241207
137,78,0,64,131,133,-1,3,4,253693727,118425359
137,79,1,65,128,131,-1,5,4,117376767,7274607
137,80,1,65,128,133,-1,3,4,287248671,125241207
137,81,0,1,64,65,132,5,4,3343671,325006335
137,82,0,1,64,65,131,6,4,17104895,32735
137,83,0,1,64,65,133,4,4,3343671,325006335
137,84,1,65,128,131,132,4,4,286331167,125269879
138,85,2,66,-1,-1,-1,1,1,2004318071,286331153
139,86,2,66,-1,-1,-1,1,1,2004318071,286331153
140,87,2,66,-1,-1,-1,3,2,1717986918,1717986918
140,88,138,139,-1,-1,-1,1,1,2004318071,286331153
140,89,2,66,138,-1,-1,2,2,522133279,117901063
140,90,2,66,139,-1,-1,2,2,522133279,117901063
141,91,137,140,-1,-1,-1,1,3,2004318071,286331153
141,92,137,138,139,-1,-1,2,4,2139062143,16843009
141,93,131,134,140,-1,-1,2,4,522133279,117901063
141,94,2,66,137,-1,-1,4,5,1869573999,101058054
141,95,1,65,134,140,-1,3,5,134154239,2031647
141,96,128,131,133,140,-1,3,4,335483903,3604535
141,97,2,66,137,139,-1,3,5,536813567,458759
141,98,128,131,132,140,-1,4,4,335483903,3604535
141,99,2,66,137,138,-1,3,5,536813567,458759
141,100,1,65,128,140,-1,6,5,402593791,1507351
141,101,131,134,138,139,-1,3,4,536813567,458759
141,102,2,66,131,134,-1,5,5,1718576751,107349606
141,103,1,65,128,133,140,4,5,125304831,4383
141,104,1,65,128,131,140,6,5,7340031,1791
141,105,0,64,131,133,140,4,5,118489087,3871
141,106,1,65,128,132,140,5,5,125304831,4383
141,107,0,64,131,132,140,5,5,118489087,3871
141,108,0,1,64,65,140,7,5,327155711,311
141,109,1,65,134,138,139,4,5,134217727,31
141,110,1,2,65,66,134,6,5,869040095,17052620
141,111,128,131,133,138,139,4,4,335544319,55
141,112,2,66,128,131,133,6,5,1718576895,6686310
141,113,2,66,131,134,139,4,5,287309823,1911
141,114,128,131,132,138,139,5,4,335544319,55
141,115,2,66,128,131,132,7,5,1718576895,6686310
141,116,2,66,131,134,138,4,5,287309823,1911
141,117,1,2,65,66,128,9,5,936214495,17044300
141,118,1,65,128,138,139,7,5,402653183,23
142,119,137,140,-1,-1,-1,1,3,2004318071,286331153
142,120,137,138,139,-1,-1,2,4,1465341783,353703189
142,121,131,134,140,-1,-1,2,4,2139062143,16843009
142,122,2,66,137,-1,-1,4,5,1869573999,101058054
142,123,1,65,134,140,-1,3,5,536813567,458759
142,124,128,131,133,140,-1,3,4,939472895,1245203
142,125,2,66,137,139,-1,3,5,259985279,17760527
142,126,128,131,132,140,-1,4,4,939472895,1245203
142,127,2,66,137,138,-1,3,5,259985279,17760527
142,128,1,65,128,140,-1,6,5,402593791,1507351
142,129,131,134,138,139,-1,3,4,2004842367,17891601
142,130,2,66,131,134,-1,5,5,1879011327,393222
142,131,1,65,128,133,140,4,5,287309823,1911
142,132,1,65,128,131,140,6,5,117440511,111
142,133,0,64,131,133,140,4,5,253755391,1807
142,134,1,65,128,132,140,5,5,287309823,1911
142,135,0,64,131,132,140,5,5,253755391,1807
142,136,0,1,64,65,140,7,5,20447231,4991
142,137,1,65,134,138,139,4,5,522133503,460551
142,138,1,2,65,66,134,6,5,936247295,4940
142,139,128,131,133,138,139,4,4,926365695,1250067
142,140,2,66,128,131,133,6,5,1728016383,393318
142,141,2,66,131,134,139,4,5,268402687,65551
142,142,128,131,132,138,139,5,4,926365695,1250067
142,143,2,66,128,131,132,7,5,1728016383,393318
142,144,2,66,131,134,138,4,5,268402687,65551
142,145,1,2,65,66,128,9,5,936214495,17044300
142,146,1,65,128,138,139,7,5,387389439,1513239
143,147,137,140,-1,-1,-1,3,4,1717986918,1717986918
143,148,141,142,-1,-1,-1,1,1,2004318071,286331153
143,149,2,66,137,-1,-1,6,6,1768515945,1768515945
143,150,131,134,140,-1,-1,4,5,505290270,505290270
143,151,137,138,139,-1,-1,4,5,1448498774,1448498774
