root_idx,cut_idx,l1_idx,l2_idx,l3_idx,l4_idx,l5_idx,vol_cut,cut_height,canon_tt_0,cannon_tt_1
60,1,9,10,-1,-1,-1,1,1,2004318071,286331153
61,2,9,10,-1,-1,-1,1,1,2004318071,286331153
62,3,9,10,-1,-1,-1,3,2,1717986918,1717986918
62,4,60,61,-1,-1,-1,1,1,2004318071,286331153
62,5,9,10,60,-1,-1,2,2,522133279,117901063
62,6,9,10,61,-1,-1,2,2,522133279,117901063
63,7,11,60,-1,-1,-1,1,2,2004318071,286331153
63,8,9,10,11,-1,-1,2,2,522133279,117901063
64,9,11,60,-1,-1,-1,1,2,2004318071,286331153
64,10,9,10,11,-1,-1,2,2,2139062143,16843009
65,11,11,60,-1,-1,-1,3,3,1717986918,1717986918
65,12,63,64,-1,-1,-1,1,1,2004318071,286331153
65,13,9,10,11,-1,-1,4,3,505290270,505290270
65,14,11,60,63,-1,-1,2,3,522133279,117901063
65,15,11,60,64,-1,-1,2,3,522133279,117901063
65,16,9,10,11,63,-1,3,3,33489407,8323199
65,17,9,10,11,60,-1,4,3,133629943,32571889
65,18,9,10,11,64,-1,3,3,134154239,2031647
66,19,12,63,-1,-1,-1,1,3,2004318071,286331153
66,20,11,12,60,-1,-1,2,3,926365495,320017171
66,21,9,10,11,12,-1,3,3,134154239,2031647
67,22,12,63,-1,-1,-1,1,3,2004318071,286331153
67,23,11,12,60,-1,-1,2,3,2139062143,16843009
67,24,9,10,11,12,-1,3,3,536813567,458759
68,25,12,63,-1,-1,-1,3,4,1717986918,1717986918
68,26,66,67,-1,-1,-1,1,1,2004318071,286331153
68,27,11,12,60,-1,-1,4,4,909522486,909522486
68,28,12,63,66,-1,-1,2,4,522133279,117901063
68,29,12,63,67,-1,-1,2,4,522133279,117901063
68,30,9,10,11,12,-1,5,4,133695480,133695480
68,31,11,12,60,66,-1,3,4,33489407,8323199
68,32,11,12,60,63,-1,4,4,333386719,30212557
68,33,11,12,60,67,-1,3,4,335483903,3604535
68,34,9,10,11,12,66,4,4,524287,8191
68,35,9,10,11,12,60,6,4,2093087,133171199
68,36,9,10,11,12,63,5,4,2096927,524039
68,37,9,10,11,12,67,4,4,2097151,2047
69,38,13,66,-1,-1,-1,1,4,2004318071,286331153
69,39,12,13,63,-1,-1,2,4,2139062143,16843009
69,40,11,12,13,60,-1,3,4,1065303935,16974083
69,41,9,10,11,12,13,4,4,134217727,31
70,42,13,66,-1,-1,-1,1,4,2004318071,286331153
70,43,12,13,63,-1,-1,2,4,926365495,320017171
70,44,11,12,13,60,-1,3,4,524230463,50791175
70,45,9,10,11,12,13,4,4,2097151,2047
71,46,13,66,-1,-1,-1,3,5,1717986918,1717986918
71,47,69,70,-1,-1,-1,1,1,2004318071,286331153
71,48,12,13,63,-1,-1,4,5,909522486,909522486
71,49,13,66,69,-1,-1,2,5,522133279,117901063
71,50,13,66,70,-1,-1,2,5,522133279,117901063
71,51,11,12,13,60,-1,5,5,507256380,507256380
71,52,12,13,63,69,-1,3,5,335483903,3604535
71,53,12,13,63,66,-1,4,5,30212557,333386719
71,54,12,13,63,70,-1,3,5,33489407,8323199
71,55,9,10,11,12,13,6,5,2097120,2097120
