node_idx,type,node_inv,num_fo,lvl,rev_lvl,c1_idx,c2_idx
0,0,0,4,0,54,-1,-1
1,0,0,2,0,54,-1,-1
2,0,0,2,0,54,-1,-1
3,0,0,2,0,54,-1,-1
4,0,0,2,0,54,-1,-1
5,0,0,2,0,54,-1,-1
6,0,0,2,0,54,-1,-1
7,0,0,2,0,54,-1,-1
8,0,0,2,0,54,-1,-1
9,0,0,4,0,54,-1,-1
10,0,0,2,0,54,-1,-1
11,0,0,2,0,54,-1,-1
12,0,0,2,0,54,-1,-1
13,0,0,2,0,54,-1,-1
14,0,0,2,0,54,-1,-1
15,0,0,3,0,54,-1,-1
16,0,0,2,0,54,-1,-1
17,0,0,2,0,54,-1,-1
18,0,0,2,0,54,-1,-1
19,0,0,2,0,54,-1,-1
20,0,0,3,0,54,-1,-1
21,0,0,2,0,54,-1,-1
22,0,0,2,0,54,-1,-1
23,0,0,2,0,54,-1,-1
24,0,0,3,0,54,-1,-1
25,0,0,3,0,54,-1,-1
26,0,0,2,0,54,-1,-1
27,0,0,2,0,54,-1,-1
28,0,0,3,0,54,-1,-1
29,0,0,3,0,54,-1,-1
30,0,0,3,0,54,-1,-1
31,0,0,2,0,54,-1,-1
32,0,0,2,0,54,-1,-1
33,0,0,2,0,54,-1,-1
34,0,0,2,0,54,-1,-1
35,0,0,2,0,54,-1,-1
36,0,0,2,0,54,-1,-1
37,0,0,2,0,54,-1,-1
38,0,0,2,0,54,-1,-1
39,0,0,4,0,54,-1,-1
40,0,0,2,0,54,-1,-1
41,0,0,2,0,54,-1,-1
42,0,0,2,0,54,-1,-1
43,0,0,2,0,54,-1,-1
44,0,0,2,0,54,-1,-1
45,0,0,3,0,54,-1,-1
46,0,0,2,0,54,-1,-1
47,0,0,2,0,54,-1,-1
48,0,0,2,0,54,-1,-1
49,0,0,2,0,54,-1,-1
50,0,0,3,0,54,-1,-1
51,0,0,2,0,54,-1,-1
52,0,0,2,0,54,-1,-1
53,0,0,2,0,54,-1,-1
54,0,0,3,0,54,-1,-1
55,0,0,3,0,54,-1,-1
56,0,0,2,0,54,-1,-1
57,0,0,2,0,54,-1,-1
58,0,0,3,0,54,-1,-1
59,0,0,2,0,54,-1,-1
60,1,1,3,1,53,9,10
61,1,0,1,1,53,9,10
62,1,0,2,2,52,60,61
63,1,0,3,2,52,11,60
64,1,1,1,2,52,11,60
65,1,0,2,3,51,63,64
66,1,1,3,3,51,12,63
67,1,0,1,3,51,12,63
68,1,0,2,4,50,66,67
69,1,1,3,4,50,13,66
