cut1_idx,cut2_idx
189744,188793
188793,179318
179318,5265
5265,558
558,174
174,118
174,126
174,146
558,232
558,243
558,521
521,325
521,335
521,350
521,485
485,429
485,433
485,451
485,455
5265,5257
5257,760
760,118
760,165
760,254
254,232
254,243
760,629
629,325
629,335
629,350
629,593
593,429
593,433
593,451
593,455
5257,868
868,727
727,118
727,126
727,146
727,254
868,835
835,325
835,335
835,350
835,593
5257,1015
1015,900
900,118
900,126
900,146
900,254
1015,982
982,325
982,335
982,350
982,593
5257,1215
1215,1106
1106,118
1106,126
1106,146
1106,254
1215,1182
1182,325
1182,335
1182,350
1182,1146
1146,429
1146,433
1146,451
1146,455
5257,5158
5158,1372
1372,1306
1306,118
1306,126
1306,146
1306,254
1372,1339
1339,325
1339,335
1339,350
1339,485
5158,1431
1431,521
1431,1404
1404,118
1404,126
1404,146
1404,254
5158,2481
2481,1533
1533,174
1533,232
1533,243
1533,1496
1496,325
1496,335
1496,350
1496,485
2481,2469
2469,1555
1555,521
1555,1106
2469,1581
1581,1182
1581,1306
2469,1689
1689,1306
1689,1656
1656,325
1656,335
1656,350
1656,1609
1609,429
1609,433
1609,462
2469,1715
1715,1404
1715,1656
2469,2347
2347,1793
1793,1741
1741,1182
1741,1404
1793,1767
1767,1404
1767,1496
2347,1918
1918,1827
1827,521
1827,727
1918,1892
1892,1404
1892,1859
1859,325
1859,335
1859,350
1859,1146
2347,2300
2300,2035
2035,1944
1944,521
1944,900
2035,2009
2009,727
2009,1976
1976,325
1976,335
1976,350
1976,1146
2300,2153
2153,2062
2062,1339
2062,1404
2153,2127
2127,1404
2127,2094
2094,325
2094,335
2094,350
2094,1609
2300,2247
2247,2199
2199,174
2199,232
2199,243
2199,1656
2247,2221
2221,521
2221,1306
5158,3559
3559,2503
2503,727
2503,1859
3559,2529
2529,1106
2529,2094
3559,2559
2559,174
2559,232
2559,243
2559,2094
3559,3023
3023,2581
2581,900
2581,1182
3023,2695
2695,900
2695,2662
2662,325
2662,335
2662,350
2662,593
3023,2754
2754,2094
2754,2727
2727,118
2727,126
2727,146
2727,254
3023,2780
2780,629
2780,1306
3023,2911
2911,2806
2806,1306
2806,1859
2911,2838
2838,118
2838,165
2838,254
2838,982
2911,2864
2864,118
2864,165
2864,254
2864,629
3559,3481
3481,3150
3150,3059
3059,629
3059,1106
3150,3124
3124,1404
3124,3091
3091,325
3091,335
3091,350
3091,1609
3481,3467
3467,3174
3174,727
3174,2094
3467,3200
3200,982
3200,1106
3467,3226
3226,1106
3226,1339
3467,3291
3291,1306
3291,3258
3258,325
3258,335
3258,350
3258,1146
3467,3356
3356,1404
3356,3323
3323,325
3323,335
3323,350
3323,1609
5158,5067
5067,3714
3714,3609
3609,900
3609,3576
3576,325
3576,335
3576,350
3576,485
3714,3635
3635,1106
3635,1496
3714,3661
3661,1404
3661,1976
5067,3739
3739,174
3739,232
3739,243
3739,1976
5067,4813
4813,900
4813,3323
4813,4802
4802,3787
3787,2662
3787,2727
4802,3813
3813,1306
3813,2662
4802,3843
3843,174
3843,232
3843,243
3843,982
4802,3865
3865,727
3865,1339
4802,4696
4696,3891
3891,1106
3891,1976
4696,3923
3923,118
3923,165
3923,254
3923,629
4696,4645
4645,3943
3943,1306
3943,3091
4645,3975
3975,118
3975,165
3975,254
3975,1496
4645,4001
4001,118
4001,165
4001,254
4001,1976
4645,4573
4573,4021
4021,1404
4021,3258
4573,4051
4051,174
4051,232
4051,243
4051,1182
4573,4310
4310,4073
4073,900
4073,1339
4310,4099
4099,1106
4099,1859
4310,4125
4125,521
4125,2727
4310,4151
4151,1306
4151,2094
4310,4177
4177,835
4177,1306
4573,4513
4513,4341
4341,900
4341,3091
4513,4371
4371,174
4371,232
4371,243
4371,521
4513,4469
4469,4421
4421,174
4421,232
4421,243
4421,3091
4469,4447
4447,174
4447,232
4447,243
4447,3576
5067,4908
4908,4856
4856,2727
4856,3258
4908,4882
4882,1106
4882,3323
5067,4987
4987,4941
4941,118
4941,165
4941,254
4941,835
4987,4965
4965,174
4965,232
4965,243
4965,3258
179318,176681
176681,169404
169404,156728
156728,151983
151983,137037
137037,111350
111350,5301
5301,5292
5301,5296
111350,111265
111265,101392
101392,5452
5452,5301
5452,5334
5334,5288
5334,5314
5334,5315
101392,5613
5613,5563
5563,5554
5563,5558
5613,5593
5593,5553
5593,5576
5593,5578
101392,5652
5652,5563
5652,5593
101392,101186
101186,88371
88371,8302
8302,1581
8302,3661
8302,6218
6218,5852
5852,174
5852,232
5852,243
5852,2094
6218,6210
6210,3200
6210,5874
5874,629
5874,900
6210,5900
5900,835
5900,900
6210,5926
5926,1182
5926,2727
6210,6110
6110,1689
6110,2884
2884,2838
2884,2864
6110,3739
6110,5958
5958,118
5958,165
5958,254
5958,3576
6110,6028
6028,760
6028,6008
6008,118
6008,165
6008,254
6008,1496
8302,6544
6544,3761
3761,900
3761,3323
6544,6241
6241,2727
6241,3323
6544,6293
6293,4001
6293,6267
6267,1106
6267,1656
6544,6345
6345,868
6345,6344
6344,118
6344,165
6344,254
6344,1609
6344,2619
2619,314
2619,320
2619,335
2619,350
6544,6437
6437,1431
6437,3635
6437,6379
6379,1306
6379,3576
8302,8213
8213,6584
6584,1215
6584,6562
6562,174
6562,232
6562,243
6562,2662
8213,6805
6805,6612
6612,174
6612,232
6612,243
6612,1976
6805,6783
6783,2559
6783,6763
6763,4882
6763,6634
6634,1656
6634,2727
6763,6660
6660,1404
6660,3576
6763,6692
6692,118
6692,165
6692,254
6692,1976
8213,7010
7010,2780
7010,3124
7010,6831
6831,727
6831,3258
7010,6857
6857,835
6857,1106
7010,6883
6883,835
6883,1404
8213,7071
7071,7023
7023,174
7023,232
7023,243
7023,629
7071,7051
7051,118
7051,165
7051,254
7051,3091
8213,8117
8117,4987
8117,7121
7121,2062
7121,7099
7099,174
7099,232
7099,243
7099,2662
8117,7197
7197,7145
7145,727
7145,3323
7197,7171
7171,1496
7171,2727
8117,8050
8050,2247
8050,4051
8050,7227
7227,118
7227,165
7227,254
7227,1339
8050,7976
7976,1555
7976,1944
7976,2754
7976,7906
7906,7361
7361,3226
7361,3865
7361,3891
7361,4125
7361,7251
7251,174
7251,232
7251,243
7251,835
7906,7653
7653,7372
7372,727
7372,2662
7653,7398
7398,727
7398,1656
7653,7424
7424,727
7424,3576
7653,7450
7450,727
7450,982
7653,7528
7528,7501
7501,118
7501,165
7501,254
7501,1609
7501,2619
7528,7502
7502,900
7502,1976
7906,7864
7864,7663
7663,174
7663,232
7663,243
7663,3323
7864,7711
7711,1372
7711,7689
7689,174
7689,232
7689,243
7689,1339
7864,7751
7751,2727
7751,3576
7864,7831
7831,558
7831,3843
88371,88184
88184,12400
12400,9698
9698,8314
8314,1306
8314,3323
9698,9670
9670,6379
9670,9662
9662,3356
9662,6660
9662,8605
8605,2529
8605,3661
8605,4177
8605,8340
8340,3226
8340,7227
8605,8495
8495,1793
8495,6293
8495,8387
8387,2754
8387,6883
8495,8413
8413,3635
8413,6634
9662,9338
9338,1431
9338,1581
9338,2806
9338,3813
9338,9225
9225,1892
9225,4021
9225,8880
8880,1215
8880,8623
8623,982
8623,1306
8880,8675
8675,1689
8675,4941
8675,6857
8880,8812
8812,1715
8812,3975
8812,5926
8812,8706
8706,982
8706,1404
9225,8924
8924,4882
8924,8904
8904,118
8904,165
8904,254
8904,2662
9225,9113
9113,3923
9113,8948
8948,1859
8948,2727
9113,9069
9069,1372
9069,2153
9069,3150
9069,3943
9069,4099
9662,9546
9546,9355
9355,521
9355,1306
9355,3258
9546,9532
9532,1555
9532,2780
9532,4125
9532,6241
9532,9387
9387,2864
9387,4151
12400,12310
12310,11932
11932,11182
11182,4051
11182,11154
11154,9734
9734,174
9734,232
9734,243
9734,1182
11154,11132
11132,7689
11132,11120
11120,5852
11120,10412
10412,760
10412,10404
10404,3787
10404,9762
9762,118
9762,165
9762,254
9762,2662
10404,10016
10016,1944
10016,9808
9808,3174
9808,9782
