cut1_idx,cut2_idx
189740,189102
189102,178943
178943,177742
177742,5874
5874,631
631,313
631,320
631,355
355,311
355,335
355,338
631,593
593,429
593,433
593,451
593,455
5874,898
898,1
898,102
898,165
898,266
177742,6837
6837,118
6837,165
6837,266
6837,3253
3253,325
3253,355
3253,1146
1146,429
1146,433
1146,451
1146,455
177742,7019
7019,631
7019,1458
1458,118
1458,165
1458,266
177742,10494
10494,118
10494,165
10494,266
10494,631
177742,177644
177644,1944
1944,523
523,313
523,320
523,355
523,485
485,429
485,433
485,451
485,455
1944,898
177644,4856
4856,2722
2722,118
2722,165
2722,266
4856,3253
177644,6634
6634,1650
1650,927
927,325
927,355
1650,1620
1620,429
1620,433
1620,451
1620,455
6634,2722
177644,9762
9762,118
9762,165
9762,266
9762,2664
2664,313
2664,320
2664,355
2664,593
177644,177543
177543,1689
1689,1301
1301,118
1301,165
1301,266
1689,1650
177543,26379
26379,4021
4021,1399
1399,118
1399,165
1399,266
4021,3253
26379,8706
8706,984
984,313
984,320
984,355
984,593
8706,1399
177543,96831
96831,2127
2127,1399
2127,2089
2089,325
2089,355
2089,1620
96831,4151
4151,1301
4151,2089
96831,7151
7151,118
7151,165
7151,266
7151,3318
3318,325
3318,355
3318,1620
96831,13071
13071,118
13071,165
13071,266
13071,1498
1498,313
1498,320
1498,355
1498,485
96831,31749
31749,1773
1773,118
1773,165
1773,266
1773,1498
31749,6863
6863,118
6863,165
6863,266
6863,830
830,325
830,355
830,593
177543,177147
177147,554
554,277
277,118
277,165
277,266
554,523
177147,1827
1827,523
1827,725
725,1
725,102
725,165
725,266
177147,7450
7450,725
7450,984
177147,177075
177075,1555
1555,523
1555,1101
1101,118
1101,165
1101,266
177075,2062
2062,1334
1334,325
1334,355
1334,485
2062,1399
177075,3059
3059,631
3059,1101
177075,6267
6267,1101
6267,1650
177075,176966
176966,1741
1741,1184
1184,313
1184,320
1184,355
1184,1146
1741,1399
176966,20666
20666,4099
4099,1101
4099,1854
1854,325
1854,355
1854,1146
20666,5926
5926,1184
5926,2722
176966,176925
176925,868
868,725
868,830
176925,2195
2195,1458
2195,1650
176925,5848
5848,1458
5848,2089
176925,11544
11544,725
11544,1498
176925,18895
18895,1458
18895,3253
177543,177441
177441,5900
5900,830
5900,898
177441,8950
8950,266
8950,1041
1041,118
1041,165
8950,1854
177441,20258
20258,4417
4417,1458
4417,3093
3093,313
3093,320
3093,355
3093,1620
20258,10702
10702,1458
10702,1854
20258,20208
20208,2509
2509,118
2509,165
2509,266
2509,1854
20208,4131
4131,118
4131,165
4131,266
4131,523
177441,177384
177384,3839
3839,984
3839,1458
177384,9736
9736,118
9736,165
9736,266
9736,1184
177384,10514
10514,1458
10514,3318
177384,13039
13039,277
13039,3571
3571,325
3571,355
3571,485
177384,177268
177268,11216
11216,898
11216,3253
177268,177242
177242,4882
4882,1101
4882,3318
177242,177224
177224,3891
3891,1101
3891,1971
1971,325
1971,355
1971,1146
177224,7807
7807,7665
7665,118
7665,165
7665,266
7665,3318
7807,7711
7711,1372
1372,1301
1372,1334
7711,7685
7685,277
7685,1334
7807,7757
7757,118
7757,165
7757,266
7757,3571
177224,11517
11517,3865
3865,725
3865,1334
11517,11491
11491,898
11491,1650
177224,32154
32154,3975
3975,118
3975,165
3975,266
3975,1498
32154,8320
8320,118
8320,165
8320,266
8320,3318
32154,10191
10191,1101
10191,3253
10191,3571
32154,20704
20704,631
20704,1101
20704,1184
20704,1301
32154,31730
31730,277
31730,984
31730,1184
31730,1458
178943,177908
177908,169322
169322,157779
157779,156872
156872,151781
151781,138754
138754,137784
137784,131854
131854,123837
123837,27342
123837,123705
123705,27342
123705,123675
123675,122725
122725,121334
121334,27172
121334,27342
121334,121283
121283,27172
121283,27342
122725,121514
121514,5304
121514,33319
121514,121463
121463,5304
121463,33319
123675,123380
123380,103560
103560,103387
103387,92124
92124,87149
87149,40314
40314,36772
36772,35700
35700,28708
28708,28206
28206,11989
28206,27819
27819,22351
22351,20187
20187,1555
20187,4131
20187,4417
20187,20113
20113,8706
20113,18874
18874,7095
7095,1458
7095,2664
18874,7685
18874,10494
18874,18812
18812,2509
18812,3943
3943,1301
3943,3093
18812,4021
18812,7450
18812,8904
8904,118
8904,165
8904,266
8904,2664
20113,19302
19302,1458
19302,3571
19302,19295
19295,554
19295,3609
3609,898
3609,3571
19295,5874
19295,11491
19295,19185
19185,1741
19185,10674
10674,2701
2701,118
2701,165
2701,266
2701,2664
10674,10632
10632,3200
3200,984
3200,1101
10632,3891
19185,18997
18997,1215
1215,1101
1215,1184
18997,2529
2529,1101
2529,2089
18997,3865
18997,18895
19185,19112
19112,523
19112,1458
19112,19103
19103,6883
6883,830
6883,1399
19103,7247
7247,277
7247,830
19103,11216
19103,11471
11471,118
11471,165
11471,266
11471,1184
19103,11544
20113,20042
20042,19704
19704,9736
19704,13013
13013,277
13013,1650
