node_idx,node_inv,num_fo,lvl,rev_lvl,c1_lvl,c1_fo,c1_inv,c2_lvl,c2_fo,c2_inv
0,0,7,0,225,0.0,0.0,0.0,0.0,0.0,0.0
1,0,4,0,225,0.0,0.0,0.0,0.0,0.0,0.0
2,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
3,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
4,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
5,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
6,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
7,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
8,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
9,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
10,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
11,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
12,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
13,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
14,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
15,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
16,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
17,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
18,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
19,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
20,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
21,0,3,0,225,0.0,0.0,0.0,0.0,0.0,0.0
22,0,27,0,225,0.0,0.0,0.0,0.0,0.0,0.0
23,0,2,0,225,0.0,0.0,0.0,0.0,0.0,0.0
24,0,1,1,224,0.0,3.0,0.0,0.0,27.0,0.0
25,1,1,1,224,0.0,4.0,0.0,0.0,3.0,0.0
26,1,2,2,223,0.0,7.0,0.0,1.0,1.0,1.0
27,1,2,3,222,0.0,3.0,0.0,2.0,2.0,1.0
28,1,2,4,221,0.0,3.0,0.0,3.0,2.0,1.0
29,1,2,5,220,0.0,3.0,0.0,4.0,2.0,1.0
30,1,2,6,219,0.0,3.0,0.0,5.0,2.0,1.0
31,1,2,7,218,0.0,3.0,0.0,6.0,2.0,1.0
32,1,2,8,217,0.0,3.0,0.0,7.0,2.0,1.0
33,1,2,9,216,0.0,3.0,0.0,8.0,2.0,1.0
34,1,2,10,215,0.0,3.0,0.0,9.0,2.0,1.0
35,1,2,11,214,0.0,3.0,0.0,10.0,2.0,1.0
36,1,2,12,213,0.0,3.0,0.0,11.0,2.0,1.0
37,1,2,13,212,0.0,3.0,0.0,12.0,2.0,1.0
38,1,3,14,211,0.0,3.0,0.0,13.0,2.0,1.0
39,1,2,15,210,0.0,3.0,0.0,14.0,3.0,1.0
40,1,2,16,209,0.0,3.0,0.0,15.0,2.0,1.0
41,1,2,17,208,0.0,3.0,0.0,16.0,2.0,1.0
42,1,2,18,207,0.0,3.0,0.0,17.0,2.0,1.0
43,1,2,19,206,0.0,3.0,0.0,18.0,2.0,1.0
44,1,3,20,205,0.0,3.0,0.0,19.0,2.0,1.0
45,1,2,21,204,0.0,3.0,0.0,20.0,3.0,1.0
46,0,1,21,204,0.0,3.0,0.0,20.0,3.0,1.0
47,0,1,22,203,21.0,2.0,1.0,21.0,1.0,0.0
48,0,1,23,202,0.0,27.0,0.0,22.0,1.0,0.0
49,1,4,24,201,1.0,1.0,0.0,23.0,1.0,0.0
50,0,1,1,224,0.0,3.0,0.0,0.0,27.0,0.0
51,0,1,20,205,0.0,3.0,0.0,19.0,2.0,1.0
52,0,1,21,204,20.0,3.0,1.0,20.0,1.0,0.0
53,0,1,22,203,0.0,27.0,0.0,21.0,1.0,0.0
54,1,4,23,202,1.0,1.0,0.0,22.0,1.0,0.0
55,1,2,25,200,24.0,4.0,1.0,23.0,4.0,1.0
56,0,1,1,224,0.0,3.0,0.0,0.0,27.0,0.0
57,0,3,16,209,0.0,27.0,0.0,15.0,2.0,1.0
58,0,1,15,210,0.0,3.0,0.0,14.0,3.0,1.0
59,0,1,17,208,16.0,3.0,0.0,15.0,1.0,0.0
60,1,8,18,207,1.0,1.0,0.0,17.0,1.0,0.0
61,1,16,26,199,25.0,2.0,1.0,18.0,8.0,1.0
62,0,3,19,206,0.0,27.0,0.0,18.0,2.0,1.0
63,0,1,20,205,0.0,3.0,0.0,19.0,3.0,0.0
64,0,1,20,205,0.0,3.0,0.0,19.0,3.0,0.0
65,1,4,21,204,20.0,1.0,0.0,20.0,1.0,0.0
66,0,1,1,224,0.0,3.0,0.0,0.0,27.0,0.0
67,0,1,18,207,0.0,3.0,0.0,17.0,2.0,1.0
68,0,1,20,205,19.0,3.0,0.0,18.0,1.0,0.0
69,1,4,21,204,1.0,1.0,0.0,20.0,1.0,0.0
70,0,4,22,203,21.0,4.0,1.0,21.0,4.0,1.0
71,0,2,17,208,0.0,27.0,0.0,16.0,2.0,1.0
72,0,1,18,207,0.0,3.0,0.0,17.0,2.0,0.0
73,0,1,18,207,0.0,3.0,0.0,17.0,2.0,0.0
74,1,4,19,206,18.0,1.0,0.0,18.0,1.0,0.0
75,0,1,17,208,0.0,3.0,0.0,16.0,3.0,0.0
76,0,1,17,208,0.0,3.0,0.0,16.0,3.0,0.0
77,1,4,18,207,17.0,1.0,0.0,17.0,1.0,0.0
78,0,4,20,205,19.0,4.0,1.0,18.0,4.0,1.0
79,0,8,23,202,22.0,4.0,0.0,20.0,4.0,0.0
80,0,9,27,198,26.0,16.0,1.0,23.0,8.0,0.0
81,1,4,20,205,19.0,4.0,1.0,18.0,4.0,1.0
82,0,8,23,202,22.0,4.0,0.0,20.0,4.0,1.0
83,0,2,25,200,24.0,4.0,1.0,23.0,4.0,1.0
84,0,16,26,199,18.0,8.0,1.0,25.0,2.0,0.0
85,0,9,27,198,23.0,8.0,0.0,26.0,16.0,0.0
86,0,4,22,203,21.0,4.0,1.0,21.0,4.0,1.0
87,0,8,23,202,20.0,4.0,1.0,22.0,4.0,0.0
88,0,9,27,198,26.0,16.0,0.0,23.0,8.0,0.0
89,0,16,26,199,18.0,8.0,1.0,25.0,2.0,0.0
90,0,4,22,203,21.0,4.0,1.0,21.0,4.0,1.0
91,0,8,23,202,20.0,4.0,1.0,22.0,4.0,0.0
92,0,9,27,198,26.0,16.0,0.0,23.0,8.0,0.0
93,0,2,25,200,24.0,4.0,1.0,23.0,4.0,1.0
94,0,16,26,199,18.0,8.0,1.0,25.0,2.0,0.0
95,0,4,20,205,19.0,4.0,1.0,18.0,4.0,1.0
96,0,8,23,202,22.0,4.0,0.0,20.0,4.0,0.0
97,0,10,27,198,26.0,16.0,0.0,23.0,8.0,0.0
98,0,2,25,200,24.0,4.0,1.0,23.0,4.0,1.0
99,0,16,26,199,18.0,8.0,1.0,25.0,2.0,0.0
100,0,8,23,202,20.0,4.0,0.0,22.0,4.0,0.0
101,0,8,27,198,26.0,16.0,0.0,23.0,8.0,0.0
102,0,16,26,199,18.0,8.0,1.0,25.0,2.0,0.0
103,0,10,27,198,23.0,8.0,0.0,26.0,16.0,0.0
104,0,16,26,199,25.0,2.0,1.0,18.0,8.0,1.0
105,0,8,23,202,20.0,4.0,0.0,22.0,4.0,0.0
106,0,6,27,198,26.0,16.0,0.0,23.0,8.0,0.0
107,0,10,27,198,23.0,8.0,0.0,26.0,16.0,0.0
108,0,9,27,198,23.0,8.0,0.0,26.0,16.0,0.0
109,0,4,20,205,19.0,4.0,1.0,18.0,4.0,1.0
110,0,8,23,202,22.0,4.0,0.0,20.0,4.0,0.0
111,0,8,27,198,26.0,16.0,0.0,23.0,8.0,0.0
112,0,6,27,198,26.0,16.0,0.0,23.0,8.0,0.0
113,0,7,27,198,23.0,8.0,0.0,26.0,16.0,0.0
