cut1_idx,cut2_idx
662761,1
662761,662397
662397,641138
641138,12
12,2
12,11
641138,641117
641117,356
356,1
356,44
44,27
44,43
356,113
356,196
356,289
641117,621932
621932,620394
620394,600115
600115,580168
580168,560530
560530,541054
541054,521909
521909,503103
503103,484620
484620,466460
466460,448647
448647,431149
431149,413998
413998,397170
397170,380665
380665,364507
364507,348672
348672,333160
333160,317987
317987,303145
303145,288634
288634,274454
274454,260613
260613,247087
247087,233900
233900,221052
221052,208527
208527,196324
196324,184448
184448,172994
172994,172977
172994,172981
172981,162292
172981,172804
172804,1
172804,172458
172458,171794
171794,12
171794,171462
171462,356
171462,171130
171130,1432
1432,1
1432,978
978,386
386,12
386,359
386,369
978,535
978,783
978,877
877,44
877,113
877,196
877,356
1432,1409
1409,386
1409,535
1409,783
1409,1344
1344,1084
1084,44
1084,113
1084,356
1344,1129
1129,1
1129,196
1344,1309
1309,1
1309,44
1309,113
1309,289
171130,170799
170799,2822
2822,1
2822,2435
2435,1694
1694,12
1694,1479
1479,356
1479,1453
1479,1462
1694,1660
2435,2040
2040,1660
2040,1719
1719,12
1719,356
1719,1464
1464,1453
1464,1462
2040,2018
2435,2407
2407,543
543,386
543,440
543,491
2407,783
2407,1008
1008,543
1008,783
2407,1432
2407,2237
2237,2165
2165,491
2165,1432
2165,2096
2096,386
2096,440
2237,2212
2212,491
2212,1432
2212,2096
2822,2804
2804,1694
2804,2040
2804,2237
2804,2774
2774,1
2774,1008
2774,2559
2559,543
2559,783
2559,1432
2774,2750
2750,999
999,1
999,543
999,783
999,877
2750,1008
2750,2703
2703,740
2703,764
764,41
764,356
764,750
2703,1150
1150,1084
1150,1129
2703,1309
170799,170468
170468,4450
4450,1
4450,4095
4095,3432
3432,12
3432,3104
3104,356
3104,2867
2867,1432
2867,2841
2867,2850
3104,3045
3045,2841
3045,2971
2971,999
2971,1008
2971,1150
2971,1309
2971,2850
3045,3022
3022,3005
3022,3010
3010,1461
3010,2459
2459,1
2459,2066
2066,1694
2066,1767
1767,12
1767,1479
1767,1510
1767,1515
1515,368
1515,1432
1767,1618
2066,2018
2459,2407
3010,2804
3432,3376
3376,3045
3376,3127
3127,356
3127,1432
3127,2852
2852,2841
2852,2850
3376,3354
4095,3706
3706,12
3706,3104
3706,3376
3706,3676
3676,1528
1528,1510
1528,1515
3676,2822
3676,3541
3541,1479
3541,1528
3541,1618
3676,3619
3619,1479
3619,1618
3619,2822
4095,4080
4080,2066
4080,2237
4080,2502
2502,1694
2502,2040
2502,2237
4080,2822
4080,3940
3940,3819
3819,1694
3819,1767
3819,2018
3819,2822
3940,3914
3914,2018
3914,2822
3914,3837
3837,1694
3837,1767
4450,4432
4432,3432
4432,3706
4432,3940
4432,4401
4401,4259
4259,1
4259,2237
4259,2502
4259,4178
4178,2066
4178,2822
4401,4382
4382,2459
4382,2502
4382,4340
4340,2165
4340,2212
4340,2610
2610,1
2610,1008
2610,2559
4340,2750
170468,170137
170137,6367
6367,1
6367,6022
6022,5350
5350,12
5350,5046
5046,356
5046,4721
4721,1432
4721,4493
4493,2822
4493,4481
4721,4662
4662,4598
4662,4623
4662,4629
5046,4989
4989,4662
4989,4743
4743,1432
4743,2822
4743,4481
4989,4959
5350,5295
5295,356
5295,4721
5295,4989
5295,5210
5210,3022
5210,4450
5210,5098
5098,2867
5098,2980
5098,3022
5210,5151
5151,2841
5151,2867
5151,2971
5151,4450
6022,5646
5646,12
5646,5046
5646,5295
5646,5557
5557,3354
5557,5437
5437,3104
5437,3171
3171,356
3171,2867
3171,2980
3171,3005
3171,3010
5437,3354
5437,4450
5557,5500
5500,3104
5500,3171
5500,4450
6022,5999
5999,4156
4156,3432
4156,3706
4156,3940
5999,4450
5999,5876
5876,4450
5876,5721
5721,3506
3506,12
3506,356
3506,3100
3100,1432
3100,2852
3100,2980
3100,3005
3100,3010
3506,3171
3506,3354
5721,5696
5696,3432
5696,3676
5876,5851
5851,3676
5851,4450
5851,5773
5773,3432
5773,3506
5999,5909
5909,3734
3734,12
3734,3401
3401,3104
3401,3376
3734,3506
3734,3676
5909,3940
6367,6349
6349,5350
6349,5646
6349,5876
6349,6318
6318,6170
6170,6133
6133,3734
6133,3940
6133,4450
6170,6158
6158,1
6158,3734
6158,3940
6318,6298
6298,4118
4118,1
4118,3734
4118,4080
6298,6293
6293,3819
6293,3914
6293,4156
6293,4259
6293,4382
170137,169806
169806,8629
8629,1
8629,8283
8283,7607
7607,12
7607,7267
7267,356
7267,6963
6963,1432
6963,6636
6636,2822
6636,6410
6410,4450
6410,6398
6636,6593
6963,6907
6907,6593
6907,6658
6658,2822
6658,4450
6658,6398
6907,6885
7267,7211
7211,1432
7211,6636
7211,6907
7211,7127
7127,4640
4640,4623
4640,4629
7127,6367
7127,7015
7015,4493
7015,4598
7015,4640
7127,7066
7066,4493
7066,4598
7066,6367
7607,7557
7557,356
7557,6963
7557,7211
7557,7471
7471,4959
7471,7348
7348,6044
6044,1
6044,6022
7348,6349
7348,7320
7320,4662
7320,4721
7320,4743
7320,4959
7471,7417
7417,4662
7417,4721
7417,4743
7417,6367
8283,7909
7909,12
7909,7267
7909,7557
7909,7853
7853,5210
7853,5268
5268,356
5268,4721
5268,4989
7853,6367
7853,7632
7632,5046
7632,5210
7853,7760
7760,5046
7760,5268
7760,6367
8283,8260
8260,6083
6083,5350
6083,5646
6083,5876
8260,6367
8260,8135
8135,8011
8011,6367
8011,7983
7983,5350
7983,5557
7983,5619
5619,12
5619,5046
5619,5295
8135,8116
8116,5350
8116,5557
8116,5619
8116,6367
8260,8172
8172,5350
8172,5646
8172,5876
8629,8611
8611,7607
8611,7909
8611,8135
8611,8580
8580,8431
8431,8394
8394,5666
5666,5350
5666,5646
8394,5876
8394,6367
8431,8419
8419,1
8419,5666
8419,5876
8580,8560
8560,6044
8560,8539
8539,6083
8539,6170
8539,8501
8501,3506
8501,4450
8501,5696
8501,5851
8501,6298
169806,169475
169475,11224
11224,1
11224,10878
10878,10214
10214,12
10214,9870
9870,356
9870,9530
9530,1432
9530,9227
9227,2822
9227,8900
8900,4450
8900,8672
8672,6367
8672,8660
8900,8857
9227,9171
9171,8857
9171,8922
8922,4450
8922,6367
8922,8660
9171,9149
9530,9475
9475,2822
9475,8900
9475,9171
9475,9380
9380,6555
6555,6538
6555,6542
6542,4477
6542,6367
9380,9309
9309,6538
9309,6542
9309,8629
9309,9249
9249,6410
9249,6513
9380,9330
9330,6410
9330,6513
9330,8629
9870,9819
9819,1432
9819,9227
9819,9475
9819,9742
9742,6885
9742,8629
9742,9583
9583,6593
9583,6636
9583,6658
9583,6885
9742,9680
9680,6593
9680,6636
9680,6658
9680,8629
10214,10164
10164,356
10164,9530
10164,9819
10164,10079
10079,7127
10079,9956
9956,6963
9956,7127
9956,7184
7184,1432
7184,6636
7184,6907
9956,8629
10079,10020
10020,6963
10020,7184
10020,8629
10878,10504
10504,12
10504,9870
10504,10164
10504,10415
10415,7471
10415,10297
10297,7267
10297,7471
10297,7531
7531,356
7531,6963
7531,7211
10297,8629
10415,10361
10361,7267
10361,7531
10361,8629
10878,10855
10855,8344
8344,7607
8344,7909
8344,8135
10855,8629
10855,10730
10730,10611
10611,7607
10611,7853
10611,7880
7880,12
7880,7267
7880,7557
10611,8629
10730,10711
10711,7607
10711,7853
10711,7880
10711,8629
10855,10765
10765,7927
7927,7607
7927,7909
10765,8135
11224,11206
11206,10214
11206,10504
11206,10730
11206,11175
11175,11026
11026,10989
10989,7927
10989,8135
10989,8629
11026,11013
11013,1
11013,10765
11175,11155
11155,8305
8305,1
8305,8283
11155,11133
11133,8344
11133,11115
11115,8011
11115,8116
11115,8431
11115,8560
169475,169144
169144,14162
14162,1
14162,13816
13816,13152
13152,12
13152,12820
12820,356
12820,12476
12476,1432
12476,12138
12138,2822
12138,11822
11822,4450
11822,11495
11495,6367
11495,11267
11267,8629
11267,11255
11495,11452
11822,11766
11766,11452
11766,11517
11517,6367
11517,8629
11517,11255
11766,11736
12138,12088
12088,4450
12088,11495
12088,11766
12088,12058
12058,8722
8722,8705
8722,8711
12058,11224
12058,11928
11928,8672
11928,8705
11928,8711
11928,8825
12058,12001
12001,8672
12001,8825
12001,11224
12476,12426
12426,2822
12426,11822
12426,12088
12426,12350
12350,9149
12350,11224
12350,12191
12191,8857
12191,8900
12191,8922
12191,9149
12350,12288
12288,8857
12288,8900
12288,8922
12288,11224
12820,12769
12769,1432
12769,12138
12769,12426
12769,12685
12685,9380
12685,12562
12562,9227
12562,9380
12562,9448
9448,2822
9448,8900
9448,9171
12562,11224
12685,12626
12626,9227
12626,9448
12626,11224
13152,13102
13102,356
13102,12476
13102,12769
13102,13026
13026,9742
13026,11224
13026,12867
12867,9530
12867,9742
12867,9793
9793,1432
9793,9227
9793,9475
13026,12964
12964,9530
12964,9793
12964,11224
13816,13442
13442,12
13442,12820
13442,13102
13442,13353
13353,10079
13353,13235
13235,9870
13235,10079
13235,10139
10139,356
10139,9530
10139,9819
13235,11224
13353,13299
13299,9870
13299,10139
13299,11224
13816,13793
13793,10939
10939,10214
10939,10504
10939,10730
13793,11224
13793,13668
13668,13547
13547,10214
13547,10415
13547,10475
10475,12
10475,9870
10475,10164
13547,11224
13668,13649
13649,10214
13649,10415
13649,10475
13649,11224
13793,13703
13703,10522
10522,10214
10522,10504
13703,10730
14162,14144
14144,13152
14144,13442
14144,13668
14144,14113
14113,13964
13964,13927
13927,10522
13927,10730
13927,11224
13964,13951
13951,1
13951,13703
14113,14093
14093,10900
10900,1
10900,10878
14093,14071
14071,10939
14071,14053
14053,10611
14053,10711
14053,11026
14053,11155
169144,168813
168813,17407
17407,1
17407,17061
17061,16397
16397,12
16397,16065
16065,356
