cut1_idx,cut2_idx
662745,662559
662559,1
662559,662090
662090,642236
642236,621924
621924,620402
620402,600123
600123,580168
580168,560538
560538,541054
541054,521917
521917,503095
503095,484620
484620,466460
466460,448647
448647,431149
431149,413998
413998,397162
397162,380673
380673,364499
364499,348672
348672,333160
333160,317995
317995,303145
303145,288642
288642,274454
274454,260613
260613,247087
247087,233908
233908,221044
221044,208527
208527,196332
196332,184448
184448,172994
172994,172977
172994,172981
172981,162292
172981,172809
172809,1
172809,172458
172458,171793
171793,12
12,2
12,11
171793,171764
171764,171460
171460,334
334,1
334,154
154,47
154,113
334,226
226,47
226,113
334,286
171460,171431
171431,171129
171129,1437
1437,1
1437,991
991,386
386,12
386,361
386,369
991,535
991,739
991,763
763,459
459,41
459,206
206,1
206,47
206,113
459,296
296,47
296,113
296,286
763,750
991,860
860,226
860,812
812,154
812,334
1437,1016
1016,386
1016,535
1016,739
1016,763
1437,1343
1343,1150
1150,1083
1083,47
1083,1035
1035,113
1035,334
1150,1130
1130,1
1130,47
1130,113
1343,1309
1309,1
1309,47
1309,113
1309,286
171129,171100
171100,170798
170798,2827
2827,1
2827,2435
2435,1693
1693,12
1693,1691
1691,334
1691,1465
1691,1511
1691,1515
1515,368
1515,1437
1691,1618
2435,2062
2062,12
2062,1477
1477,334
1477,1465
2062,1643
1643,1453
1643,1511
1643,1515
1643,1591
1591,206
1591,1565
1565,226
1565,1562
2062,1973
2062,1993
2435,2392
2392,2237
2237,2171
2171,491
2171,995
995,1
995,991
2171,1405
1405,1016
1405,1343
2171,2098
2098,361
2098,386
2098,416
416,11
416,410
410,2
410,369
2237,2212
2212,491
2212,1437
2212,2098
2392,2342
2342,1016
2342,2313
2313,542
542,386
542,535
2313,780
780,739
780,763
2313,995
2313,1343
2827,2502
2502,1693
2502,2062
2502,2237
2827,2771
2771,2608
2608,2558
2558,780
2558,2526
2526,542
2526,1437
2608,2594
2594,1
2594,1016
2771,2750
2750,995
2750,1016
2750,2703
2703,739
2703,763
2703,1150
2703,1309
170798,170769
170769,170467
170467,4455
4455,1
4455,4095
4095,3431
3431,12
3431,3402
3402,3102
3102,334
3102,3100
3100,1437
3100,2853
3100,2980
3100,3005
3100,3009
3009,1461
3009,2827
3402,3156
3156,334
3156,2865
2865,1437
2865,2853
3156,2980
3156,3022
3022,3005
3022,3009
3402,3346
4095,3706
3706,12
3706,3102
3706,3374
3374,3156
3374,3346
3706,3676
3676,1528
1528,1511
1528,1515
3676,2827
3676,3541
3541,1477
3541,1528
3541,1618
3676,3618
3618,2827
3618,3588
3588,1477
3588,1618
4095,4066
4066,3940
3940,3814
3814,2827
3814,3784
3784,1693
3784,1751
1751,12
1751,1477
1751,1528
1751,1618
3784,2007
2007,1973
2007,1993
3940,3919
3919,1693
3919,1751
3919,2007
3919,2827
4066,4033
4033,2502
4033,2827
4033,3976
3976,2065
2065,1693
2065,2062
3976,2237
4455,4156
4156,3431
4156,3706
4156,3940
4455,4401
4401,4259
4259,1
4259,2237
4259,2502
4259,4178
4178,2065
4178,2827
4401,4382
4382,2458
2458,1
2458,2435
4382,2502
4382,4340
4340,2171
4340,2212
4340,2608
4340,2750
170467,170438
170438,170136
170136,6372
6372,1
6372,6022
6022,5349
5349,12
5349,5319
5319,5044
5044,334
5044,5015
5015,4720
4720,1437
4720,4718
4718,2827
4718,4481
4718,4598
4718,4623
4718,4627
4627,2849
4627,4455
5015,4787
4787,1437
4787,4495
4495,2827
4495,4469
4495,4478
4787,4598
4787,4623
4787,4627
5015,4959
5319,5290
5290,5210
5210,3022
5210,4455
5210,5097
5097,3022
5097,5068
5068,2865
5068,2980
5210,5148
5148,4455
5148,5068
5290,5287
5287,334
5287,1437
5287,4718
5287,4787
5287,4959
6022,5646
5646,12
5646,5044
5646,5290
5646,5591
5591,3102
5591,3346
5591,4455
5591,5375
5375,3156
5375,3346
5591,5527
5527,3102
5527,3156
5527,4117
4117,1
4117,4095
5527,4156
5527,4401
6022,5993
5993,5874
5874,5750
5750,4455
5750,5722
5722,3431
5722,3489
3489,12
3489,3102
3489,3156
3489,3346
5722,3676
5874,5855
5855,3431
5855,3489
5855,3676
5855,4455
5993,5960
5960,4156
5960,4455
5960,5909
5909,3726
3726,3431
3726,3706
5909,3940
6372,6083
6083,5349
6083,5646
6083,5874
6372,6318
6318,6170
6170,6131
6131,3726
6131,6105
6105,3940
6105,4455
6170,6157
6157,1
6157,5909
6318,6298
6298,4117
6298,6276
6276,4156
6276,6257
6257,3814
6257,3919
6257,4259
6257,4382
170136,170107
170107,169805
169805,8634
8634,1
8634,8283
8283,7606
7606,12
7606,7577
7577,7265
7265,334
7265,7235
7235,6962
6962,1437
6962,6933
6933,6635
6635,2827
6635,6633
6633,4455
6633,6398
6633,6513
6633,6538
6633,6542
6542,4477
6542,6372
6933,6702
6702,2827
6702,6412
6412,4455
6412,6386
6412,6395
6702,6513
6702,6538
6702,6542
6933,6877
7235,7206
7206,7114
7114,7042
7042,6372
7042,7015
7015,4495
7015,4598
7015,4640
4640,4623
4640,4627
7114,7089
7089,4640
7089,6372
7089,6986
6986,2827
6986,4481
6986,4598
7206,7205
7205,1437
7205,2827
7205,6633
7205,6702
7205,6877
7577,7557
7557,334
7557,6962
7557,7206
7557,7505
7505,4720
7505,4959
7505,6372
7505,7289
7289,4787
7289,4959
7505,7413
7413,6372
7413,7369
7369,4720
7369,4787
8283,7909
7909,12
7909,7265
7909,7557
7909,7853
7853,5210
7853,5287
7853,6372
7853,7634
7634,334
7634,5015
7634,5210
7853,7759
7759,6372
7759,7714
7714,5044
7714,5287
8283,8254
8254,8135
8135,8011
8011,6372
8011,7983
7983,5349
7983,5591
7983,5617
5617,5290
5617,5592
5592,12
5592,5044
8135,8116
8116,5349
8116,5591
8116,5617
8116,6372
8254,8221
8221,6083
8221,6372
8221,8170
8170,5666
5666,5349
5666,5646
8170,5874
8634,8344
8344,7606
8344,7909
8344,8135
8634,8580
8580,8431
8431,8392
8392,5666
8392,8366
8366,5874
8366,6372
8431,8418
8418,1
8418,8170
8580,8560
8560,6044
6044,1
6044,6022
8560,8538
8538,6083
8538,8520
8520,5750
8520,5855
8520,6170
8520,6298
169805,169776
169776,169474
169474,11229
11229,1
11229,10878
10878,10213
10213,12
10213,10184
10184,9868
9868,334
9868,9839
9839,9529
9529,1437
9529,9499
9499,9226
9226,2827
9226,9197
9197,8899
8899,4455
8899,8897
8897,6372
8897,8660
8897,8705
8897,8709
8709,6394
8709,8634
8897,8825
9197,8951
8951,4455
8951,8674
8674,6372
8674,8647
8674,8657
8951,8732
8951,8825
9197,9141
9499,9470
9470,9378
9378,9306
9306,8634
9306,9279
9279,6412
9279,6513
9279,6555
6555,6538
6555,6542
9378,9353
9353,6555
9353,8634
9353,9250
9250,4455
9250,6398
9250,6513
9470,9469
9469,2827
9469,4455
9469,8897
9469,8951
9469,9141
9839,9819
9819,1437
9819,9226
9819,9470
9819,9734
9734,6877
9734,9609
9609,8634
9609,9580
9580,6635
9580,6702
9580,6877
9734,9676
9676,8634
9676,9632
9632,6635
9632,6702
10184,10164
10164,334
10164,9529
10164,9819
10164,10113
10113,7114
10113,7205
10113,8634
10113,9894
9894,1437
9894,6933
9894,7114
10113,10019
10019,8634
10019,9974
9974,6962
9974,7205
10878,10504
10504,12
10504,9868
10504,10164
10504,10423
10423,7505
10423,8634
10423,10264
10264,7265
10264,7505
10264,7529
7529,7206
7529,7506
7506,334
7506,6962
10423,10360
10360,8634
10360,10315
10315,7265
10315,7529
10878,10856
10856,8344
10856,10606
10606,8634
10606,10578
10578,7606
10578,7853
10578,7879
7879,7557
7879,7854
7854,12
7854,7265
10856,10707
10707,7853
10707,8634
10707,10629
10629,7606
10629,7879
10856,10790
10790,8634
10790,10767
10767,7606
10767,7909
10767,8135
11229,10939
10939,10213
10939,10504
10939,10730
10730,10606
10730,10707
11229,11176
11176,10987
10987,7927
7927,7606
7927,7909
10987,10961
10961,8135
10961,8634
11176,11014
11014,1
11014,7927
11014,8135
11176,11156
11156,8305
8305,1
8305,8283
11156,8344
11156,11115
11115,8011
11115,8116
11115,8431
11115,8560
169474,169445
169445,169143
169143,14167
14167,1
14167,13816
13816,13151
13151,12
13151,13122
13122,12818
12818,334
12818,12789
12789,12475
12475,1437
12475,12446
12446,12137
12137,2827
12137,12108
12108,11821
11821,4455
11821,11792
11792,11494
11494,6372
11494,11492
11492,8634
11492,11255
11492,11372
11492,11397
11492,11401
11401,8656
11401,11229
11792,11561
11561,6372
11561,11269
11269,8634
11269,11242
11269,11252
11561,11372
11561,11397
11561,11401
11792,11744
12108,12088
12088,4455
12088,11494
12088,11788
11788,6372
11788,11269
11788,11444
11444,11242
11444,11364
11364,8305
11364,8344
11364,8431
11364,8560
11364,11252
11444,11397
11444,11401
11788,11699
11788,11719
12088,12049
12049,11949
11949,11229
11949,11924
11924,8674
11924,8732
11924,8825
12049,12029
12029,8674
12029,8732
12029,8825
12029,11229
12446,12426
12426,2827
12426,11821
12426,12088
12426,12376
12376,8899
12376,9141
12376,11229
12376,12160
12160,8951
12160,9141
12376,12284
12284,11229
12284,12240
12240,8899
12240,8951
12789,12769
12769,1437
12769,12137
12769,12426
12769,12693
12693,9378
12693,11229
12693,12533
12533,9226
12533,9306
12533,9353
12533,9469
12693,12625
12625,11229
12625,12580
12580,9226
12580,9469
13122,13102
13102,334
13102,12475
13102,12769
13102,13051
13051,9529
13051,9734
13051,11229
13051,12844
12844,9470
12844,9734
12844,9769
9769,1437
9769,9226
13051,12963
12963,11229
12963,12918
12918,9529
12918,9791
9791,9470
9791,9769
13816,13442
13442,12
13442,12818
13442,13102
13442,13361
13361,10113
13361,11229
13361,13202
13202,9868
13202,10113
13202,10137
10137,9819
10137,10114
10114,334
10114,9529
13361,13298
13298,11229
13298,13253
13253,9868
13253,10137
13816,13794
13794,10939
13794,13544
13544,11229
13544,13516
13516,10213
13516,10423
13516,10474
10474,10164
10474,10449
10449,12
10449,9868
13794,13645
13645,10423
13645,11229
13645,13567
13567,10213
13567,10474
13794,13728
13728,11229
13728,13705
13705,10213
13705,10504
13705,10730
14167,13877
13877,13151
13877,13442
13877,13668
13668,13544
13668,13645
14167,14113
14113,13964
13964,13925
13925,10522
10522,10213
10522,10504
13925,13906
13906,10606
13906,10707
13906,10900
10900,1
10900,10878
13906,11200
11200,10939
11200,11176
13964,13952
13952,1
13952,10522
13952,10730
14113,14098
14098,10900
14098,10939
14098,11026
11026,10987
11026,11014
14098,14023
14023,10606
14023,10707
14023,11156
169143,169114
169114,168812
168812,17412
17412,1
17412,17061
17061,16396
16396,12
16396,16367
16367,16063
16063,334
16063,16034
16034,15732
15732,1437
15732,15703
15703,15401
15401,2827
15401,15372
15372,15062
15062,4455
15062,15032
15032,14759
14759,6372
14759,14730
14730,14432
14432,8634
14432,14430
14430,11229
14430,14193
14430,14310
14430,14335
14430,14339
14339,11251
14339,14167
14730,14499
14499,8634
14499,14207
14207,11229
14207,14181
14207,14190
14499,14310
14499,14335
14499,14339
14730,14682
15032,15003
15003,14924
14924,11414
11414,11397
11414,11401
14924,14167
14924,14819
14819,11269
14819,11372
14819,11397
14819,11401
14924,14869
14869,11269
14869,11372
14869,13838
13838,1
13838,13816
14869,14138
14138,13877
14138,14113
15003,15002
15002,6372
15002,8634
15002,14430
15002,14499
15002,14682
15372,15352
15352,4455
15352,14759
15352,15003
15352,15275
15275,11744
15275,14167
15275,15113
15113,11494
15113,11561
15113,11744
15275,15209
15209,14167
15209,15165
15165,11494
15165,11561
15703,15683
15683,2827
15683,15062
15683,15352
15683,15653
15653,12049
15653,14167
15653,15494
15494,11821
15494,11873
11873,4455
11873,11494
11873,11561
11873,11744
15494,12049
15653,15590
15590,14167
15590,15547
15547,11788
15547,11821
15547,11844
11844,4455
11844,11494
16034,16014
16014,1437
16014,15401
16014,15683
16014,15931
15931,12376
15931,15808
15808,14167
15808,15780
15780,12137
15780,12376
15780,12399
12399,12088
12399,12377
12377,2827
12377,11821
15931,15876
15876,14167
15876,15831
15831,12137
15831,12399
16367,16347
16347,334
16347,15732
16347,16014
16347,16271
16271,12693
16271,14167
16271,16112
16112,12475
16112,12693
16112,12742
12742,12426
12742,12720
12720,1437
12720,12137
16271,16208
16208,14167
16208,16163
16163,12475
16163,12742
17061,16687
16687,12
16687,16063
16687,16347
16687,16606
16606,13051
16606,14167
16606,16447
16447,12818
16447,13051
16447,13075
13075,12769
13075,13052
13052,334
13052,12475
16606,16543
16543,14167
16543,16498
16498,12818
16498,13075
17061,17039
17039,13877
17039,16789
16789,14167
16789,16761
16761,13151
16761,13361
16761,13412
13412,13102
13412,13387
13387,12
13387,12818
17039,16890
16890,13361
16890,14167
16890,16812
16812,13151
16812,13412
17039,16973
16973,14167
16973,16950
16950,13151
16950,13442
16950,13668
17412,17122
17122,16396
17122,16687
17122,16913
16913,16789
16913,16890
17412,17358
17358,17209
17209,17170
17170,13460
13460,13151
13460,13442
17170,17151
17151,13544
17151,13645
17151,13838
17151,14138
17209,17197
17197,1
17197,13460
17197,13668
17358,17343
17343,13838
17343,13877
17343,13964
17343,17268
17268,13544
17268,13645
17268,14098
168812,168783
168783,168481
168481,21000
21000,1
21000,20649
20649,19984
19984,12
19984,19955
19955,19651
19651,334
19651,19622
19622,19320
19320,1437
19320,19291
19291,18989
18989,2827
18989,18960
18960,18646
18646,4455
18646,18617
18617,18307
18307,6372
18307,18277
18277,18004
18004,8634
18004,17975
17975,17677
17677,11229
17677,17675
17675,14167
17675,17438
17675,17555
17675,17580
17675,17584
17584,14189
17584,17412
17975,17744
17744,11229
17744,17452
17452,14167
17452,17426
17452,17435
17744,17555
17744,17580
17744,17584
17975,17927
18277,18248
18248,18156
18156,18084
18084,17412
18084,18057
18057,14207
18057,14310
18057,14352
14352,14335
14352,14339
18156,18131
18131,14352
18131,17412
18131,18028
18028,11229
18028,14193
18028,14310
18248,18247
18247,8634
18247,11229
18247,17675
18247,17744
18247,17927
18617,18597
18597,6372
18597,18004
18597,18248
18597,18546
18546,14432
18546,14682
18546,17412
18546,18330
18330,14499
18330,14682
18546,18454
18454,17412
18454,18410
18410,14432
18410,14499
18960,18940
18940,4455
18940,18307
18940,18597
18940,18864
18864,14924
18864,17412
18864,18699
18699,14759
18699,14924
18699,15002
18864,18796
18796,17412
18796,18751
18751,14759
18751,15002
19291,19271
19271,2827
19271,18646
19271,18940
19271,19221
19221,15062
19221,15275
19221,17412
19221,19014
19014,15003
19014,15275
19014,15302
15302,4455
15302,14759
19221,19133
19133,17412
19133,19088
19088,15062
19088,15324
15324,15003
15324,15302
19622,19602
19602,1437
19602,18989
19602,19271
19602,19564
19564,15653
19564,19441
19441,17412
19441,19413
19413,15401
19413,15446
15446,15352
15446,15424
15424,2827
15424,15062
19413,15653
19564,19509
19509,17412
19509,19464
19464,15401
19464,15446
19955,19935
19935,334
19935,19320
19935,19602
19935,19884
19884,15732
19884,15931
19884,17412
19884,19677
19677,15683
19677,15931
19677,15965
15965,1437
15965,15401
19884,19796
19796,17412
19796,19751
19751,15732
19751,15987
15987,15683
15987,15965
20649,20275
20275,12
20275,19651
20275,19935
20275,20194
20194,16271
20194,17412
20194,20035
20035,16063
20035,16271
20035,16320
16320,16014
16320,16297
16297,334
16297,15732
20194,20131
20131,17412
20131,20086
20086,16063
20086,16320
20649,20627
20627,17122
20627,20377
20377,17412
20377,20349
20349,16396
20349,16606
20349,16657
16657,16347
16657,16632
16632,12
16632,16063
20627,20478
20478,16606
20478,17412
20478,20400
20400,16396
20400,16657
20627,20561
20561,17412
20561,20538
20538,16396
20538,16687
20538,16913
21000,20710
20710,19984
20710,20275
20710,20501
20501,20377
20501,20478
21000,20946
20946,20797
20797,20758
20758,16705
16705,16396
16705,16687
20758,20739
20739,16789
20739,16890
20739,17083
17083,1
17083,17061
20739,17383
17383,17122
17383,17358
20797,20785
20785,1
20785,16705
20785,16913
20946,20931
20931,17083
20931,17122
20931,17209
20931,20856
20856,16789
20856,16890
20856,17343
168481,168452
168452,168150
168150,24919
24919,1
24919,24568
24568,23903
23903,12
23903,23874
23874,23570
23570,334
23570,23541
23541,23239
23239,1437
23239,23210
23210,22908
22908,2827
22908,22879
22879,22577
22577,4455
22577,22548
22548,22234
22234,6372
22234,22205
22205,21895
21895,8634
21895,21865
21865,21592
21592,11229
21592,21563
21563,21265
21265,14167
21265,21263
21263,17412
21263,21026
21263,21143
21263,21168
21263,21172
21172,17434
21172,21000
21563,21332
21332,14167
21332,21040
21040,17412
21040,21014
21040,21023
21332,21143
21332,21168
21332,21172
21563,21515
21865,21836
21836,21744
21744,21672
21672,21000
21672,21645
21645,17452
21645,17555
21645,17597
17597,17580
17597,17584
21744,21719
21719,17597
21719,21000
21719,21616
21616,14167
21616,17438
21616,17555
21836,21835
21835,11229
21835,14167
21835,21263
21835,21332
21835,21515
22205,22185
22185,8634
22185,21592
22185,21836
22185,22108
22108,17927
22108,21000
22108,21945
21945,17677
21945,21918
21918,17744
21918,17927
22108,22042
22042,21000
22042,21998
21998,17677
21998,17744
22548,22528
22528,6372
22528,21895
22528,22185
22528,22478
22478,18156
22478,18247
22478,21000
22478,22259
22259,8634
22259,17975
22259,18156
22478,22384
22384,21000
22384,22339
22339,18004
22339,18247
22879,22859
22859,4455
22859,22234
22859,22528
22859,22776
22776,18546
22776,22653
22653,21000
22653,22625
22625,18307
22625,18546
22625,18569
18569,18248
18569,18547
18547,6372
18547,18004
22776,22721
22721,21000
22721,22676
22676,18307
22676,18569
23210,23190
23190,2827
23190,22577
23190,22859
23190,23115
23115,18864
23115,21000
23115,22956
22956,18646
22956,18864
22956,18913
18913,18597
18913,18891
18891,4455
18891,18307
23115,23052
23052,21000
23052,23007
23007,18646
23007,18913
23541,23521
23521,1437
23521,22908
23521,23190
23521,23438
23438,19221
23438,23315
23315,21000
23315,23287
23287,18989
23287,19221
23287,19244
19244,18940
19244,19222
19222,2827
19222,18646
23438,23383
23383,21000
23383,23338
23338,18989
23338,19244
23874,23854
23854,334
23854,23239
23854,23521
23854,23824
23824,19564
23824,21000
23824,23665
23665,19320
23665,19365
19365,19271
19365,19343
19343,1437
19343,18989
23665,19564
23824,23761
23761,21000
23761,23716
23716,19320
23716,19365
24568,24194
24194,12
24194,23570
24194,23854
24194,24113
24113,19884
24113,21000
24113,23954
23954,19651
23954,19884
23954,19908
19908,19602
19908,19885
19885,334
19885,19320
24113,24050
24050,21000
24050,24005
24005,19651
24005,19908
24568,24546
24546,20710
24546,24296
24296,21000
24296,24268
24268,19984
24268,20194
24268,20245
20245,19935
20245,20220
20220,12
20220,19651
24546,24397
24397,20194
24397,21000
24397,24319
24319,19984
24319,20245
24546,24480
24480,21000
24480,24457
24457,19984
24457,20275
24457,20501
24919,24629
24629,23903
24629,24194
24629,24420
24420,24296
24420,24397
24919,24865
24865,24716
24716,24677
24677,20293
20293,19984
20293,20275
24677,24658
24658,20377
24658,20478
24658,20671
20671,1
20671,20649
24658,20971
20971,20710
20971,20946
24716,24704
24704,1
24704,20293
24704,20501
24865,24850
24850,20671
24850,20710
24850,20797
24850,24775
24775,20377
24775,20478
24775,20931
168150,168121
168121,167819
167819,29169
29169,1
29169,28818
28818,28153
28153,12
28153,28124
28124,27820
27820,334
27820,27791
27791,27489
27489,1437
27489,27460
27460,27158
27158,2827
27158,27129
27129,26827
26827,4455
26827,26798
26798,26496
26496,6372
26496,26467
26467,26153
26153,8634
26153,26124
26124,25814
25814,11229
25814,25784
25784,25511
25511,14167
25511,25482
25482,25184
25184,17412
25184,25182
25182,21000
25182,24945
25182,25062
25182,25087
25182,25091
25091,21022
25091,24919
25482,25251
25251,17412
25251,24959
24959,21000
24959,24933
24959,24942
25251,25062
25251,25087
25251,25091
25482,25434
25784,25755
25755,25663
25663,25591
25591,24919
25591,25564
25564,21040
25564,21143
25564,21185
21185,21168
21185,21172
25663,25638
25638,21185
25638,24919
25638,25535
25535,17412
25535,21026
25535,21143
25755,25754
25754,14167
25754,17412
25754,25182
25754,25251
25754,25434
26124,26104
26104,11229
26104,25511
26104,25755
26104,26053
26053,21265
26053,21515
26053,24919
26053,25837
25837,21332
25837,21515
26053,25961
25961,24919
25961,25917
25917,21265
25917,21332
26467,26447
26447,8634
26447,25814
26447,26104
26447,26371
26371,21744
26371,24919
26371,26211
26211,21592
26211,21672
26211,21719
26211,21835
26371,26303
26303,24919
26303,26258
26258,21592
26258,21835
26798,26778
26778,6372
26778,26153
26778,26447
26778,26728
26728,21895
26728,22108
26728,24919
26728,26521
26521,21836
26521,22108
26521,22135
22135,8634
22135,21592
26728,26640
26640,24919
26640,26595
26595,21895
26595,22157
22157,21836
22157,22135
27129,27109
27109,4455
27109,26496
27109,26778
27109,27026
27026,22478
27026,26903
26903,24919
26903,26875
26875,22234
26875,22478
26875,22501
22501,22185
22501,22479
22479,6372
22479,21895
27026,26971
26971,24919
26971,26926
26926,22234
26926,22501
27460,27440
27440,2827
27440,26827
27440,27109
27440,27390
27390,22577
27390,22776
27390,24919
27390,27183
27183,22528
27183,22776
27183,22810
22810,4455
22810,22234
27390,27302
27302,24919
27302,27257
27257,22577
27257,22832
22832,22528
22832,22810
27791,27771
27771,1437
27771,27158
27771,27440
27771,27688
27688,23115
27688,27565
27565,24919
27565,27537
27537,22908
27537,23115
27537,23163
23163,22859
23163,23141
23141,2827
23141,22577
27688,27633
27633,24919
27633,27588
27588,22908
27588,23163
28124,28104
28104,334
28104,27489
28104,27771
28104,28053
28053,23239
28053,23438
28053,24919
28053,27846
27846,23190
27846,23438
27846,23472
23472,1437
23472,22908
28053,27965
27965,24919
27965,27920
27920,23239
27920,23494
23494,23190
23494,23472
28818,28444
28444,12
28444,27820
28444,28104
28444,28412
28412,23824
28412,24919
28412,28253
28253,23570
28253,23617
23617,23521
23617,23594
23594,334
23594,23239
28253,23824
28412,28349
28349,24919
28349,28304
28304,23570
28304,23617
28818,28796
28796,24629
28796,28546
28546,24919
28546,28518
28518,23903
28518,24113
28518,24164
24164,23854
24164,24139
24139,12
24139,23570
