cut1_idx,cut2_idx
14,7
14,11
206,1
206,4
206,47
47,32
47,34
206,143
143,1
143,4
143,40
143,46
461,376
376,31
376,300
376,306
376,331
331,31
331,300
331,306
461,403
1067,864
1067,967
967,31
967,300
967,306
967,331
967,403
1765,1625
1625,1195
1195,720
720,528
528,526
528,527
720,536
720,563
563,300
563,526
563,527
563,536
720,669
669,300
669,539
539,526
539,527
539,536
1195,783
1195,967
1625,1535
1535,588
588,300
588,536
588,539
1535,1383
1383,1260
1260,1250
1260,1254
1383,1296
1296,1289
1296,1295
1765,1713
1713,1491
1491,588
1491,1383
1713,1678
1678,1195
1678,1487
1487,300
1487,536
1487,539
1487,1319
1319,1260
1319,1296
1487,1380
1380,31
1380,532
1380,1250
1380,1254
1380,1295
2692,2482
2482,1996
1996,1860
1996,1894
1894,402
1894,532
1894,1861
1861,296
1861,1860
1894,1867
1996,1910
1910,402
1910,532
1910,1861
1910,1867
1996,1936
2482,2332
2332,2226
2226,1242
2226,1380
2226,2064
2064,1289
2064,2053
2226,2136
2136,31
2136,532
2136,2053
2136,2088
2136,2090
2332,2292
2292,1289
2292,2053
2292,2265
2265,1242
2265,1260
2265,1296
2265,2136
2482,2443
2443,1996
2443,2226
2443,2292
2692,2544
2544,1491
2544,1678
2692,2641
2641,2482
2641,2544
4189,3913
3913,2778
2778,1289
2778,2053
2778,2226
3913,3652
3652,3114
3114,1910
3114,2842
2842,2820
2842,2821
3652,3423
3423,3371
3371,2090
3371,3291
3371,3292
3371,3301
3423,3410
4189,4041
4041,2443
4041,4011
4011,2407
2407,1996
2407,2332
4011,2544
4189,4143
4143,2443
4143,3814
3814,1289
3814,2053
3814,2226
3814,3652
4143,3859
3859,2778
3859,3652
4143,4011
5732,5451
5451,5333
5333,4282
4282,2871
2871,1910
2871,2842
4282,3482
3482,3114
3482,3423
5333,4992
4992,4564
4564,3341
3341,3301
3341,3328
3328,2090
3328,3291
3328,3292
3328,3301
4564,4513
4513,4410
4410,296
4410,4378
4410,4399
4399,402
4399,1291
4399,1865
4399,4387
4513,4428
4428,296
4428,4378
4428,4399
4513,4459
4513,4489
4992,4624
4624,4
4624,3297
4624,3328
4624,4513
4992,4905
4905,4779
4779,2820
4779,2821
