cut1_idx,cut2_idx
190,5
5,1
5,4
190,56
190,75
75,5
75,56
466,369
369,31
369,308
308,300
308,301
308,302
369,347
347,31
347,308
466,404
466,408
1073,856
856,723
723,300
723,531
723,536
723,688
856,783
856,798
798,300
798,531
798,536
798,688
798,783
1073,938
938,31
938,308
938,404
1073,1018
1018,856
1018,938
1769,1492
1492,587
587,300
587,531
587,536
1492,1327
1327,1250
1327,1257
1327,1289
1327,1295
1492,1359
1359,1250
1359,1257
1359,1289
1359,1295
1769,1626
1626,1207
1207,723
1207,783
1207,798
1207,938
1626,1448
1448,587
1448,1327
1448,1359
1626,1492
1769,1678
1678,1207
1678,1448
2691,2478
2478,2408
2408,1996
1996,1860
1996,1889
1889,402
1889,532
1889,1870
1870,1864
1870,1869
1996,1910
1910,402
1910,532
1910,1864
1910,1869
1996,1936
2408,2226
2226,1241
2226,1359
2226,2078
2226,2126
2408,2296
2296,1241
2296,1359
2296,2078
2296,2126
2478,2443
2443,1996
2443,2226
2443,2296
2691,2547
2547,1207
2547,1448
2547,1492
2691,2597
2597,2408
2597,2443
2597,2547
4188,3919
3919,2776
2776,2061
2776,2226
3919,3658
3658,3123
3123,1910
3123,2843
2843,2828
2843,2834
2834,2820
2834,2821
3123,2934
2934,1910
2934,2828
2934,2834
3658,3441
3441,2090
3441,3296
3441,3303
3303,4
3303,3296
3303,3297
3441,3346
3346,4
3346,2090
3346,3296
3346,3297
3658,3568
3568,2934
3568,3022
3022,1910
3022,2828
3022,2834
3568,3441
3919,3859
3859,2776
3859,3658
4188,4044
4044,2408
4044,2443
4044,2547
4188,4081
4081,3919
4081,4044
5732,5454
5454,4285
4285,1910
4285,2843
4285,3482
3482,3123
3482,3441
5454,5226
5226,4564
4564,3346
4564,4513
4513,4410
4410,296
4410,4378
4410,4399
4399,402
4399,1291
4399,1865
4399,4387
4513,4428
4428,296
4428,4378
4428,4399
4513,4457
4513,4489
5226,4669
4669,3346
4669,4513
4669,4564
5226,4906
4906,4823
4823,4769
4769,2822
2822,2820
2822,2821
4769,4746
4769,4747
4747,2822
4747,4746
4823,4811
4906,4865
4865,4747
4865,4756
4756,2822
4756,4746
4865,4811
5226,5073
5073,3346
5073,4513
5073,4906
5454,5333
5333,4285
5333,4992
4992,4564
4992,4614
4614,3346
4614,4513
4992,4906
5333,5138
5138,3346
5138,4513
5138,4564
5138,4906
5732,5584
5584,3806
3806,2776
3806,3482
3806,3568
5584,3859
5584,4044
5732,5633
5633,5454
5633,5584
7389,7080
7080,5898
5898,3346
5898,4513
5898,4992
7080,6935
6935,6201
6201,6031
6201,6073
6073,5995
6073,5996
6073,6057
6057,4
6057,402
6057,5969
6057,5974
6057,6000
6201,6153
6153,2822
6153,4746
6153,4811
6935,6231
6231,6118
6231,6153
6935,6681
6681,4428
6681,6378
6378,4797
6378,6328
6378,6336
6681,6404
6404,4797
6404,6328
6404,6336
6681,6499
6499,4428
6499,6378
6499,6404
6935,6789
6789,6201
6789,6231
6789,6681
7389,7247
7247,5854
5854,5333
5854,5392
5392,4285
5392,4992
5392,5138
5854,5584
7247,7022
7022,5898
7022,6789
7022,6851
6851,6201
6851,6231
6851,6681
7247,7080
7389,7298
7298,5854
7298,7022
9879,9639
9639,7513
7513,6118
7513,6153
7513,6789
9639,9383
9383,9119
9119,8385
8385,7759
7759,6057
7759,7591
8385,8042
8042,6328
8042,7886
8042,7889
7889,402
7889,7876
7889,7886
8042,7964
7964,402
7964,6328
7964,7876
7964,7886
9119,9006
9006,8909
8909,8564
8564,4428
8564,4797
8564,6337
6337,6328
6337,6336
8909,8631
8909,8638
8909,8640
8640,532
8640,4387
8640,8631
8909,8681
8681,532
8681,4387
8681,8631
8681,8638
9006,8928
8928,8564
8928,8768
8768,8631
8768,8638
8768,8640
8768,8681
9383,9304
9304,8909
9304,9222
9222,8385
9222,8768
9222,8806
8806,8564
8806,8768
9639,9581
9581,7513
9581,9383
9879,9729
9729,5854
9729,7022
9729,7080
9879,9780
9780,9639
9780,9729
12082,10001
10001,9529
9529,7513
9529,9119
9529,9304
10001,9581
10001,9729
12082,11726
11726,10042
10042,8806
10042,9119
11726,11338
11338,10593
10593,10191
10191,7964
10191,8681
10191,10156
10156,7964
10156,8681
10593,10419
11338,11123
11123,10722
10722,6057
10722,7591
10722,7759
10722,8042
11123,11053
11053,10782
11053,10803
10803,1865
10803,10795
10803,10797
11053,10847
10847,10782
10847,10788
10847,10803
11053,10896
11338,11181
11181,10722
11181,11053
11726,11418
11418,10593
11418,11240
11240,11123
11240,11181
12082,11801
11801,10042
11801,11501
11501,11338
11501,11418
11801,11726
12082,11970
11970,10001
11970,10042
11970,11501
14145,13825
13825,12739
12739,12377
12377,10896
12377,12302
12377,12303
12303,10896
12303,12302
12739,12574
12574,12453
12574,12488
12488,12451
12488,12453
12488,12461
12461,4378
12461,5974
12461,12451
12574,12517
12517,4378
12517,5974
12517,12453
12517,12461
12739,12630
12630,12377
12630,12574
13825,13555
13555,13247
13247,12830
12830,10156
12830,10422
10422,10191
10422,10419
13247,13049
13049,10328
10328,4
10328,10256
10328,10265
10328,10267
10267,402
10267,10266
13049,12929
13049,12968
12968,10328
12968,12929
13247,13130
13130,12830
13130,13049
13555,13353
13353,10593
13353,11123
13353,11181
13555,13440
13440,11123
13440,11338
13440,13130
13440,13186
13186,12830
13186,13049
13825,13742
13742,12739
13742,13440
13742,13489
13489,13247
13489,13353
14145,13961
13961,10001
13961,11656
11656,10042
11656,11338
11656,11418
13961,11726
14145,14014
14014,13825
14014,13961
17055,16900
16900,14299
14299,13665
13665,12739
13665,13440
13665,13489
14299,13742
14299,13961
16900,16639
16639,14364
14364,13186
14364,13489
16639,16495
16495,16337
16337,14984
14984,12230
14984,14649
14649,12517
14649,14467
14467,12517
14467,14436
14467,14440
14649,14593
14593,14436
14593,14440
14593,14467
16337,15160
15160,10896
15160,12302
15160,12574
16337,15216
15216,14984
15216,15160
16337,16217
16217,16106
16106,15969
15969,15614
15969,15778
15778,12885
15778,15638
15778,15641
15641,532
15641,10266
15641,15638
15778,15707
15707,532
15707,10266
15707,12885
15707,15638
16106,16067
16067,10328
16067,12880
16067,12929
16217,16161
16161,15969
16161,16067
16495,16414
16414,15355
15355,14984
15355,15160
15355,15216
16414,16106
16414,16161
16900,16707
16707,14364
16707,16495
17055,17000
17000,14299
17000,16639
17000,16707
20235,17150
17150,14299
17150,14364
17150,16495
20235,19995
19995,17308
17308,14984
17308,15160
17308,15355
17308,16217
19995,19711
19711,18482
18482,18198
18198,17693
17693,17378
17693,17403
17693,17434
17434,17378
17434,17387
17434,17403
17693,17473
17473,17387
17473,17434
18198,17974
17974,17693
17974,17923
17923,17789
17923,17839
17923,17854
18198,18123
18123,17923
18123,17974
18482,18306
18306,14467
18306,14746
14746,12230
14746,14649
18482,18423
18423,18198
18423,18306
19711,19414
19414,19280
19280,15819
15819,15614
15819,15778
19280,16161
19280,19101
19101,18661
18661,15531
15531,402
15531,15478
15531,15511
15511,402
15511,15478
15511,15508
18661,15707
18661,18619
18619,15531
18619,15707
19101,18892
19101,19026
19026,18661
19026,18892
19414,19348
19348,15819
19348,16161
19348,19101
19711,19623
19623,18482
19623,19414
19995,19848
19848,17308
19848,19711
20235,20173
20173,17150
20173,19995
24047,23708
23708,20414
20414,19348
20414,20334
20334,18482
20334,19280
20334,19348
23708,23368
23368,21325
21325,21021
21021,20585
20585,17473
20585,18795
20585,20541
20541,17387
20541,17434
20541,18795
21021,20809
20809,10792
20809,20715
20809,20738
20738,20671
20738,20674
20674,4378
20674,20673
20738,20680
20809,20768
21021,20951
20951,20585
20951,20809
21325,21142
21142,17693
21142,17923
21142,18198
21142,18306
21325,21252
21252,21021
21252,21142
23368,22910
22910,21825
21825,21447
21447,18619
21447,18898
18898,15531
18898,15707
18898,18619
18898,18892
21825,21660
21825,21764
21764,21447
21764,21660
22910,22360
22360,17854
22360,22035
22035,21916
22035,21932
21932,21918
21932,21919
21932,21920
21920,21918
21920,21919
22035,22006
22360,22165
22165,17854
22165,22035
22910,22603
22603,21825
22603,22360
23368,23138
23138,21325
23138,22910
23708,23553
23553,20414
23553,23368
24047,23875
23875,17150
23875,19848
23875,19919
19919,17308
19919,19711
24047,23930
23930,23708
23930,23875
27941,27605
27605,24150
24150,21021
24150,21142
24150,23250
23250,21325
23250,22910
27605,27304
27304,25792
