cut1_idx,cut2_idx
532898,529855
529855,529404
529404,523893
523893,523812
523812,523652
523652,522920
522920,520673
520673,514735
514735,501334
501334,474055
474055,417663
417663,325257
325257,325136
325136,124866
124866,100905
100905,100780
100780,61487
61487,30234
30234,24405
24405,24281
24281,14197
14197,6437
6437,5290
5290,2554
2554,850
850,425
425,49
49,21
49,45
425,181
181,130
181,158
425,227
227,21
227,45
227,181
425,301
301,21
301,45
301,49
850,574
574,130
574,158
574,482
482,130
482,158
850,773
773,21
773,45
773,130
773,158
773,301
2554,2524
2524,2315
2315,946
946,21
946,45
946,130
946,158
2315,1596
1596,1166
1166,1113
1113,1078
1113,1102
1166,1139
1139,1078
1139,1102
1596,1308
1308,1257
1308,1297
1596,1509
1509,1113
1509,1139
1509,1308
2315,1672
1672,1078
1672,1102
1672,1308
2315,1977
1977,574
1977,1896
1896,1257
1896,1297
1896,1804
1804,1257
1804,1297
2315,2138
2138,1355
1355,1166
1355,1257
1355,1297
2138,1396
1396,1078
1396,1102
2138,1896
2524,2503
2503,574
2503,946
2503,1422
1422,1355
1422,1396
2503,1596
2503,1896
5290,2703
2703,850
2703,2659
2659,1596
2659,2094
2094,946
2094,1672
2094,1977
2659,2138
2659,2613
2613,1596
2613,2094
2613,2138
5290,5192
5192,2984
2984,2748
2748,1422
2748,1596
2748,1896
2984,2829
2829,574
2829,946
5192,5123
5123,3969
3969,3237
3237,3092
3237,3138
3969,3850
3850,3092
3850,3138
3850,3329
3850,3347
5123,4964
4964,4236
4236,4087
4236,4133
4236,4144
4144,4087
4144,4133
4964,4832
4832,4324
4832,4342
4832,4468
4468,4087
4468,4133
5123,5047
5047,3969
5047,4964
6437,5367
5367,5192
5367,5320
5320,2554
5320,2703
6437,6389
6389,6052
6052,5538
5538,4236
5538,4582
4582,4512
4512,4406
4406,4353
4353,4324
4353,4342
4406,4379
4379,4324
4379,4342
4512,4468
4582,4556
4556,4324
4556,4342
5538,4756
4756,4406
4756,4468
4756,4669
4669,4353
4669,4379
4669,4468
6052,5996
5996,5737
5737,3850
5737,4832
5737,5620
5620,3237
5620,4236
5996,5846
5846,3761
3761,3411
3411,3358
3358,3329
3358,3347
3411,3384
3384,3329
3384,3347
3761,3473
3473,3092
3473,3138
3761,3674
3674,3358
3674,3384
3674,3473
5846,5778
5778,3237
5778,3587
3587,3517
3517,3411
3517,3473
3587,3561
3561,3329
3561,3347
5996,5930
5930,5737
5930,5846
6389,6362
6362,5538
6362,6332
6332,6096
6096,3761
6096,5737
6096,5778
6332,6301
6301,4832
6301,5778
6301,6188
6188,3237
6188,3761
6188,3850
6188,4236
14197,6644
6644,6389
6644,6513
6513,850
6513,2524
6513,6473
6473,2703
6473,5192
6644,6544
6544,2554
6544,2703
6544,5192
14197,14139
14139,13176
13176,9140
9140,7581
7581,7156
7156,6780
6780,6752
6780,6776
7156,6912
6912,6849
6912,6901
7156,6958
6958,6752
6958,6776
6958,6912
7156,7032
7032,6752
7032,6776
7032,6780
7581,7305
7305,6849
7305,6901
7305,7213
7213,6849
7213,6901
7581,7470
7470,6752
7470,6776
7470,6912
7470,7032
9140,9085
9085,8828
8828,7305
8828,7664
7664,6752
7664,6776
7664,6912
8828,8403
8403,7809
8403,7833
8403,8039
8039,7988
8039,8028
