cut1_idx,cut2_idx
532895,529860
529860,529384
529384,523906
523906,523651
523651,523015
523015,520673
520673,514735
514735,501334
501334,474015
474015,417671
417671,325259
325259,124819
124819,100908
100908,61488
61488,30187
30187,24419
24419,14196
14196,6683
6683,5421
5421,2556
2556,850
850,407
407,181
181,118
181,158
407,264
264,49
49,14
49,38
264,75
75,14
75,38
264,118
264,158
407,298
298,49
298,75
850,574
574,118
574,158
574,482
482,118
482,158
850,726
726,14
726,38
726,181
2556,2288
2288,1593
1593,1516
1516,1113
1113,1078
1113,1102
1516,1139
1139,1078
1139,1102
1516,1245
1516,1285
1593,1550
1550,1113
1550,1139
1550,1308
1308,1245
1308,1285
2288,2097
2097,574
2097,946
946,14
946,38
946,118
946,158
2097,1672
1672,1078
1672,1102
1672,1308
2097,1896
1896,1245
1896,1285
1896,1804
1804,1245
1804,1285
2288,2135
2135,1423
1423,1078
1423,1102
1423,1308
2135,1896
2556,2503
2503,574
2503,946
2503,1423
2503,1593
2503,1896
5421,5206
5206,2913
2913,574
2913,946
2913,2746
2746,1672
2746,1896
5206,2950
2950,1672
2950,1896
2950,2829
2829,574
2829,946
5206,5047
5047,3969
3969,3242
3242,3080
3242,3138
3242,3193
3193,3080
3193,3138
3969,3850
3850,3080
3850,3138
3850,3329
3850,3347
5047,4964
4964,4236
4236,4087
4236,4133
4236,4144
4144,4087
4144,4133
4964,4845
4845,4087
4845,4133
4845,4324
4845,4342
5206,5083
5083,3969
5083,4964
5421,5251
5251,2704
2704,850
2704,2581
2581,2097
2581,2205
2205,1423
2205,1593
2205,1896
2704,2613
2613,1593
2613,2097
2613,2135
5251,5206
5421,5320
5320,2556
5320,2704
6683,6389
6389,6053
6053,5538
5538,4236
5538,4583
4583,4324
4583,4342
4583,4468
4468,4087
4468,4133
5538,4756
4756,4406
4406,4353
4353,4324
4353,4342
4406,4379
4379,4324
4379,4342
4756,4468
4756,4676
4676,4087
4676,4133
4676,4353
4676,4379
6053,5930
5930,5740
5740,3242
5740,3850
5740,4236
5740,4845
5930,5848
5848,3242
5848,3588
3588,3329
3588,3347
3588,3473
3473,3080
3473,3138
5848,3758
3758,3681
3681,3080
3681,3138
3681,3358
3358,3329
3358,3347
3681,3384
3384,3329
3384,3347
3758,3714
3714,3411
3411,3358
3411,3384
3714,3473
6053,5961
5961,5740
5961,5848
6389,6364
6364,5538
6364,6095
6095,5740
6095,5848
6364,6311
6311,3242
6311,3588
6311,3758
6311,4236
6311,4845
6683,6644
6644,6389
6644,6512
6512,2556
6512,2704
6512,5206
6644,6544
6544,2556
6544,2704
6544,5206
14196,14012
14012,13168
13168,9477
9477,9141
9141,7581
7581,7138
7138,6912
6912,6849
6912,6889
7138,6995
6995,6780
6780,6745
6780,6769
6995,6806
6806,6745
6806,6769
6995,6849
6995,6889
7138,7029
7029,6780
7029,6806
7581,7305
7305,6849
7305,6889
7305,7213
7213,6849
7213,6889
7581,7457
7457,6745
7457,6769
7457,6912
9141,9018
9018,8828
8828,7305
8828,7677
7677,6745
7677,6769
7677,6849
7677,6889
8828,8403
8403,7809
8403,7833
8403,8039
8039,7988
8039,8028
8828,8627
8627,7988
8627,8028
8627,8535
8535,7988
8535,8028
9018,8936
8936,8154
8154,7809
8154,7833
8154,8039
8936,8324
8324,8247
8247,7844
7844,7809
7844,7833
8247,7870
7870,7809
7870,7833
8247,7988
8247,8028
8324,8283
8283,7897
7897,7844
7897,7870
8283,7988
8283,8028
8936,8627
9141,9049
9049,8828
9049,8936
9477,9452
9452,7581
9452,9183
9183,8828
9183,8936
9452,9399
9399,7305
9399,7677
9399,8154
9399,8324
9399,8627
13168,12989
12989,12079
12079,10373
10373,9930
9930,9704
9704,9641
9704,9693
9930,9787
9787,9572
9572,9537
9572,9561
9787,9598
9598,9537
9598,9561
9787,9641
9787,9693
9930,9821
9821,9572
9821,9598
10373,10094
10094,10005
10005,9641
10005,9693
10094,10049
10049,9641
10049,9693
10373,10249
10249,9537
10249,9561
10249,9704
12079,11810
11810,11617
11617,10469
10469,9537
10469,9561
10469,9641
10469,9693
11617,11195
11195,10601
11195,10625
11195,10831
10831,10768
10831,10808
11617,11500
11500,10094
11500,11416
11416,11327
11327,10768
11327,10808
11416,11371
11371,10768
11371,10808
11810,11728
11728,10946
10946,10601
10946,10625
10946,10831
11728,11119
11119,10689
10689,10636
10636,10601
10636,10625
10689,10662
10662,10601
10662,10625
11119,10831
11119,11039
11039,10636
11039,10662
11039,10768
11039,10808
11728,11416
12079,12026
12026,10094
12026,10469
12026,10946
12026,11119
12026,11416
12989,12227
12227,10373
12227,12104
12104,11617
12104,11728
12227,12139
12139,10469
12139,11195
12139,11500
12139,11728
12989,12905
12905,12435
12435,12269
12269,11195
12269,11416
12435,12352
12352,10094
12352,10469
12905,12473
12473,11195
12473,11416
12473,12352
12905,12746
12746,12580
12580,8403
12580,8627
12746,12663
12663,7305
12663,7677
12905,12784
12784,8403
12784,8627
12784,12663
13168,13068
13068,12079
13068,12227
13068,12905
14012,13375
13375,9477
13375,13243
13243,12079
13243,12227
13243,12905
13375,13275
13275,12079
13275,12227
13275,12905
14012,13881
13881,13411
13411,12507
12507,12269
12507,12352
13411,12819
12819,12746
12819,12784
13881,13484
13484,12435
13484,12473
13484,12746
13484,12784
13881,13769
13769,2985
2985,2913
2985,2950
13769,5120
5120,5047
5120,5083
13769,13645
13645,2985
13645,5120
14196,14096
14096,13168
14096,13375
14096,13881
24419,24140
24140,14629
14629,13535
13535,12507
13535,12819
13535,13411
14629,13769
14629,14529
14529,13535
14529,13769
24140,23985
23985,19179
19179,16847
16847,16775
16775,15696
15696,14969
14969,14807
14969,14853
14969,14920
14920,14807
14920,14853
15696,15577
15577,14807
15577,14853
15577,15056
15577,15074
16775,15963
15963,15814
15963,15860
15963,15871
15871,15814
15871,15860
16775,16572
16572,15814
16572,15860
16572,16051
16572,16069
16847,16819
16819,14969
16819,15577
16819,15963
16819,16572
19179,18982
18982,18909
18909,17831
17831,17103
17103,16942
17103,16988
17103,17011
17011,16942
17011,16988
17831,17712
17712,16942
17712,16988
17712,17191
17712,17209
18909,18826
18826,18099
18099,17949
18099,17983
18099,18050
18050,17949
18050,17983
18826,18707
18707,17949
18707,17983
18707,18186
18707,18204
18982,18954
18954,17103
18954,17712
18954,18099
18954,18707
19179,19114
19114,16847
19114,18909
19114,18954
23985,23677
23677,23558
23558,21351
21351,21278
21278,20200
20200,19473
19473,19311
19473,19357
19473,19424
19424,19311
19424,19357
20200,20081
20081,19311
20081,19357
20081,19560
20081,19578
21278,21195
21195,20468
20468,20318
20468,20348
20348,20337
20348,20344
20468,20419
20419,20318
20419,20348
21195,21063
21063,20555
21063,20573
21063,20699
20699,20318
20699,20348
21351,21323
21323,19473
21323,20081
21323,20468
21323,21063
23558,23486
23486,23413
23413,22335
22335,21607
21607,21446
21607,21504
21607,21515
21515,21446
21515,21504
22335,22203
22203,21695
22203,21713
22203,21839
21839,21446
21839,21504
23413,23330
23330,22603
22603,22453
22603,22483
22483,22472
22483,22479
22603,22554
22554,22453
22554,22483
23330,23198
23198,22690
23198,22708
23198,22834
22834,22453
22834,22483
23486,23449
23449,22335
23449,23330
23677,23631
23631,21278
23631,21323
23631,23413
23631,23449
23985,23885
23885,19179
23885,23677
24419,24241
24241,14402
14402,6683
14402,14270
14270,13168
14270,13375
14270,13881
14402,14302
14302,13168
14302,13375
14302,13881
24241,24140
24419,24311
24311,14196
24311,14402
30187,29894
29894,27144
27144,26630
26630,25385
25385,25049
25049,24534
24534,18099
24534,18445
18445,18186
18445,18204
18445,18330
18330,17949
18330,17983
24534,18618
18618,18268
18268,18215
18215,18186
18215,18204
18268,18241
18241,18186
18241,18204
18618,18330
18618,18538
18538,17949
18538,17983
18538,18215
18538,18241
25049,24926
24926,24736
24736,17103
24736,17712
24736,18099
24736,18707
24926,24844
24844,17103
24844,17450
17450,17191
17450,17209
17450,17335
17335,16942
17335,16988
24844,17620
17620,17543
17543,16942
17543,16988
17543,17220
17220,17191
17220,17209
17543,17246
17246,17191
17246,17209
17620,17576
17576,17273
17273,17220
17273,17246
17576,17335
25049,24957
24957,24736
24957,24844
25385,25360
25360,24534
25360,25091
25091,24736
25091,24844
25360,25307
25307,17103
25307,17450
25307,17620
25307,18099
25307,18707
26630,26451
26451,26163
26163,25502
25502,15963
25502,16310
16310,16051
16310,16069
16310,16195
16195,15814
16195,15860
25502,16483
16483,16133
16133,16080
16080,16051
16080,16069
16133,16106
16106,16051
16106,16069
16483,16195
16483,16403
16403,15814
16403,15860
16403,16080
16403,16106
26163,25894
25894,25704
25704,14969
25704,15577
25704,15963
25704,16572
25894,25812
25812,14969
25812,15315
15315,15056
15315,15074
15315,15200
15200,14807
15200,14853
25812,15485
15485,15408
15408,14807
15408,14853
15408,15085
15085,15056
15085,15074
15408,15111
15111,15056
15111,15074
15485,15441
15441,15138
15138,15085
15138,15111
15441,15200
26163,26110
26110,14969
26110,15315
26110,15485
26110,15963
26110,16572
26451,26311
26311,25502
26311,26188
26188,25704
26188,25812
26311,26219
26219,25704
26219,25812
26451,26367
26367,16775
26367,16819
26367,18909
26367,18954
26630,26530
26530,26163
26530,26311
26530,26367
27144,26875
26875,19054
19054,16847
19054,18982
26875,19114
26875,23677
27144,26966
26966,26837
26837,25385
26837,26705
26705,26163
26705,26311
26705,26367
26837,26737
26737,26163
26737,26311
26737,26367
26966,26875
27144,27036
27036,26630
27036,26837
29894,29598
29598,29355
29355,28208
28208,27920
27920,27259
27259,20468
27259,20814
20814,20555
20814,20573
20814,20699
27259,20987
20987,20637
20637,20584
20584,20555
20584,20573
20637,20610
20610,20555
20610,20573
20987,20699
20987,20907
20907,20318
20907,20348
20907,20584
20907,20610
27920,27651
27651,27461
27461,19473
27461,20081
27461,20468
27461,21063
27651,27569
27569,19473
27569,19819
19819,19560
19819,19578
19819,19704
19704,19311
19704,19357
27569,19989
19989,19912
19912,19311
19912,19357
19912,19589
19589,19560
19589,19578
19912,19615
19615,19560
19615,19578
19989,19946
19946,19589
19946,19615
19946,19704
27920,27867
27867,19473
27867,19819
27867,19989
27867,20468
27867,21063
28208,28068
28068,27259
28068,27945
27945,27461
27945,27569
28068,27976
27976,27461
27976,27569
28208,28111
28111,21351
28111,23413
28111,23449
29355,28287
28287,27920
28287,28068
28287,28111
29355,29307
29307,28971
28971,28456
28456,22603
28456,22949
22949,22690
22949,22708
22949,22834
28456,23122
23122,22772
22772,22719
22719,22690
22719,22708
22772,22745
22745,22690
22745,22708
23122,22834
23122,23042
23042,22453
23042,22483
23042,22719
23042,22745
28971,28848
28848,28658
28658,21607
28658,22203
28658,22603
28658,23198
28848,28766
28766,21607
28766,21954
21954,21695
21954,21713
21954,21839
28766,22124
22124,22047
22047,21446
22047,21504
22047,21724
21724,21695
21724,21713
22047,21750
21750,21695
21750,21713
22124,22080
22080,21777
21777,21724
21777,21750
22080,21839
28971,28879
28879,28658
28879,28766
29307,29282
29282,28456
29282,29013
29013,28658
29013,28766
29282,29229
29229,21607
29229,21954
29229,22124
29229,22603
29229,23198
29598,29562
29562,29307
29562,29430
29430,27920
29430,28068
29430,28111
29562,29462
29462,27920
29462,28068
29462,28111
29894,29857
29857,29598
29857,29725
29725,26630
29725,26837
29725,26875
29857,29757
29757,26630
29757,26837
29757,26875
30187,30150
30150,29894
30150,30018
30018,14196
30018,14402
30018,24140
30150,30050
30050,14196
30050,14402
30050,24140
61488,61304
61304,60179
60179,44674
44674,41924
41924,36672
36672,32981
32981,32645
32645,31085
31085,30642
30642,30416
30416,30365
30416,30405
30642,30499
30499,30284
30284,30249
30284,30273
30499,30310
30310,30249
30310,30273
30499,30365
30499,30405
30642,30533
30533,30284
30533,30310
31085,30809
30809,30365
30809,30405
30809,30717
30717,30365
30717,30405
31085,30961
30961,30249
30961,30273
30961,30416
32645,32522
32522,32332
32332,30809
32332,31181
31181,30249
31181,30273
31181,30365
31181,30405
32332,31920
31920,31313
31920,31337
31920,31480
31920,31520
32332,32131
32131,31480
32131,31520
32131,32039
32039,31480
32039,31520
32522,32440
32440,31658
31658,31313
31658,31337
31658,31543
31543,31480
31543,31520
32440,31828
31828,31751
31751,31348
31348,31313
31348,31337
31751,31374
31374,31313
31374,31337
31751,31480
31751,31520
31828,31785
31785,31348
31785,31374
31785,31543
32440,32131
32645,32553
32553,32332
32553,32440
32981,32956
32956,31085
32956,32687
32687,32332
32687,32440
32956,32903
32903,30809
32903,31181
32903,31658
32903,31828
32903,32131
36672,36493
36493,35583
35583,33877
33877,33434
33434,33208
33208,33157
33208,33197
33434,33291
33291,33076
33076,33041
33076,33065
33291,33102
33102,33041
33102,33065
33291,33157
33291,33197
33434,33325
33325,33076
33325,33102
33877,33598
33598,33509
33509,33157
33509,33197
33598,33553
33553,33157
33553,33197
33877,33753
33753,33041
33753,33065
33753,33208
35583,35314
35314,35124
35124,33598
35124,33973
33973,33041
33973,33065
33973,33157
33973,33197
35124,34699
34699,34105
34699,34129
34699,34335
34335,34272
34335,34312
35124,34920
34920,34831
34831,34272
34831,34312
34920,34875
34875,34272
34875,34312
35314,35232
35232,34450
34450,34105
34450,34129
34450,34335
35232,34623
34623,34193
34193,34140
34140,34105
34140,34129
34193,34166
34166,34105
34166,34129
